epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1608677242987,2020-12-22T16.47.22.987,0.000,-0.122,-0.427,-0.488
1608677242998,2020-12-22T16.47.22.998,0.011,0.183,-0.610,-0.244
1608677243008,2020-12-22T16.47.23.008,0.021,0.061,-0.183,-0.427
1608677243018,2020-12-22T16.47.23.018,0.031,0.183,0.061,-0.427
1608677243027,2020-12-22T16.47.23.027,0.040,0.244,0.000,-0.427
1608677243037,2020-12-22T16.47.23.037,0.050,0.122,-0.061,-0.305
1608677243047,2020-12-22T16.47.23.047,0.060,0.122,0.000,-0.183
1608677243056,2020-12-22T16.47.23.056,0.069,0.122,-0.305,-0.183
1608677243066,2020-12-22T16.47.23.066,0.079,0.061,-0.488,-0.122
1608677243077,2020-12-22T16.47.23.077,0.090,0.122,-0.183,-0.122
1608677243087,2020-12-22T16.47.23.087,0.100,0.305,-0.122,-0.122
1608677243096,2020-12-22T16.47.23.096,0.109,0.244,-0.610,-0.183
1608677243106,2020-12-22T16.47.23.106,0.119,0.305,-0.122,-0.305
1608677243116,2020-12-22T16.47.23.116,0.129,0.427,0.122,-0.305
1608677243126,2020-12-22T16.47.23.126,0.139,0.366,-0.122,-0.305
1608677243135,2020-12-22T16.47.23.135,0.148,0.244,-0.183,-0.244
1608677243145,2020-12-22T16.47.23.145,0.158,0.244,0.000,-0.183
1608677243156,2020-12-22T16.47.23.156,0.169,0.183,-0.061,-0.183
1608677243166,2020-12-22T16.47.23.166,0.179,0.000,-0.061,-0.244
1608677243175,2020-12-22T16.47.23.175,0.188,-0.061,-0.122,-0.244
1608677243185,2020-12-22T16.47.23.185,0.198,0.122,-0.183,-0.183
1608677243195,2020-12-22T16.47.23.195,0.208,0.244,-0.366,-0.244
1608677243204,2020-12-22T16.47.23.204,0.217,0.183,-0.122,-0.122
1608677243214,2020-12-22T16.47.23.214,0.227,0.122,-0.122,-0.061
1608677243225,2020-12-22T16.47.23.225,0.238,0.244,-0.061,0.061
1608677243235,2020-12-22T16.47.23.235,0.248,0.244,0.061,0.122
1608677243244,2020-12-22T16.47.23.244,0.257,0.122,-0.061,0.061
1608677243254,2020-12-22T16.47.23.254,0.267,0.244,-0.061,-0.122
1608677243264,2020-12-22T16.47.23.264,0.277,0.244,0.000,-0.244
1608677243274,2020-12-22T16.47.23.274,0.287,0.122,-0.183,-0.183
1608677243283,2020-12-22T16.47.23.283,0.296,0.122,-0.305,-0.244
1608677243293,2020-12-22T16.47.23.293,0.306,0.122,-0.305,-0.244
1608677243304,2020-12-22T16.47.23.304,0.317,0.122,-0.366,-0.183
1608677243314,2020-12-22T16.47.23.314,0.327,0.244,-0.122,-0.061
1608677243323,2020-12-22T16.47.23.323,0.336,0.244,0.000,0.000
1608677243333,2020-12-22T16.47.23.333,0.346,0.366,-0.122,0.061
1608677243343,2020-12-22T16.47.23.343,0.356,0.183,-0.183,0.183
1608677243352,2020-12-22T16.47.23.352,0.365,0.183,-0.061,0.183
1608677243362,2020-12-22T16.47.23.362,0.375,0.305,0.122,0.183
1608677243373,2020-12-22T16.47.23.373,0.386,0.183,-0.061,0.061
1608677243383,2020-12-22T16.47.23.383,0.396,0.305,0.122,-0.061
1608677243392,2020-12-22T16.47.23.392,0.405,0.366,0.122,-0.122
1608677243402,2020-12-22T16.47.23.402,0.415,0.305,-0.122,-0.183
1608677243412,2020-12-22T16.47.23.412,0.425,0.183,-0.061,-0.244
1608677243422,2020-12-22T16.47.23.422,0.435,0.183,-0.122,-0.305
1608677243431,2020-12-22T16.47.23.431,0.444,0.183,-0.122,-0.244
1608677243441,2020-12-22T16.47.23.441,0.454,0.061,-0.183,-0.244
1608677243452,2020-12-22T16.47.23.452,0.465,0.061,-0.061,-0.244
1608677243462,2020-12-22T16.47.23.462,0.475,0.122,-0.183,-0.305
1608677243471,2020-12-22T16.47.23.471,0.484,0.183,-0.183,-0.305
1608677243481,2020-12-22T16.47.23.481,0.494,0.305,0.000,-0.244
1608677243491,2020-12-22T16.47.23.491,0.504,0.183,-0.061,-0.183
1608677243500,2020-12-22T16.47.23.500,0.513,0.000,-0.183,-0.183
1608677243510,2020-12-22T16.47.23.510,0.523,0.061,-0.061,-0.244
1608677243520,2020-12-22T16.47.23.520,0.533,0.000,-0.244,-0.183
1608677243531,2020-12-22T16.47.23.531,0.544,0.061,-0.244,-0.183
1608677243540,2020-12-22T16.47.23.540,0.553,0.183,0.000,-0.244
1608677243550,2020-12-22T16.47.23.550,0.563,0.183,-0.122,-0.122
1608677243560,2020-12-22T16.47.23.560,0.573,0.305,-0.183,-0.122
1608677243570,2020-12-22T16.47.23.570,0.583,0.244,-0.183,-0.183
1608677243579,2020-12-22T16.47.23.579,0.592,0.305,0.122,-0.244
1608677243589,2020-12-22T16.47.23.589,0.602,0.305,0.122,-0.244
1608677243600,2020-12-22T16.47.23.600,0.613,0.244,-0.122,-0.244
1608677243610,2020-12-22T16.47.23.610,0.623,0.305,0.000,-0.305
1608677243619,2020-12-22T16.47.23.619,0.632,0.244,0.000,-0.244
1608677243629,2020-12-22T16.47.23.629,0.642,0.183,-0.061,-0.122
1608677243639,2020-12-22T16.47.23.639,0.652,0.000,-0.244,-0.183
1608677243648,2020-12-22T16.47.23.648,0.661,0.061,-0.244,-0.244
1608677243658,2020-12-22T16.47.23.658,0.671,0.183,-0.122,-0.183
1608677243668,2020-12-22T16.47.23.668,0.681,0.000,-0.122,-0.183
1608677243679,2020-12-22T16.47.23.679,0.692,0.244,-0.061,-0.183
1608677243687,2020-12-22T16.47.23.687,0.700,0.305,-0.061,-0.244
1608677243698,2020-12-22T16.47.23.698,0.711,0.244,-0.122,-0.305
1608677243708,2020-12-22T16.47.23.708,0.721,0.122,-0.305,-0.366
1608677243718,2020-12-22T16.47.23.718,0.731,0.061,-0.183,-0.244
1608677243727,2020-12-22T16.47.23.727,0.740,0.305,-0.183,-0.244
1608677243737,2020-12-22T16.47.23.737,0.750,0.366,-0.183,-0.427
1608677243748,2020-12-22T16.47.23.748,0.761,0.488,-0.122,-0.488
1608677243758,2020-12-22T16.47.23.758,0.771,0.366,-0.305,-0.427
1608677243767,2020-12-22T16.47.23.767,0.780,-0.122,-0.366,-0.305
1608677243777,2020-12-22T16.47.23.777,0.790,-0.122,-0.122,-0.183
1608677243787,2020-12-22T16.47.23.787,0.800,0.000,-0.244,-0.183
1608677243796,2020-12-22T16.47.23.796,0.809,-0.122,-0.366,-0.183
1608677243806,2020-12-22T16.47.23.806,0.819,0.000,-0.488,-0.427
