epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1608677511793,2020-12-22T16.51.51.793,0.000,0.240,0.966,-0.126
1608677511803,2020-12-22T16.51.51.803,0.010,0.238,0.974,-0.127
1608677511814,2020-12-22T16.51.51.814,0.021,0.236,0.978,-0.126
1608677511822,2020-12-22T16.51.51.822,0.029,0.238,0.978,-0.128
1608677511833,2020-12-22T16.51.51.833,0.040,0.245,0.972,-0.129
1608677511843,2020-12-22T16.51.51.843,0.050,0.243,0.973,-0.127
1608677511853,2020-12-22T16.51.51.853,0.060,0.241,0.977,-0.127
1608677511863,2020-12-22T16.51.51.863,0.070,0.237,0.982,-0.129
1608677511872,2020-12-22T16.51.51.872,0.079,0.235,0.982,-0.126
1608677511883,2020-12-22T16.51.51.883,0.090,0.235,0.978,-0.126
1608677511893,2020-12-22T16.51.51.893,0.100,0.241,0.971,-0.129
1608677511903,2020-12-22T16.51.51.903,0.110,0.241,0.973,-0.125
1608677511913,2020-12-22T16.51.51.913,0.120,0.239,0.981,-0.125
1608677511922,2020-12-22T16.51.51.922,0.129,0.234,0.981,-0.127
1608677511932,2020-12-22T16.51.51.932,0.139,0.237,0.975,-0.127
1608677511943,2020-12-22T16.51.51.943,0.150,0.241,0.969,-0.126
1608677511953,2020-12-22T16.51.51.953,0.160,0.244,0.974,-0.127
1608677511963,2020-12-22T16.51.51.963,0.170,0.242,0.981,-0.128
1608677511972,2020-12-22T16.51.51.972,0.179,0.232,0.982,-0.127
1608677511982,2020-12-22T16.51.51.982,0.189,0.232,0.977,-0.125
1608677511992,2020-12-22T16.51.51.992,0.199,0.237,0.976,-0.122
1608677512003,2020-12-22T16.51.52.003,0.210,0.239,0.978,-0.122
1608677512013,2020-12-22T16.51.52.013,0.220,0.245,0.978,-0.125
1608677512022,2020-12-22T16.51.52.022,0.229,0.236,0.978,-0.128
1608677512032,2020-12-22T16.51.52.032,0.239,0.233,0.980,-0.126
1608677512042,2020-12-22T16.51.52.042,0.249,0.242,0.976,-0.127
1608677512052,2020-12-22T16.51.52.052,0.259,0.244,0.975,-0.128
1608677512063,2020-12-22T16.51.52.063,0.270,0.245,0.979,-0.129
1608677512072,2020-12-22T16.51.52.072,0.279,0.240,0.969,-0.128
1608677512082,2020-12-22T16.51.52.082,0.289,0.237,0.967,-0.128
1608677512092,2020-12-22T16.51.52.092,0.299,0.236,0.982,-0.125
1608677512102,2020-12-22T16.51.52.102,0.309,0.238,0.984,-0.125
1608677512113,2020-12-22T16.51.52.113,0.320,0.239,0.978,-0.126
1608677512121,2020-12-22T16.51.52.121,0.328,0.238,0.976,-0.124
1608677512132,2020-12-22T16.51.52.132,0.339,0.238,0.973,-0.125
1608677512142,2020-12-22T16.51.52.142,0.349,0.240,0.974,-0.127
1608677512152,2020-12-22T16.51.52.152,0.359,0.241,0.975,-0.127
1608677512162,2020-12-22T16.51.52.162,0.369,0.240,0.980,-0.131
1608677512171,2020-12-22T16.51.52.171,0.378,0.237,0.976,-0.126
1608677512181,2020-12-22T16.51.52.181,0.388,0.240,0.978,-0.127
1608677512192,2020-12-22T16.51.52.192,0.399,0.238,0.976,-0.127
1608677512202,2020-12-22T16.51.52.202,0.409,0.241,0.976,-0.125
1608677512212,2020-12-22T16.51.52.212,0.419,0.241,0.979,-0.126
1608677512221,2020-12-22T16.51.52.221,0.428,0.239,0.979,-0.128
1608677512231,2020-12-22T16.51.52.231,0.438,0.236,0.978,-0.125
1608677512241,2020-12-22T16.51.52.241,0.448,0.237,0.974,-0.124
1608677512252,2020-12-22T16.51.52.252,0.459,0.236,0.975,-0.125
1608677512262,2020-12-22T16.51.52.262,0.469,0.234,0.978,-0.125
1608677512271,2020-12-22T16.51.52.271,0.478,0.236,0.977,-0.125
1608677512281,2020-12-22T16.51.52.281,0.488,0.236,0.977,-0.125
1608677512291,2020-12-22T16.51.52.291,0.498,0.238,0.978,-0.126
1608677512301,2020-12-22T16.51.52.301,0.508,0.239,0.977,-0.127
1608677512312,2020-12-22T16.51.52.312,0.519,0.241,0.976,-0.127
1608677512321,2020-12-22T16.51.52.321,0.528,0.244,0.975,-0.125
1608677512331,2020-12-22T16.51.52.331,0.538,0.242,0.975,-0.126
1608677512341,2020-12-22T16.51.52.341,0.548,0.241,0.980,-0.125
1608677512351,2020-12-22T16.51.52.351,0.558,0.241,0.982,-0.124
1608677512362,2020-12-22T16.51.52.362,0.569,0.237,0.976,-0.126
1608677512370,2020-12-22T16.51.52.370,0.577,0.238,0.978,-0.125
1608677512381,2020-12-22T16.51.52.381,0.588,0.236,0.974,-0.122
1608677512391,2020-12-22T16.51.52.391,0.598,0.238,0.972,-0.125
1608677512401,2020-12-22T16.51.52.401,0.608,0.238,0.975,-0.125
1608677512411,2020-12-22T16.51.52.411,0.618,0.233,0.980,-0.124
1608677512420,2020-12-22T16.51.52.420,0.627,0.241,0.981,-0.125
1608677512430,2020-12-22T16.51.52.430,0.637,0.238,0.973,-0.127
1608677512441,2020-12-22T16.51.52.441,0.648,0.229,0.975,-0.122
1608677512451,2020-12-22T16.51.52.451,0.658,0.236,0.979,-0.119
1608677512461,2020-12-22T16.51.52.461,0.668,0.240,0.979,-0.125
1608677512470,2020-12-22T16.51.52.470,0.677,0.237,0.977,-0.122
1608677512480,2020-12-22T16.51.52.480,0.687,0.239,0.979,-0.120
1608677512490,2020-12-22T16.51.52.490,0.697,0.239,0.974,-0.124
1608677512501,2020-12-22T16.51.52.501,0.708,0.236,0.976,-0.125
1608677512511,2020-12-22T16.51.52.511,0.718,0.231,0.978,-0.122
1608677512520,2020-12-22T16.51.52.520,0.727,0.233,0.975,-0.123
1608677512530,2020-12-22T16.51.52.530,0.737,0.236,0.976,-0.125
1608677512540,2020-12-22T16.51.52.540,0.747,0.240,0.975,-0.127
1608677512551,2020-12-22T16.51.52.551,0.758,0.244,0.978,-0.123
1608677512559,2020-12-22T16.51.52.559,0.766,0.236,0.980,-0.128
1608677512570,2020-12-22T16.51.52.570,0.777,0.237,0.977,-0.126
1608677512580,2020-12-22T16.51.52.580,0.787,0.238,0.979,-0.120
1608677512590,2020-12-22T16.51.52.590,0.797,0.232,0.977,-0.121
1608677512600,2020-12-22T16.51.52.600,0.807,0.233,0.977,-0.121
1608677512611,2020-12-22T16.51.52.611,0.818,0.234,0.977,-0.121
1608677512619,2020-12-22T16.51.52.619,0.826,0.237,0.979,-0.124
1608677512630,2020-12-22T16.51.52.630,0.837,0.238,0.980,-0.124
