epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1608677511803,2020-12-22T16.51.51.803,0.000,-0.244,-0.183,0.183
1608677511814,2020-12-22T16.51.51.814,0.011,-0.427,-0.366,0.000
1608677511822,2020-12-22T16.51.51.822,0.019,-0.183,-0.732,-0.061
1608677511833,2020-12-22T16.51.51.833,0.030,0.061,-0.610,-0.122
1608677511843,2020-12-22T16.51.51.843,0.040,0.122,-0.061,-0.427
1608677511853,2020-12-22T16.51.51.853,0.050,0.183,0.061,-0.793
1608677511863,2020-12-22T16.51.51.863,0.060,0.427,0.183,-0.793
1608677511872,2020-12-22T16.51.51.872,0.069,0.366,0.427,-0.671
1608677511883,2020-12-22T16.51.51.883,0.080,-0.244,0.305,-0.549
1608677511893,2020-12-22T16.51.51.893,0.090,-0.122,0.061,-0.366
1608677511903,2020-12-22T16.51.51.903,0.100,0.366,0.610,-0.488
1608677511913,2020-12-22T16.51.51.913,0.110,0.366,0.854,-0.671
1608677511922,2020-12-22T16.51.51.922,0.119,-0.244,0.244,-0.488
1608677511932,2020-12-22T16.51.51.932,0.129,-0.610,-0.244,-0.366
1608677511943,2020-12-22T16.51.51.943,0.140,-0.305,-0.122,-0.549
1608677511953,2020-12-22T16.51.51.953,0.150,-0.183,0.061,-0.854
1608677511963,2020-12-22T16.51.51.963,0.160,0.061,0.366,-0.854
1608677511972,2020-12-22T16.51.51.972,0.169,0.488,0.549,-0.610
1608677511982,2020-12-22T16.51.51.982,0.179,0.305,-0.244,-0.244
1608677511992,2020-12-22T16.51.51.992,0.189,-0.122,-0.610,-0.183
1608677512003,2020-12-22T16.51.52.003,0.200,-0.061,-0.366,-0.183
1608677512013,2020-12-22T16.51.52.013,0.210,-0.061,-0.122,-0.183
1608677512022,2020-12-22T16.51.52.022,0.219,0.183,0.183,-0.305
1608677512032,2020-12-22T16.51.52.032,0.229,-0.061,-0.183,-0.244
1608677512042,2020-12-22T16.51.52.042,0.239,-0.366,-0.732,-0.061
1608677512052,2020-12-22T16.51.52.052,0.249,-0.488,-0.549,-0.305
1608677512063,2020-12-22T16.51.52.063,0.260,-0.366,-0.183,-0.610
1608677512072,2020-12-22T16.51.52.072,0.269,-0.244,0.305,-0.854
1608677512082,2020-12-22T16.51.52.082,0.279,0.061,0.366,-0.976
1608677512092,2020-12-22T16.51.52.092,0.289,-0.183,0.061,-0.854
1608677512102,2020-12-22T16.51.52.102,0.299,-0.610,-0.244,-0.610
1608677512113,2020-12-22T16.51.52.113,0.310,-0.488,-0.610,-0.427
1608677512121,2020-12-22T16.51.52.121,0.318,-0.427,-0.671,-0.244
1608677512132,2020-12-22T16.51.52.132,0.329,-0.305,-0.549,-0.366
1608677512142,2020-12-22T16.51.52.142,0.339,-0.427,-0.610,-0.610
1608677512152,2020-12-22T16.51.52.152,0.349,-0.366,-0.305,-0.671
1608677512162,2020-12-22T16.51.52.162,0.359,-0.183,-0.183,-0.793
1608677512171,2020-12-22T16.51.52.171,0.368,-0.488,-0.244,-0.732
1608677512181,2020-12-22T16.51.52.181,0.378,-0.488,-0.183,-0.793
1608677512192,2020-12-22T16.51.52.192,0.389,-0.488,-0.183,-0.732
1608677512202,2020-12-22T16.51.52.202,0.399,-0.366,-0.183,-0.610
1608677512212,2020-12-22T16.51.52.212,0.409,-0.183,-0.061,-0.671
1608677512221,2020-12-22T16.51.52.221,0.418,-0.122,-0.305,-0.793
1608677512231,2020-12-22T16.51.52.231,0.428,-0.183,-0.488,-0.732
1608677512241,2020-12-22T16.51.52.241,0.438,-0.366,-0.732,-0.549
1608677512252,2020-12-22T16.51.52.252,0.449,-0.305,-0.610,-0.488
1608677512262,2020-12-22T16.51.52.262,0.459,-0.061,-0.427,-0.366
1608677512271,2020-12-22T16.51.52.271,0.468,-0.366,-0.549,-0.305
1608677512281,2020-12-22T16.51.52.281,0.478,-0.427,-0.610,-0.244
1608677512291,2020-12-22T16.51.52.291,0.488,-0.488,-0.732,-0.122
1608677512301,2020-12-22T16.51.52.301,0.498,-0.549,-0.854,-0.244
1608677512312,2020-12-22T16.51.52.312,0.509,-0.671,-0.793,-0.366
1608677512321,2020-12-22T16.51.52.321,0.518,-0.671,-0.671,-0.427
1608677512331,2020-12-22T16.51.52.331,0.528,-0.671,-0.244,-0.793
1608677512341,2020-12-22T16.51.52.341,0.538,-0.549,0.000,-0.915
1608677512351,2020-12-22T16.51.52.351,0.548,-1.159,0.183,-0.610
1608677512362,2020-12-22T16.51.52.362,0.559,-1.159,0.366,-0.732
1608677512370,2020-12-22T16.51.52.370,0.567,-1.220,0.732,-0.610
