epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1611792439695,2021-01-27T18.07.19.695,0.000,-0.139,0.993,-0.025
1611792439705,2021-01-27T18.07.19.705,0.010,-0.141,1.000,-0.023
1611792439714,2021-01-27T18.07.19.714,0.019,-0.140,0.998,-0.025
1611792439724,2021-01-27T18.07.19.724,0.029,-0.139,0.999,-0.023
1611792439734,2021-01-27T18.07.19.734,0.039,-0.137,1.000,-0.023
1611792439744,2021-01-27T18.07.19.744,0.049,-0.139,1.000,-0.025
1611792439753,2021-01-27T18.07.19.753,0.058,-0.139,0.999,-0.023
1611792439763,2021-01-27T18.07.19.763,0.068,-0.143,0.999,-0.024
1611792439774,2021-01-27T18.07.19.774,0.079,-0.143,0.999,-0.024
1611792439782,2021-01-27T18.07.19.782,0.087,-0.142,1.000,-0.022
1611792439793,2021-01-27T18.07.19.793,0.098,-0.141,1.000,-0.029
1611792439803,2021-01-27T18.07.19.803,0.108,-0.143,1.001,-0.028
1611792439813,2021-01-27T18.07.19.813,0.118,-0.140,1.002,-0.028
1611792439822,2021-01-27T18.07.19.822,0.127,-0.138,1.001,-0.026
1611792439832,2021-01-27T18.07.19.832,0.137,-0.142,0.999,-0.024
1611792439843,2021-01-27T18.07.19.843,0.148,-0.142,0.997,-0.021
1611792439853,2021-01-27T18.07.19.853,0.158,-0.145,0.996,-0.021
1611792439862,2021-01-27T18.07.19.862,0.167,-0.145,0.999,-0.025
1611792439872,2021-01-27T18.07.19.872,0.177,-0.143,1.000,-0.026
1611792439882,2021-01-27T18.07.19.882,0.187,-0.144,1.000,-0.024
1611792439892,2021-01-27T18.07.19.892,0.197,-0.140,1.001,-0.022
1611792439901,2021-01-27T18.07.19.901,0.206,-0.139,1.000,-0.025
1611792439911,2021-01-27T18.07.19.911,0.216,-0.140,0.999,-0.027
1611792439922,2021-01-27T18.07.19.922,0.227,-0.144,0.998,-0.025
1611792439930,2021-01-27T18.07.19.930,0.235,-0.142,1.000,-0.026
1611792439941,2021-01-27T18.07.19.941,0.246,-0.143,1.000,-0.029
1611792439951,2021-01-27T18.07.19.951,0.256,-0.142,1.000,-0.026
1611792439961,2021-01-27T18.07.19.961,0.266,-0.140,0.999,-0.024
1611792439970,2021-01-27T18.07.19.970,0.275,-0.140,0.999,-0.026
1611792439980,2021-01-27T18.07.19.980,0.285,-0.140,1.000,-0.021
1611792439990,2021-01-27T18.07.19.990,0.295,-0.139,0.999,-0.022
1611792440001,2021-01-27T18.07.20.001,0.306,-0.142,1.000,-0.027
1611792440010,2021-01-27T18.07.20.010,0.315,-0.144,0.999,-0.023
1611792440020,2021-01-27T18.07.20.020,0.325,-0.143,1.000,-0.023
1611792440030,2021-01-27T18.07.20.030,0.335,-0.140,1.002,-0.025
1611792440040,2021-01-27T18.07.20.040,0.345,-0.142,1.000,-0.027
1611792440049,2021-01-27T18.07.20.049,0.354,-0.144,0.999,-0.024
1611792440059,2021-01-27T18.07.20.059,0.364,-0.146,0.999,-0.023
