epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1611792439705,2021-01-27T18.07.19.705,0.000,-0.427,-0.183,-0.732
1611792439714,2021-01-27T18.07.19.714,0.009,-0.305,-0.244,-0.732
1611792439724,2021-01-27T18.07.19.724,0.019,-0.183,-0.305,-0.610
1611792439734,2021-01-27T18.07.19.734,0.029,-0.244,-0.366,-0.671
1611792439744,2021-01-27T18.07.19.744,0.039,-0.122,-0.427,-0.793
1611792439753,2021-01-27T18.07.19.753,0.048,-0.061,-0.366,-0.915
1611792439763,2021-01-27T18.07.19.763,0.058,0.000,-0.183,-0.915
1611792439774,2021-01-27T18.07.19.774,0.069,0.183,-0.305,-1.037
1611792439782,2021-01-27T18.07.19.782,0.077,0.183,-0.244,-0.976
1611792439793,2021-01-27T18.07.19.793,0.088,0.122,-0.122,-0.915
1611792439803,2021-01-27T18.07.19.803,0.098,-0.122,-0.183,-0.732
1611792439813,2021-01-27T18.07.19.813,0.108,-0.122,-0.244,-0.671
1611792439822,2021-01-27T18.07.19.822,0.117,-0.183,-0.244,-0.671
1611792439832,2021-01-27T18.07.19.832,0.127,-0.183,-0.488,-0.671
1611792439843,2021-01-27T18.07.19.843,0.138,0.000,-0.427,-0.793
1611792439853,2021-01-27T18.07.19.853,0.148,0.061,-0.305,-0.732
1611792439862,2021-01-27T18.07.19.862,0.157,0.183,-0.061,-0.488
1611792439872,2021-01-27T18.07.19.872,0.167,0.183,0.000,-0.427
1611792439882,2021-01-27T18.07.19.882,0.177,-0.061,-0.183,-0.305
1611792439892,2021-01-27T18.07.19.892,0.187,-0.122,-0.305,-0.366
1611792439901,2021-01-27T18.07.19.901,0.196,-0.183,-0.305,-0.427
1611792439911,2021-01-27T18.07.19.911,0.206,-0.122,-0.366,-0.549
1611792439922,2021-01-27T18.07.19.922,0.217,0.061,-0.366,-0.793
1611792439930,2021-01-27T18.07.19.930,0.225,0.061,-0.183,-0.732
1611792439941,2021-01-27T18.07.19.941,0.236,0.000,0.000,-0.671
1611792439951,2021-01-27T18.07.19.951,0.246,-0.061,-0.366,-0.549
1611792439961,2021-01-27T18.07.19.961,0.256,-0.122,-0.488,-0.488
1611792439970,2021-01-27T18.07.19.970,0.265,-0.061,-0.244,-0.488
1611792439980,2021-01-27T18.07.19.980,0.275,-0.061,-0.427,-0.549
1611792439990,2021-01-27T18.07.19.990,0.285,-0.061,-0.305,-0.610
1611792440001,2021-01-27T18.07.20.001,0.296,0.000,-0.244,-0.732
1611792440010,2021-01-27T18.07.20.010,0.305,-0.061,-0.244,-0.732
1611792440020,2021-01-27T18.07.20.020,0.315,0.061,-0.305,-0.732
1611792440030,2021-01-27T18.07.20.030,0.325,0.000,-0.366,-0.793
1611792440040,2021-01-27T18.07.20.040,0.335,0.000,-0.244,-0.732
1611792440049,2021-01-27T18.07.20.049,0.344,0.122,-0.305,-0.671
1611792440059,2021-01-27T18.07.20.059,0.354,0.183,-0.305,-0.732
1611792440070,2021-01-27T18.07.20.070,0.365,0.000,-0.183,-0.732
1611792440078,2021-01-27T18.07.20.078,0.373,0.000,-0.122,-0.427
1611792440089,2021-01-27T18.07.20.089,0.384,0.000,-0.122,-0.366
1611792440099,2021-01-27T18.07.20.099,0.394,0.000,-0.183,-0.305
1611792440109,2021-01-27T18.07.20.109,0.404,-0.122,-0.183,-0.427
1611792440118,2021-01-27T18.07.20.118,0.413,-0.061,0.061,-0.488
1611792440128,2021-01-27T18.07.20.128,0.423,0.000,-0.122,-0.366
1611792440138,2021-01-27T18.07.20.138,0.433,-0.061,-0.305,-0.366
1611792440149,2021-01-27T18.07.20.149,0.444,0.000,-0.244,-0.305
1611792440157,2021-01-27T18.07.20.157,0.452,0.061,-0.183,-0.305
1611792440168,2021-01-27T18.07.20.168,0.463,0.061,-0.244,-0.366
1611792440178,2021-01-27T18.07.20.178,0.473,0.122,-0.244,-0.427
1611792440188,2021-01-27T18.07.20.188,0.483,0.000,-0.061,-0.549
1611792440197,2021-01-27T18.07.20.197,0.492,0.000,0.000,-0.549
1611792440207,2021-01-27T18.07.20.207,0.502,0.000,0.183,-0.427
1611792440218,2021-01-27T18.07.20.218,0.513,0.061,0.122,-0.366
1611792440226,2021-01-27T18.07.20.226,0.521,-0.122,-0.061,-0.366
1611792440237,2021-01-27T18.07.20.237,0.532,-0.183,-0.366,-0.427
1611792440247,2021-01-27T18.07.20.247,0.542,-0.244,-0.366,-0.427
1611792440257,2021-01-27T18.07.20.257,0.552,-0.061,-0.183,-0.427
1611792440266,2021-01-27T18.07.20.266,0.561,0.000,0.000,-0.183
1611792440276,2021-01-27T18.07.20.276,0.571,-0.122,-0.122,0.000
1611792440286,2021-01-27T18.07.20.286,0.581,-0.244,-0.305,-0.122
1611792440297,2021-01-27T18.07.20.297,0.592,-0.122,-0.244,-0.183
1611792440305,2021-01-27T18.07.20.305,0.600,0.000,-0.061,-0.244
1611792440316,2021-01-27T18.07.20.316,0.611,-0.061,-0.061,-0.183
1611792440326,2021-01-27T18.07.20.326,0.621,0.061,-0.122,-0.305
1611792440336,2021-01-27T18.07.20.336,0.631,0.122,-0.061,-0.366
1611792440345,2021-01-27T18.07.20.345,0.640,0.122,0.061,-0.427
1611792440355,2021-01-27T18.07.20.355,0.650,0.244,0.061,-0.488
1611792440365,2021-01-27T18.07.20.365,0.660,0.122,0.000,-0.549
1611792440374,2021-01-27T18.07.20.374,0.669,0.183,0.061,-0.549
1611792440385,2021-01-27T18.07.20.385,0.680,0.183,-0.122,-0.488
1611792440395,2021-01-27T18.07.20.395,0.690,0.244,-0.244,-0.427
1611792440405,2021-01-27T18.07.20.405,0.700,0.000,-0.183,-0.488
1611792440414,2021-01-27T18.07.20.414,0.709,-0.061,-0.305,-0.549
1611792440424,2021-01-27T18.07.20.424,0.719,0.061,-0.061,-0.549
1611792440434,2021-01-27T18.07.20.434,0.729,0.122,0.061,-0.366
1611792440445,2021-01-27T18.07.20.445,0.740,0.183,0.061,-0.183
1611792440453,2021-01-27T18.07.20.453,0.748,0.122,-0.183,0.000
1611792440464,2021-01-27T18.07.20.464,0.759,-0.061,-0.244,-0.061
1611792440474,2021-01-27T18.07.20.474,0.769,0.061,-0.122,-0.244
1611792440484,2021-01-27T18.07.20.484,0.779,0.000,-0.244,-0.305
1611792440493,2021-01-27T18.07.20.493,0.788,0.000,-0.305,-0.366
