epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1611792439654,2021-01-27T18.07.19.654,0.000,-0.119,-0.973,-0.169
1611792439665,2021-01-27T18.07.19.665,0.011,-0.119,-0.982,-0.166
1611792439675,2021-01-27T18.07.19.675,0.021,-0.118,-0.981,-0.160
1611792439684,2021-01-27T18.07.19.684,0.030,-0.125,-0.984,-0.161
1611792439694,2021-01-27T18.07.19.694,0.040,-0.132,-0.983,-0.161
1611792439704,2021-01-27T18.07.19.704,0.050,-0.138,-0.983,-0.159
1611792439714,2021-01-27T18.07.19.714,0.060,-0.146,-0.986,-0.164
1611792439723,2021-01-27T18.07.19.723,0.069,-0.143,-0.986,-0.166
1611792439733,2021-01-27T18.07.19.733,0.079,-0.140,-0.982,-0.164
1611792439744,2021-01-27T18.07.19.744,0.090,-0.144,-0.984,-0.161
1611792439754,2021-01-27T18.07.19.754,0.100,-0.139,-0.989,-0.167
1611792439763,2021-01-27T18.07.19.763,0.109,-0.125,-0.988,-0.167
1611792439773,2021-01-27T18.07.19.773,0.119,-0.121,-0.982,-0.165
1611792439783,2021-01-27T18.07.19.783,0.129,-0.122,-0.980,-0.165
1611792439792,2021-01-27T18.07.19.792,0.138,-0.123,-0.984,-0.161
1611792439802,2021-01-27T18.07.19.802,0.148,-0.127,-0.983,-0.156
1611792439813,2021-01-27T18.07.19.813,0.159,-0.139,-0.983,-0.165
1611792439823,2021-01-27T18.07.19.823,0.169,-0.148,-0.985,-0.166
1611792439832,2021-01-27T18.07.19.832,0.178,-0.149,-0.981,-0.165
1611792439842,2021-01-27T18.07.19.842,0.188,-0.149,-0.989,-0.165
1611792439852,2021-01-27T18.07.19.852,0.198,-0.141,-0.991,-0.171
1611792439862,2021-01-27T18.07.19.862,0.208,-0.126,-0.985,-0.168
1611792439871,2021-01-27T18.07.19.871,0.217,-0.121,-0.984,-0.160
1611792439881,2021-01-27T18.07.19.881,0.227,-0.133,-0.979,-0.154
1611792439892,2021-01-27T18.07.19.892,0.238,-0.148,-0.982,-0.159
1611792439902,2021-01-27T18.07.19.902,0.248,-0.148,-0.984,-0.167
1611792439911,2021-01-27T18.07.19.911,0.257,-0.143,-0.984,-0.168
1611792439921,2021-01-27T18.07.19.921,0.267,-0.141,-0.985,-0.167
1611792439931,2021-01-27T18.07.19.931,0.277,-0.141,-0.987,-0.170
1611792439941,2021-01-27T18.07.19.941,0.287,-0.130,-0.986,-0.166
1611792439950,2021-01-27T18.07.19.950,0.296,-0.121,-0.982,-0.157
1611792439960,2021-01-27T18.07.19.960,0.306,-0.125,-0.984,-0.161
1611792439971,2021-01-27T18.07.19.971,0.317,-0.133,-0.985,-0.167
1611792439979,2021-01-27T18.07.19.979,0.325,-0.139,-0.982,-0.162
1611792439990,2021-01-27T18.07.19.990,0.336,-0.143,-0.985,-0.161
1611792440000,2021-01-27T18.07.20.000,0.346,-0.148,-0.987,-0.167
1611792440010,2021-01-27T18.07.20.010,0.356,-0.140,-0.987,-0.170
1611792440019,2021-01-27T18.07.20.019,0.365,-0.130,-0.986,-0.163
1611792440029,2021-01-27T18.07.20.029,0.375,-0.127,-0.983,-0.156
1611792440040,2021-01-27T18.07.20.040,0.386,-0.134,-0.982,-0.163
1611792440050,2021-01-27T18.07.20.050,0.396,-0.132,-0.983,-0.162
1611792440059,2021-01-27T18.07.20.059,0.405,-0.132,-0.985,-0.162
1611792440069,2021-01-27T18.07.20.069,0.415,-0.133,-0.986,-0.161
1611792440079,2021-01-27T18.07.20.079,0.425,-0.136,-0.988,-0.171
1611792440089,2021-01-27T18.07.20.089,0.435,-0.138,-0.983,-0.163
1611792440098,2021-01-27T18.07.20.098,0.444,-0.149,-0.985,-0.161
1611792440108,2021-01-27T18.07.20.108,0.454,-0.155,-0.986,-0.168
1611792440119,2021-01-27T18.07.20.119,0.465,-0.150,-0.984,-0.165
1611792440127,2021-01-27T18.07.20.127,0.473,-0.148,-0.986,-0.170
1611792440138,2021-01-27T18.07.20.138,0.484,-0.138,-0.988,-0.160
1611792440148,2021-01-27T18.07.20.148,0.494,-0.129,-0.986,-0.160
1611792440158,2021-01-27T18.07.20.158,0.504,-0.129,-0.982,-0.160
1611792440167,2021-01-27T18.07.20.167,0.513,-0.130,-0.980,-0.161
1611792440177,2021-01-27T18.07.20.177,0.523,-0.130,-0.980,-0.160
1611792440188,2021-01-27T18.07.20.188,0.534,-0.138,-0.983,-0.159
1611792440198,2021-01-27T18.07.20.198,0.544,-0.141,-0.985,-0.166
1611792440207,2021-01-27T18.07.20.207,0.553,-0.137,-0.987,-0.167
1611792440217,2021-01-27T18.07.20.217,0.563,-0.133,-0.987,-0.163
1611792440227,2021-01-27T18.07.20.227,0.573,-0.133,-0.987,-0.159
1611792440237,2021-01-27T18.07.20.237,0.583,-0.137,-0.983,-0.156
