epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1611792439665,2021-01-27T18.07.19.665,0.000,-1.220,0.244,-0.305
1611792439675,2021-01-27T18.07.19.675,0.010,-1.585,-0.305,0.061
1611792439685,2021-01-27T18.07.19.685,0.020,-0.793,0.793,0.183
1611792439694,2021-01-27T18.07.19.694,0.029,-0.366,2.378,0.122
1611792439704,2021-01-27T18.07.19.704,0.039,-1.585,1.951,0.244
1611792439714,2021-01-27T18.07.19.714,0.049,-1.341,0.915,0.183
1611792439723,2021-01-27T18.07.19.723,0.058,-0.427,0.915,0.427
1611792439733,2021-01-27T18.07.19.733,0.068,-0.671,1.341,0.488
1611792439744,2021-01-27T18.07.19.744,0.079,-1.524,1.159,0.488
1611792439754,2021-01-27T18.07.19.754,0.089,-1.341,-0.488,0.244
1611792439763,2021-01-27T18.07.19.763,0.098,-0.183,-1.951,0.122
1611792439773,2021-01-27T18.07.19.773,0.108,0.183,-0.976,0.122
1611792439783,2021-01-27T18.07.19.783,0.118,-0.793,0.671,0.244
1611792439792,2021-01-27T18.07.19.792,0.127,-1.280,0.915,-0.061
1611792439802,2021-01-27T18.07.19.802,0.137,-0.915,1.159,-0.183
1611792439813,2021-01-27T18.07.19.813,0.148,-1.341,1.768,-0.061
1611792439823,2021-01-27T18.07.19.823,0.158,-0.549,1.585,-0.122
1611792439832,2021-01-27T18.07.19.832,0.167,-0.610,1.280,0.061
1611792439842,2021-01-27T18.07.19.842,0.177,-1.159,0.976,0.366
1611792439852,2021-01-27T18.07.19.852,0.187,-0.366,-0.061,0.610
1611792439862,2021-01-27T18.07.19.862,0.197,0.488,-0.854,0.732
1611792439871,2021-01-27T18.07.19.871,0.206,0.000,0.366,0.732
1611792439881,2021-01-27T18.07.19.881,0.216,-0.854,2.683,0.610
1611792439892,2021-01-27T18.07.19.892,0.227,-1.463,2.378,0.305
1611792439902,2021-01-27T18.07.19.902,0.237,-0.671,0.671,-0.122
1611792439911,2021-01-27T18.07.19.911,0.246,-0.610,0.183,0.061
1611792439921,2021-01-27T18.07.19.921,0.256,-0.732,0.549,0.366
1611792439931,2021-01-27T18.07.19.931,0.266,-0.610,0.244,0.610
1611792439941,2021-01-27T18.07.19.941,0.276,-0.488,-1.098,0.610
1611792439950,2021-01-27T18.07.19.950,0.285,-0.732,-1.037,0.610
1611792439960,2021-01-27T18.07.19.960,0.295,-1.402,0.427,0.671
1611792439971,2021-01-27T18.07.19.971,0.306,-0.671,1.768,0.366
1611792439979,2021-01-27T18.07.19.979,0.314,-0.488,2.256,0.244
1611792439990,2021-01-27T18.07.19.990,0.325,-0.976,2.195,0.366
1611792440000,2021-01-27T18.07.20.000,0.335,-0.549,1.341,0.427
1611792440010,2021-01-27T18.07.20.010,0.345,-0.366,-0.122,0.488
1611792440019,2021-01-27T18.07.20.019,0.354,0.000,-0.671,0.610
1611792440029,2021-01-27T18.07.20.029,0.364,0.122,0.366,0.610
1611792440040,2021-01-27T18.07.20.040,0.375,-0.366,1.524,0.427
1611792440050,2021-01-27T18.07.20.050,0.385,-0.244,1.524,0.183
1611792440059,2021-01-27T18.07.20.059,0.394,-0.488,1.341,0.122
1611792440069,2021-01-27T18.07.20.069,0.404,-1.463,1.524,0.305
1611792440079,2021-01-27T18.07.20.079,0.414,-1.341,0.976,0.183
1611792440089,2021-01-27T18.07.20.089,0.424,-0.488,1.707,0.061
1611792440098,2021-01-27T18.07.20.098,0.433,-1.280,2.805,0.305
1611792440108,2021-01-27T18.07.20.108,0.443,-1.280,1.341,0.366
1611792440119,2021-01-27T18.07.20.119,0.454,0.061,-0.854,0.366
