epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1611792439733,2021-01-27T18.07.19.733,0.000,-0.302,0.951,-0.144
1611792439743,2021-01-27T18.07.19.743,0.010,-0.306,0.960,-0.141
1611792439753,2021-01-27T18.07.19.753,0.020,-0.306,0.957,-0.139
1611792439764,2021-01-27T18.07.19.764,0.031,-0.307,0.958,-0.140
1611792439774,2021-01-27T18.07.19.774,0.041,-0.306,0.956,-0.141
1611792439783,2021-01-27T18.07.19.783,0.050,-0.307,0.955,-0.141
1611792439793,2021-01-27T18.07.19.793,0.060,-0.306,0.958,-0.139
1611792439803,2021-01-27T18.07.19.803,0.070,-0.306,0.958,-0.140
1611792439813,2021-01-27T18.07.19.813,0.080,-0.306,0.957,-0.138
1611792439824,2021-01-27T18.07.19.824,0.091,-0.304,0.957,-0.139
1611792439832,2021-01-27T18.07.19.832,0.099,-0.302,0.958,-0.139
1611792439843,2021-01-27T18.07.19.843,0.110,-0.308,0.958,-0.140
1611792439853,2021-01-27T18.07.19.853,0.120,-0.307,0.957,-0.139
1611792439863,2021-01-27T18.07.19.863,0.130,-0.305,0.958,-0.140
1611792439873,2021-01-27T18.07.19.873,0.140,-0.306,0.954,-0.142
1611792439882,2021-01-27T18.07.19.882,0.149,-0.306,0.956,-0.139
1611792439892,2021-01-27T18.07.19.892,0.159,-0.305,0.959,-0.139
1611792439903,2021-01-27T18.07.19.903,0.170,-0.304,0.961,-0.143
1611792439913,2021-01-27T18.07.19.913,0.180,-0.303,0.957,-0.144
1611792439923,2021-01-27T18.07.19.923,0.190,-0.304,0.959,-0.141
1611792439932,2021-01-27T18.07.19.932,0.199,-0.308,0.956,-0.139
1611792439942,2021-01-27T18.07.19.942,0.209,-0.307,0.956,-0.140
1611792439952,2021-01-27T18.07.19.952,0.219,-0.306,0.957,-0.138
1611792439963,2021-01-27T18.07.19.963,0.230,-0.305,0.956,-0.139
1611792439973,2021-01-27T18.07.19.973,0.240,-0.307,0.957,-0.142
1611792439982,2021-01-27T18.07.19.982,0.249,-0.306,0.957,-0.143
1611792439992,2021-01-27T18.07.19.992,0.259,-0.304,0.957,-0.144
1611792440002,2021-01-27T18.07.20.002,0.269,-0.307,0.958,-0.141
1611792440013,2021-01-27T18.07.20.013,0.280,-0.305,0.957,-0.141
1611792440023,2021-01-27T18.07.20.023,0.290,-0.303,0.959,-0.141
1611792440032,2021-01-27T18.07.20.032,0.299,-0.306,0.959,-0.136
1611792440042,2021-01-27T18.07.20.042,0.309,-0.303,0.955,-0.148
1611792440052,2021-01-27T18.07.20.052,0.319,-0.305,0.957,-0.142
1611792440062,2021-01-27T18.07.20.062,0.329,-0.315,0.958,-0.132
1611792440073,2021-01-27T18.07.20.073,0.340,-0.306,0.955,-0.138
1611792440081,2021-01-27T18.07.20.081,0.348,-0.304,0.956,-0.138
1611792440092,2021-01-27T18.07.20.092,0.359,-0.309,0.959,-0.134
1611792440102,2021-01-27T18.07.20.102,0.369,-0.305,0.959,-0.139
1611792440112,2021-01-27T18.07.20.112,0.379,-0.303,0.957,-0.139
1611792440122,2021-01-27T18.07.20.122,0.389,-0.306,0.956,-0.138
1611792440133,2021-01-27T18.07.20.133,0.400,-0.306,0.957,-0.145
1611792440141,2021-01-27T18.07.20.141,0.408,-0.305,0.956,-0.142
1611792440152,2021-01-27T18.07.20.152,0.419,-0.305,0.957,-0.139
1611792440162,2021-01-27T18.07.20.162,0.429,-0.305,0.958,-0.139
1611792440172,2021-01-27T18.07.20.172,0.439,-0.307,0.958,-0.138
1611792440181,2021-01-27T18.07.20.181,0.448,-0.310,0.957,-0.136
1611792440191,2021-01-27T18.07.20.191,0.458,-0.309,0.956,-0.136
1611792440202,2021-01-27T18.07.20.202,0.469,-0.307,0.955,-0.137
1611792440212,2021-01-27T18.07.20.212,0.479,-0.307,0.955,-0.140
1611792440222,2021-01-27T18.07.20.222,0.489,-0.308,0.956,-0.139
1611792440231,2021-01-27T18.07.20.231,0.498,-0.307,0.956,-0.139
1611792440241,2021-01-27T18.07.20.241,0.508,-0.306,0.957,-0.141
1611792440251,2021-01-27T18.07.20.251,0.518,-0.307,0.956,-0.138
1611792440262,2021-01-27T18.07.20.262,0.529,-0.308,0.956,-0.141
1611792440272,2021-01-27T18.07.20.272,0.539,-0.310,0.955,-0.139
1611792440281,2021-01-27T18.07.20.281,0.548,-0.309,0.958,-0.140
1611792440291,2021-01-27T18.07.20.291,0.558,-0.305,0.959,-0.140
1611792440301,2021-01-27T18.07.20.301,0.568,-0.305,0.958,-0.140
1611792440311,2021-01-27T18.07.20.311,0.578,-0.305,0.957,-0.139
1611792440322,2021-01-27T18.07.20.322,0.589,-0.304,0.958,-0.139
1611792440330,2021-01-27T18.07.20.330,0.597,-0.304,0.957,-0.138
1611792440341,2021-01-27T18.07.20.341,0.608,-0.308,0.958,-0.137
1611792440351,2021-01-27T18.07.20.351,0.618,-0.311,0.957,-0.140
1611792440361,2021-01-27T18.07.20.361,0.628,-0.308,0.955,-0.140
1611792440371,2021-01-27T18.07.20.371,0.638,-0.308,0.954,-0.138
1611792440380,2021-01-27T18.07.20.380,0.647,-0.305,0.957,-0.138
1611792440390,2021-01-27T18.07.20.390,0.657,-0.308,0.959,-0.141
1611792440401,2021-01-27T18.07.20.401,0.668,-0.305,0.957,-0.142
1611792440411,2021-01-27T18.07.20.411,0.678,-0.307,0.957,-0.139
1611792440421,2021-01-27T18.07.20.421,0.688,-0.308,0.955,-0.137
1611792440430,2021-01-27T18.07.20.430,0.697,-0.308,0.957,-0.136
1611792440440,2021-01-27T18.07.20.440,0.707,-0.304,0.957,-0.139
1611792440451,2021-01-27T18.07.20.451,0.718,-0.305,0.958,-0.139
1611792440461,2021-01-27T18.07.20.461,0.728,-0.306,0.957,-0.139
1611792440471,2021-01-27T18.07.20.471,0.738,-0.309,0.956,-0.141
1611792440480,2021-01-27T18.07.20.480,0.747,-0.308,0.958,-0.144
1611792440490,2021-01-27T18.07.20.490,0.757,-0.304,0.957,-0.139
1611792440500,2021-01-27T18.07.20.500,0.767,-0.305,0.957,-0.141
1611792440511,2021-01-27T18.07.20.511,0.778,-0.308,0.958,-0.138
1611792440521,2021-01-27T18.07.20.521,0.788,-0.312,0.956,-0.138
1611792440530,2021-01-27T18.07.20.530,0.797,-0.307,0.956,-0.137
1611792440540,2021-01-27T18.07.20.540,0.807,-0.306,0.957,-0.138
1611792440550,2021-01-27T18.07.20.550,0.817,-0.307,0.958,-0.141
1611792440560,2021-01-27T18.07.20.560,0.827,-0.304,0.956,-0.140
1611792440571,2021-01-27T18.07.20.571,0.838,-0.305,0.957,-0.142
1611792440579,2021-01-27T18.07.20.579,0.846,-0.308,0.956,-0.142
1611792440590,2021-01-27T18.07.20.590,0.857,-0.311,0.953,-0.137
1611792440600,2021-01-27T18.07.20.600,0.867,-0.306,0.956,-0.137
1611792440610,2021-01-27T18.07.20.610,0.877,-0.309,0.957,-0.137
1611792440620,2021-01-27T18.07.20.620,0.887,-0.312,0.955,-0.136
1611792440629,2021-01-27T18.07.20.629,0.896,-0.308,0.955,-0.138
1611792440639,2021-01-27T18.07.20.639,0.906,-0.304,0.958,-0.140
1611792440650,2021-01-27T18.07.20.650,0.917,-0.304,0.957,-0.140
1611792440660,2021-01-27T18.07.20.660,0.927,-0.306,0.957,-0.140
1611792440670,2021-01-27T18.07.20.670,0.937,-0.307,0.955,-0.140
1611792440679,2021-01-27T18.07.20.679,0.946,-0.307,0.956,-0.140
1611792440689,2021-01-27T18.07.20.689,0.956,-0.307,0.956,-0.137
1611792440700,2021-01-27T18.07.20.700,0.967,-0.307,0.953,-0.136
1611792440710,2021-01-27T18.07.20.710,0.977,-0.309,0.957,-0.137
1611792440720,2021-01-27T18.07.20.720,0.987,-0.308,0.957,-0.139
1611792440729,2021-01-27T18.07.20.729,0.996,-0.308,0.956,-0.139
1611792440739,2021-01-27T18.07.20.739,1.006,-0.307,0.957,-0.140
