epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1611792439764,2021-01-27T18.07.19.764,0.000,-0.061,-0.610,-0.976
1611792439774,2021-01-27T18.07.19.774,0.010,-0.061,-0.305,-0.549
1611792439784,2021-01-27T18.07.19.784,0.020,-0.488,-0.671,-0.610
1611792439793,2021-01-27T18.07.19.793,0.029,-0.488,-0.854,-0.549
1611792439803,2021-01-27T18.07.19.803,0.039,-0.305,-0.793,-0.610
1611792439813,2021-01-27T18.07.19.813,0.049,-0.183,-0.793,-0.488
1611792439824,2021-01-27T18.07.19.824,0.060,-0.183,-0.610,-0.488
1611792439832,2021-01-27T18.07.19.832,0.068,-0.183,-0.671,-0.488
1611792439843,2021-01-27T18.07.19.843,0.079,-0.183,-0.610,-0.549
1611792439853,2021-01-27T18.07.19.853,0.089,-0.122,-0.549,-0.427
1611792439863,2021-01-27T18.07.19.863,0.099,-0.183,-0.732,-0.366
1611792439873,2021-01-27T18.07.19.873,0.109,-0.305,-0.671,-0.366
1611792439882,2021-01-27T18.07.19.882,0.118,-0.183,-0.671,-0.427
1611792439892,2021-01-27T18.07.19.892,0.128,-0.122,-0.549,-0.366
1611792439903,2021-01-27T18.07.19.903,0.139,-0.122,-0.488,-0.427
1611792439913,2021-01-27T18.07.19.913,0.149,-0.244,-0.610,-0.549
1611792439923,2021-01-27T18.07.19.923,0.159,-0.244,-0.610,-0.610
1611792439932,2021-01-27T18.07.19.932,0.168,-0.305,-0.549,-0.732
1611792439942,2021-01-27T18.07.19.942,0.178,-0.305,-0.549,-0.732
1611792439952,2021-01-27T18.07.19.952,0.188,-0.366,-0.549,-0.610
1611792439963,2021-01-27T18.07.19.963,0.199,-0.366,-0.488,-0.549
1611792439973,2021-01-27T18.07.19.973,0.209,-0.305,-0.549,-0.488
1611792439982,2021-01-27T18.07.19.982,0.218,-0.305,-0.610,-0.488
1611792439992,2021-01-27T18.07.19.992,0.228,-0.305,-0.549,-0.549
1611792440002,2021-01-27T18.07.20.002,0.238,-0.305,-0.732,-0.488
1611792440013,2021-01-27T18.07.20.013,0.249,-0.366,-0.854,-0.610
1611792440023,2021-01-27T18.07.20.023,0.259,-0.366,-0.671,-0.732
1611792440032,2021-01-27T18.07.20.032,0.268,-0.427,-0.732,-0.793
1611792440042,2021-01-27T18.07.20.042,0.278,-0.427,0.000,-0.793
1611792440052,2021-01-27T18.07.20.052,0.288,-0.244,-0.366,-0.732
1611792440062,2021-01-27T18.07.20.062,0.298,-0.488,-0.671,-0.610
1611792440073,2021-01-27T18.07.20.073,0.309,-0.183,-0.854,-0.366
1611792440081,2021-01-27T18.07.20.081,0.317,0.000,-0.793,-0.305
1611792440092,2021-01-27T18.07.20.092,0.328,-0.305,-0.671,-0.366
1611792440102,2021-01-27T18.07.20.102,0.338,-0.061,-0.732,-0.488
1611792440112,2021-01-27T18.07.20.112,0.348,0.000,-0.671,-0.488
1611792440122,2021-01-27T18.07.20.122,0.358,-0.244,-0.427,-0.610
1611792440133,2021-01-27T18.07.20.133,0.369,-0.244,-0.366,-0.732
1611792440141,2021-01-27T18.07.20.141,0.377,-0.366,-0.427,-0.732
1611792440152,2021-01-27T18.07.20.152,0.388,-0.427,-0.305,-0.793
1611792440162,2021-01-27T18.07.20.162,0.398,-0.366,-0.305,-0.793
1611792440172,2021-01-27T18.07.20.172,0.408,-0.305,-0.244,-0.793
1611792440181,2021-01-27T18.07.20.181,0.417,-0.244,-0.366,-0.671
1611792440191,2021-01-27T18.07.20.191,0.427,-0.122,-0.549,-0.549
1611792440202,2021-01-27T18.07.20.202,0.438,-0.061,-0.610,-0.488
1611792440212,2021-01-27T18.07.20.212,0.448,0.000,-0.488,-0.488
1611792440222,2021-01-27T18.07.20.222,0.458,0.061,-0.366,-0.305
1611792440231,2021-01-27T18.07.20.231,0.467,0.000,-0.427,-0.427
1611792440241,2021-01-27T18.07.20.241,0.477,-0.122,-0.244,-0.427
1611792440251,2021-01-27T18.07.20.251,0.487,-0.122,-0.061,-0.427
1611792440262,2021-01-27T18.07.20.262,0.498,-0.122,-0.122,-0.427
1611792440272,2021-01-27T18.07.20.272,0.508,-0.122,-0.305,-0.183
1611792440281,2021-01-27T18.07.20.281,0.517,-0.122,-0.366,-0.183
1611792440291,2021-01-27T18.07.20.291,0.527,-0.061,-0.244,-0.183
1611792440301,2021-01-27T18.07.20.301,0.537,-0.183,-0.366,-0.244
1611792440311,2021-01-27T18.07.20.311,0.547,-0.061,-0.488,-0.305
