epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1611792439089,2021-01-27T18.07.19.089,0.000,0.029,0.978,-0.174
1611792439098,2021-01-27T18.07.19.098,0.009,0.024,0.979,-0.171
1611792439108,2021-01-27T18.07.19.108,0.019,0.021,0.973,-0.172
1611792439118,2021-01-27T18.07.19.118,0.029,0.017,0.979,-0.177
1611792439128,2021-01-27T18.07.19.128,0.039,0.013,0.987,-0.184
1611792439137,2021-01-27T18.07.19.137,0.048,0.012,0.990,-0.188
1611792439147,2021-01-27T18.07.19.147,0.058,0.012,0.994,-0.183
1611792439158,2021-01-27T18.07.19.158,0.069,0.010,0.989,-0.182
1611792439168,2021-01-27T18.07.19.168,0.079,-0.001,0.985,-0.182
1611792439178,2021-01-27T18.07.19.178,0.089,-0.010,0.989,-0.183
1611792439187,2021-01-27T18.07.19.187,0.098,-0.011,0.991,-0.186
1611792439197,2021-01-27T18.07.19.197,0.108,-0.002,0.992,-0.186
1611792439207,2021-01-27T18.07.19.207,0.118,0.006,0.989,-0.186
1611792439218,2021-01-27T18.07.19.218,0.129,0.009,0.985,-0.185
1611792439227,2021-01-27T18.07.19.227,0.138,0.014,0.983,-0.178
1611792439237,2021-01-27T18.07.19.237,0.148,0.024,0.980,-0.176
1611792439247,2021-01-27T18.07.19.247,0.158,0.025,0.980,-0.181
1611792439257,2021-01-27T18.07.19.257,0.168,0.024,0.982,-0.180
1611792439268,2021-01-27T18.07.19.268,0.179,0.021,0.985,-0.176
1611792439276,2021-01-27T18.07.19.276,0.187,0.013,0.987,-0.182
1611792439287,2021-01-27T18.07.19.287,0.198,0.012,0.988,-0.186
1611792439297,2021-01-27T18.07.19.297,0.208,0.014,0.986,-0.187
1611792439307,2021-01-27T18.07.19.307,0.218,0.018,0.982,-0.183
1611792439316,2021-01-27T18.07.19.316,0.227,0.024,0.980,-0.174
1611792439326,2021-01-27T18.07.19.326,0.237,0.021,0.982,-0.175
1611792439336,2021-01-27T18.07.19.336,0.247,0.023,0.986,-0.180
1611792439347,2021-01-27T18.07.19.347,0.258,0.022,0.987,-0.182
1611792439357,2021-01-27T18.07.19.357,0.268,0.020,0.983,-0.181
1611792439366,2021-01-27T18.07.19.366,0.277,0.014,0.985,-0.181
1611792439376,2021-01-27T18.07.19.376,0.287,0.010,0.986,-0.183
1611792439386,2021-01-27T18.07.19.386,0.297,0.008,0.983,-0.182
1611792439396,2021-01-27T18.07.19.396,0.307,0.008,0.984,-0.182
1611792439405,2021-01-27T18.07.19.405,0.316,0.010,0.990,-0.182
1611792439415,2021-01-27T18.07.19.415,0.326,0.016,0.986,-0.174
1611792439426,2021-01-27T18.07.19.426,0.337,0.013,0.979,-0.176
1611792439436,2021-01-27T18.07.19.436,0.347,0.012,0.983,-0.177
1611792439446,2021-01-27T18.07.19.446,0.357,0.012,0.983,-0.178
1611792439455,2021-01-27T18.07.19.455,0.366,0.011,0.984,-0.181
1611792439465,2021-01-27T18.07.19.465,0.376,0.017,0.985,-0.181
1611792439476,2021-01-27T18.07.19.476,0.387,0.017,0.984,-0.179
1611792439486,2021-01-27T18.07.19.486,0.397,0.016,0.987,-0.181
1611792439495,2021-01-27T18.07.19.495,0.406,0.021,0.985,-0.182
1611792439505,2021-01-27T18.07.19.505,0.416,0.025,0.979,-0.183
1611792439515,2021-01-27T18.07.19.515,0.426,0.025,0.976,-0.179
1611792439525,2021-01-27T18.07.19.525,0.436,0.018,0.978,-0.180
1611792439534,2021-01-27T18.07.19.534,0.445,0.009,0.984,-0.180
1611792439544,2021-01-27T18.07.19.544,0.455,0.010,0.989,-0.176
1611792439555,2021-01-27T18.07.19.555,0.466,0.010,0.992,-0.179
1611792439565,2021-01-27T18.07.19.565,0.476,0.017,0.989,-0.182
1611792439575,2021-01-27T18.07.19.575,0.486,0.018,0.981,-0.179
1611792439584,2021-01-27T18.07.19.584,0.495,0.011,0.983,-0.180
1611792439594,2021-01-27T18.07.19.594,0.505,0.007,0.983,-0.183
1611792439604,2021-01-27T18.07.19.604,0.515,0.006,0.982,-0.182
1611792439615,2021-01-27T18.07.19.615,0.526,0.011,0.982,-0.177
1611792439623,2021-01-27T18.07.19.623,0.534,0.013,0.989,-0.176
1611792439634,2021-01-27T18.07.19.634,0.545,0.019,0.988,-0.180
1611792439644,2021-01-27T18.07.19.644,0.555,0.029,0.984,-0.177
1611792439654,2021-01-27T18.07.19.654,0.565,0.032,0.981,-0.175
1611792439665,2021-01-27T18.07.19.665,0.576,0.025,0.980,-0.172
1611792439673,2021-01-27T18.07.19.673,0.584,0.015,0.981,-0.170
1611792439684,2021-01-27T18.07.19.684,0.595,0.005,0.988,-0.172
1611792439694,2021-01-27T18.07.19.694,0.605,0.006,0.994,-0.178
1611792439704,2021-01-27T18.07.19.704,0.615,0.009,0.992,-0.180
1611792439713,2021-01-27T18.07.19.713,0.624,0.015,0.985,-0.185
1611792439723,2021-01-27T18.07.19.723,0.634,0.023,0.981,-0.181
1611792439733,2021-01-27T18.07.19.733,0.644,0.023,0.980,-0.179
1611792439744,2021-01-27T18.07.19.744,0.655,0.022,0.978,-0.175
1611792439754,2021-01-27T18.07.19.754,0.665,0.020,0.979,-0.173
1611792439763,2021-01-27T18.07.19.763,0.674,0.004,0.985,-0.176
1611792439773,2021-01-27T18.07.19.773,0.684,-0.005,0.991,-0.186
1611792439783,2021-01-27T18.07.19.783,0.694,0.001,0.994,-0.184
1611792439793,2021-01-27T18.07.19.793,0.704,0.008,0.988,-0.177
1611792439802,2021-01-27T18.07.19.802,0.713,0.006,0.980,-0.176
1611792439812,2021-01-27T18.07.19.812,0.723,0.008,0.980,-0.176
1611792439823,2021-01-27T18.07.19.823,0.734,0.009,0.981,-0.171
1611792439833,2021-01-27T18.07.19.833,0.744,0.006,0.986,-0.174
1611792439843,2021-01-27T18.07.19.843,0.754,0.014,0.989,-0.184
1611792439852,2021-01-27T18.07.19.852,0.763,0.018,0.985,-0.180
1611792439862,2021-01-27T18.07.19.862,0.773,0.014,0.982,-0.178
1611792439873,2021-01-27T18.07.19.873,0.784,0.007,0.983,-0.176
1611792439883,2021-01-27T18.07.19.883,0.794,0.002,0.987,-0.175
1611792439892,2021-01-27T18.07.19.892,0.803,0.010,0.985,-0.179
1611792439902,2021-01-27T18.07.19.902,0.813,0.017,0.982,-0.177
1611792439912,2021-01-27T18.07.19.912,0.823,0.024,0.985,-0.178
1611792439922,2021-01-27T18.07.19.922,0.833,0.030,0.984,-0.180
1611792439931,2021-01-27T18.07.19.931,0.842,0.027,0.978,-0.178
1611792439941,2021-01-27T18.07.19.941,0.852,0.018,0.979,-0.175
1611792439952,2021-01-27T18.07.19.952,0.863,0.007,0.982,-0.172
1611792439962,2021-01-27T18.07.19.962,0.873,-0.003,0.987,-0.176
1611792439972,2021-01-27T18.07.19.972,0.883,-0.011,0.991,-0.183
1611792439981,2021-01-27T18.07.19.981,0.892,-0.005,0.989,-0.184
1611792439991,2021-01-27T18.07.19.991,0.902,0.007,0.984,-0.176
1611792440001,2021-01-27T18.07.20.001,0.912,0.019,0.983,-0.174
1611792440012,2021-01-27T18.07.20.012,0.923,0.023,0.981,-0.176
1611792440020,2021-01-27T18.07.20.020,0.931,0.022,0.981,-0.174
1611792440031,2021-01-27T18.07.20.031,0.942,0.019,0.985,-0.177
1611792440041,2021-01-27T18.07.20.041,0.952,0.013,0.987,-0.185
1611792440051,2021-01-27T18.07.20.051,0.962,0.016,0.990,-0.186
1611792440061,2021-01-27T18.07.20.061,0.972,0.017,0.985,-0.177
1611792440070,2021-01-27T18.07.20.070,0.981,0.005,0.982,-0.172
1611792440081,2021-01-27T18.07.20.081,0.992,-0.008,0.986,-0.169
1611792440091,2021-01-27T18.07.20.091,1.002,-0.008,0.991,-0.172
1611792440101,2021-01-27T18.07.20.101,1.012,0.002,0.987,-0.178
1611792440111,2021-01-27T18.07.20.111,1.022,0.018,0.985,-0.178
1611792440120,2021-01-27T18.07.20.120,1.031,0.024,0.984,-0.176
1611792440130,2021-01-27T18.07.20.130,1.041,0.029,0.981,-0.172
1611792440141,2021-01-27T18.07.20.141,1.052,0.028,0.979,-0.173
1611792440151,2021-01-27T18.07.20.151,1.062,0.022,0.980,-0.176
1611792440160,2021-01-27T18.07.20.160,1.071,0.011,0.979,-0.179
1611792440170,2021-01-27T18.07.20.170,1.081,0.006,0.983,-0.174
1611792440180,2021-01-27T18.07.20.180,1.091,0.000,0.990,-0.173
1611792440190,2021-01-27T18.07.20.190,1.101,-0.002,0.998,-0.174
1611792440199,2021-01-27T18.07.20.199,1.110,-0.002,0.990,-0.174
1611792440209,2021-01-27T18.07.20.209,1.120,-0.000,0.985,-0.174
1611792440220,2021-01-27T18.07.20.220,1.131,0.005,0.984,-0.178
1611792440230,2021-01-27T18.07.20.230,1.141,0.014,0.983,-0.179
1611792440240,2021-01-27T18.07.20.240,1.151,0.016,0.984,-0.177
1611792440249,2021-01-27T18.07.20.249,1.160,0.014,0.981,-0.180
1611792440259,2021-01-27T18.07.20.259,1.170,0.008,0.984,-0.177
1611792440269,2021-01-27T18.07.20.269,1.180,0.001,0.985,-0.176
1611792440280,2021-01-27T18.07.20.280,1.191,-0.005,0.988,-0.181
1611792440289,2021-01-27T18.07.20.289,1.200,-0.000,0.986,-0.182
1611792440299,2021-01-27T18.07.20.299,1.210,0.011,0.983,-0.173
1611792440309,2021-01-27T18.07.20.309,1.220,0.020,0.984,-0.171
1611792440319,2021-01-27T18.07.20.319,1.230,0.024,0.986,-0.173
1611792440330,2021-01-27T18.07.20.330,1.241,0.029,0.983,-0.178
1611792440338,2021-01-27T18.07.20.338,1.249,0.028,0.983,-0.174
1611792440349,2021-01-27T18.07.20.349,1.260,0.023,0.986,-0.172
1611792440359,2021-01-27T18.07.20.359,1.270,0.015,0.986,-0.171
1611792440369,2021-01-27T18.07.20.369,1.280,-0.000,0.988,-0.176
1611792440378,2021-01-27T18.07.20.378,1.289,-0.008,0.989,-0.186
1611792440388,2021-01-27T18.07.20.388,1.299,-0.004,0.985,-0.182
1611792440398,2021-01-27T18.07.20.398,1.309,0.003,0.982,-0.173
1611792440409,2021-01-27T18.07.20.409,1.320,0.006,0.984,-0.170
1611792440417,2021-01-27T18.07.20.417,1.328,0.009,0.986,-0.175
1611792440428,2021-01-27T18.07.20.428,1.339,0.016,0.987,-0.176
1611792440438,2021-01-27T18.07.20.438,1.349,0.013,0.978,-0.177
1611792440448,2021-01-27T18.07.20.448,1.359,0.008,0.979,-0.178
1611792440458,2021-01-27T18.07.20.458,1.369,0.014,0.986,-0.176
1611792440467,2021-01-27T18.07.20.467,1.378,0.014,0.986,-0.171
1611792440477,2021-01-27T18.07.20.477,1.388,0.013,0.986,-0.172
