epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1611792439098,2021-01-27T18.07.19.098,0.000,2.500,1.829,0.000
1611792439108,2021-01-27T18.07.19.108,0.010,2.378,1.829,-1.159
1611792439118,2021-01-27T18.07.19.118,0.020,2.622,1.159,-0.244
1611792439128,2021-01-27T18.07.19.128,0.030,2.378,1.220,0.000
1611792439137,2021-01-27T18.07.19.137,0.039,2.439,1.890,-0.244
1611792439147,2021-01-27T18.07.19.147,0.049,3.415,1.220,-0.549
1611792439158,2021-01-27T18.07.19.158,0.060,2.073,1.524,-0.183
1611792439168,2021-01-27T18.07.19.168,0.070,0.488,3.598,0.061
1611792439178,2021-01-27T18.07.19.178,0.080,1.768,3.659,-0.122
1611792439187,2021-01-27T18.07.19.187,0.089,2.378,0.000,-0.427
1611792439197,2021-01-27T18.07.19.197,0.099,0.610,-2.805,-0.610
1611792439207,2021-01-27T18.07.19.207,0.109,-0.488,-2.622,-0.732
1611792439218,2021-01-27T18.07.19.218,0.120,-0.122,-1.951,-0.732
1611792439227,2021-01-27T18.07.19.227,0.129,0.793,-2.500,-0.732
1611792439237,2021-01-27T18.07.19.237,0.139,0.671,-2.988,-0.549
1611792439247,2021-01-27T18.07.19.247,0.149,0.366,-2.500,-0.183
1611792439257,2021-01-27T18.07.19.257,0.159,0.854,-1.646,0.000
1611792439268,2021-01-27T18.07.19.268,0.170,1.707,-1.220,-0.122
1611792439276,2021-01-27T18.07.19.276,0.178,1.707,-1.280,-0.061
1611792439287,2021-01-27T18.07.19.287,0.189,0.793,-1.585,0.000
1611792439297,2021-01-27T18.07.19.297,0.199,0.244,-1.768,-0.061
1611792439307,2021-01-27T18.07.19.307,0.209,0.122,-2.073,-0.244
1611792439316,2021-01-27T18.07.19.316,0.218,0.244,-2.012,-0.183
1611792439326,2021-01-27T18.07.19.326,0.228,0.793,-1.707,-0.061
1611792439336,2021-01-27T18.07.19.336,0.238,0.854,-0.793,0.061
1611792439347,2021-01-27T18.07.19.347,0.249,0.488,0.183,0.183
1611792439357,2021-01-27T18.07.19.357,0.259,0.549,0.122,0.244
1611792439366,2021-01-27T18.07.19.366,0.268,0.244,-0.305,0.488
1611792439376,2021-01-27T18.07.19.376,0.278,-0.427,-0.427,0.366
1611792439386,2021-01-27T18.07.19.386,0.288,0.122,-0.427,0.061
1611792439396,2021-01-27T18.07.19.396,0.298,1.524,-0.671,-0.305
1611792439405,2021-01-27T18.07.19.405,0.307,1.585,-1.585,-0.366
1611792439415,2021-01-27T18.07.19.415,0.317,-0.244,-1.768,-0.305
1611792439426,2021-01-27T18.07.19.426,0.328,-0.244,-0.488,-0.305
1611792439436,2021-01-27T18.07.19.436,0.338,1.463,0.305,0.000
1611792439446,2021-01-27T18.07.19.446,0.348,0.976,-0.061,-0.122
1611792439455,2021-01-27T18.07.19.455,0.357,0.366,-1.280,-0.427
1611792439465,2021-01-27T18.07.19.465,0.367,0.793,-2.500,-0.427
1611792439476,2021-01-27T18.07.19.476,0.378,0.244,-2.012,-0.244
1611792439486,2021-01-27T18.07.19.486,0.388,0.366,-0.671,-0.488
1611792439495,2021-01-27T18.07.19.495,0.397,1.037,-1.220,-0.549
1611792439505,2021-01-27T18.07.19.505,0.407,0.183,-2.317,-0.305
1611792439515,2021-01-27T18.07.19.515,0.417,-0.244,-1.585,-0.122
1611792439525,2021-01-27T18.07.19.525,0.427,0.976,0.488,0.000
1611792439536,2021-01-27T18.07.19.536,0.438,1.829,1.524,0.000
1611792439544,2021-01-27T18.07.19.544,0.446,1.890,0.976,-0.183
1611792439555,2021-01-27T18.07.19.555,0.457,1.524,-0.061,-0.488
1611792439565,2021-01-27T18.07.19.565,0.467,1.159,-0.854,-0.854
1611792439575,2021-01-27T18.07.19.575,0.477,0.671,0.000,-0.854
1611792439584,2021-01-27T18.07.19.584,0.486,0.793,1.341,-0.793
1611792439594,2021-01-27T18.07.19.594,0.496,0.671,0.732,-0.671
1611792439604,2021-01-27T18.07.19.604,0.506,0.244,-0.854,-0.427
1611792439615,2021-01-27T18.07.19.615,0.517,0.488,-1.524,-0.427
1611792439623,2021-01-27T18.07.19.623,0.525,0.732,-1.768,-0.610
1611792439634,2021-01-27T18.07.19.634,0.536,0.183,-2.439,-0.671
1611792439644,2021-01-27T18.07.19.644,0.546,-0.549,-2.439,-0.610
1611792439654,2021-01-27T18.07.19.654,0.556,0.305,-1.159,-0.610
1611792439665,2021-01-27T18.07.19.665,0.567,0.732,0.915,-0.183
1611792439673,2021-01-27T18.07.19.673,0.575,0.671,2.561,0.000
1611792439684,2021-01-27T18.07.19.684,0.586,1.829,2.866,-0.244
1611792439694,2021-01-27T18.07.19.694,0.596,1.585,1.220,-0.244
1611792439704,2021-01-27T18.07.19.704,0.606,-0.732,-0.488,-0.244
1611792439713,2021-01-27T18.07.19.713,0.615,-1.220,-1.098,-0.549
1611792439723,2021-01-27T18.07.19.723,0.625,-0.061,-0.976,-0.488
1611792439733,2021-01-27T18.07.19.733,0.635,0.427,-0.915,-0.183
1611792439744,2021-01-27T18.07.19.744,0.646,0.549,-0.732,-0.122
1611792439754,2021-01-27T18.07.19.754,0.656,0.793,0.915,-0.061
1611792439763,2021-01-27T18.07.19.763,0.665,1.646,2.683,0.061
1611792439773,2021-01-27T18.07.19.773,0.675,1.402,2.439,0.122
1611792439783,2021-01-27T18.07.19.783,0.685,0.366,0.366,-0.061
1611792439793,2021-01-27T18.07.19.793,0.695,-0.183,-0.793,-0.366
1611792439802,2021-01-27T18.07.19.802,0.704,-0.488,-0.793,-0.183
1611792439812,2021-01-27T18.07.19.812,0.714,-0.061,-0.976,-0.366
1611792439823,2021-01-27T18.07.19.823,0.725,0.366,-0.427,-0.305
1611792439833,2021-01-27T18.07.19.833,0.735,0.976,-0.366,-0.366
1611792439843,2021-01-27T18.07.19.843,0.745,0.610,-1.829,-0.305
1611792439852,2021-01-27T18.07.19.852,0.754,-0.366,-2.439,-0.244
1611792439862,2021-01-27T18.07.19.862,0.764,0.793,-1.037,-0.061
1611792439873,2021-01-27T18.07.19.873,0.775,1.463,-0.061,0.000
1611792439883,2021-01-27T18.07.19.883,0.785,0.122,-0.976,0.122
1611792439892,2021-01-27T18.07.19.892,0.794,-0.671,-1.707,-0.305
1611792439902,2021-01-27T18.07.19.902,0.804,0.183,-1.890,-0.671
1611792439912,2021-01-27T18.07.19.912,0.814,0.915,-2.195,-0.610
1611792439922,2021-01-27T18.07.19.922,0.824,-0.244,-1.707,-0.366
1611792439933,2021-01-27T18.07.19.933,0.835,-0.061,-0.305,-0.305
1611792439941,2021-01-27T18.07.19.941,0.843,1.280,1.037,-0.244
1611792439952,2021-01-27T18.07.19.952,0.854,2.073,1.829,-0.183
1611792439962,2021-01-27T18.07.19.962,0.864,2.256,2.012,0.000
1611792439972,2021-01-27T18.07.19.972,0.874,1.037,1.159,0.000
1611792439981,2021-01-27T18.07.19.981,0.883,-0.183,-0.488,-0.427
1611792439991,2021-01-27T18.07.19.991,0.893,0.000,-1.890,-0.854
1611792440001,2021-01-27T18.07.20.001,0.903,0.061,-2.134,-0.610
1611792440012,2021-01-27T18.07.20.012,0.914,-0.305,-2.134,-0.244
1611792440022,2021-01-27T18.07.20.022,0.924,-0.122,-1.768,0.000
1611792440031,2021-01-27T18.07.20.031,0.933,0.427,-0.488,0.122
1611792440041,2021-01-27T18.07.20.041,0.943,1.037,-0.122,0.061
1611792440051,2021-01-27T18.07.20.051,0.953,1.280,-1.220,0.000
1611792440061,2021-01-27T18.07.20.061,0.963,0.793,-1.341,0.122
1611792440070,2021-01-27T18.07.20.070,0.972,0.122,1.098,0.305
1611792440081,2021-01-27T18.07.20.081,0.983,1.098,2.073,0.000
1611792440091,2021-01-27T18.07.20.091,0.993,1.341,0.244,-0.366
1611792440101,2021-01-27T18.07.20.101,1.003,-0.427,-2.378,-0.488
1611792440111,2021-01-27T18.07.20.111,1.013,-0.915,-3.841,-0.610
1611792440120,2021-01-27T18.07.20.120,1.022,-0.366,-3.171,-0.549
1611792440130,2021-01-27T18.07.20.130,1.032,0.061,-1.585,-0.244
1611792440141,2021-01-27T18.07.20.141,1.043,0.366,-0.488,0.000
1611792440151,2021-01-27T18.07.20.151,1.053,0.244,0.183,0.122
1611792440160,2021-01-27T18.07.20.160,1.062,0.183,0.671,0.183
1611792440170,2021-01-27T18.07.20.170,1.072,1.463,1.037,0.000
1611792440180,2021-01-27T18.07.20.180,1.082,2.561,1.220,-0.183
1611792440190,2021-01-27T18.07.20.190,1.092,1.707,0.671,-0.244
1611792440199,2021-01-27T18.07.20.199,1.101,-0.305,-0.427,-0.366
1611792440209,2021-01-27T18.07.20.209,1.111,-0.366,-1.098,-0.427
1611792440220,2021-01-27T18.07.20.220,1.122,0.793,-1.951,-0.488
1611792440230,2021-01-27T18.07.20.230,1.132,0.732,-2.866,-0.610
1611792440240,2021-01-27T18.07.20.240,1.142,0.244,-2.256,-0.427
1611792440249,2021-01-27T18.07.20.249,1.151,0.549,-0.976,-0.183
1611792440259,2021-01-27T18.07.20.259,1.161,1.524,-0.183,0.000
1611792440269,2021-01-27T18.07.20.269,1.171,1.829,-0.061,0.305
1611792440280,2021-01-27T18.07.20.280,1.182,0.915,-0.854,0.183
1611792440289,2021-01-27T18.07.20.289,1.191,0.183,-2.256,-0.366
1611792440299,2021-01-27T18.07.20.299,1.201,0.671,-3.476,-0.732
1611792440309,2021-01-27T18.07.20.309,1.211,0.854,-2.805,-0.793
1611792440319,2021-01-27T18.07.20.319,1.221,0.793,-1.890,-0.732
1611792440330,2021-01-27T18.07.20.330,1.232,0.610,-1.463,-0.427
1611792440338,2021-01-27T18.07.20.338,1.240,0.305,-0.305,-0.305
1611792440349,2021-01-27T18.07.20.349,1.251,1.220,0.976,-0.366
1611792440359,2021-01-27T18.07.20.359,1.261,1.585,2.622,-0.366
1611792440369,2021-01-27T18.07.20.369,1.271,2.012,3.780,-0.427
1611792440378,2021-01-27T18.07.20.378,1.280,1.951,2.256,-0.610
1611792440388,2021-01-27T18.07.20.388,1.290,-0.305,-0.793,-0.671
1611792440398,2021-01-27T18.07.20.398,1.300,-0.732,-1.829,-0.671
1611792440409,2021-01-27T18.07.20.409,1.311,1.037,-0.854,-0.488
1611792440419,2021-01-27T18.07.20.419,1.321,1.463,-0.671,-0.305
1611792440428,2021-01-27T18.07.20.428,1.330,0.366,-2.134,-0.061
1611792440438,2021-01-27T18.07.20.438,1.340,-0.671,-2.500,0.122
1611792440448,2021-01-27T18.07.20.448,1.350,0.427,-1.768,0.122
1611792440458,2021-01-27T18.07.20.458,1.360,1.890,-1.463,-0.122
1611792440467,2021-01-27T18.07.20.467,1.369,1.159,-1.220,-0.305
1611792440477,2021-01-27T18.07.20.477,1.379,0.244,-0.915,-0.183
1611792440488,2021-01-27T18.07.20.488,1.390,0.427,-0.793,0.183
1611792440498,2021-01-27T18.07.20.498,1.400,0.366,-1.341,0.305
1611792440507,2021-01-27T18.07.20.507,1.409,0.122,-0.915,0.366
1611792440517,2021-01-27T18.07.20.517,1.419,1.098,0.854,0.244
1611792440527,2021-01-27T18.07.20.527,1.429,1.707,1.341,0.366
1611792440538,2021-01-27T18.07.20.538,1.440,0.732,0.488,0.305
1611792440548,2021-01-27T18.07.20.548,1.450,0.122,-0.183,0.000
1611792440557,2021-01-27T18.07.20.557,1.459,0.976,-0.671,-0.122
1611792440567,2021-01-27T18.07.20.567,1.469,0.610,-0.915,0.000
1611792440577,2021-01-27T18.07.20.577,1.479,-1.159,-0.915,0.366
1611792440587,2021-01-27T18.07.20.587,1.489,-0.793,0.305,0.549
1611792440596,2021-01-27T18.07.20.596,1.498,1.707,2.805,0.732
1611792440606,2021-01-27T18.07.20.606,1.508,2.561,3.902,0.915
1611792440617,2021-01-27T18.07.20.617,1.519,1.829,2.195,0.854
1611792440627,2021-01-27T18.07.20.627,1.529,0.488,-0.610,0.488
1611792440637,2021-01-27T18.07.20.637,1.539,-1.098,-3.110,0.122
1611792440646,2021-01-27T18.07.20.646,1.548,-1.098,-4.695,-0.122
1611792440656,2021-01-27T18.07.20.656,1.558,-1.037,-4.207,0.122
1611792440666,2021-01-27T18.07.20.666,1.568,-0.976,-2.195,0.671
1611792440677,2021-01-27T18.07.20.677,1.579,0.305,-0.244,0.793
1611792440686,2021-01-27T18.07.20.686,1.588,1.829,1.159,0.732
1611792440696,2021-01-27T18.07.20.696,1.598,2.012,2.134,0.854
1611792440706,2021-01-27T18.07.20.706,1.608,1.037,1.463,0.732
1611792440716,2021-01-27T18.07.20.716,1.618,0.305,0.183,0.366
1611792440727,2021-01-27T18.07.20.727,1.629,0.732,-0.793,0.122
1611792440735,2021-01-27T18.07.20.735,1.637,0.549,-1.220,0.305
1611792440746,2021-01-27T18.07.20.746,1.648,0.488,-1.707,0.549
1611792440756,2021-01-27T18.07.20.756,1.658,1.037,-2.134,0.549
1611792440766,2021-01-27T18.07.20.766,1.668,0.915,-2.378,0.427
1611792440776,2021-01-27T18.07.20.776,1.678,0.366,-2.012,0.366
1611792440785,2021-01-27T18.07.20.785,1.687,0.366,-0.671,0.427
1611792440795,2021-01-27T18.07.20.795,1.697,1.280,0.061,0.488
1611792440806,2021-01-27T18.07.20.806,1.708,1.220,-0.061,0.610
1611792440816,2021-01-27T18.07.20.816,1.718,0.671,-0.488,0.488
1611792440825,2021-01-27T18.07.20.825,1.727,1.829,-1.585,0.305
1611792440835,2021-01-27T18.07.20.835,1.737,1.098,-1.768,0.549
1611792440845,2021-01-27T18.07.20.845,1.747,-0.549,-0.610,0.610
1611792440855,2021-01-27T18.07.20.855,1.757,0.793,-0.549,0.427
1611792440864,2021-01-27T18.07.20.864,1.766,1.524,-1.280,0.610
1611792440874,2021-01-27T18.07.20.874,1.776,0.610,-0.061,0.854
1611792440885,2021-01-27T18.07.20.885,1.787,1.280,1.585,0.671
1611792440895,2021-01-27T18.07.20.895,1.797,2.012,0.732,0.610
1611792440904,2021-01-27T18.07.20.904,1.806,0.854,-0.915,0.549
1611792440914,2021-01-27T18.07.20.914,1.816,-0.061,-1.890,0.427
1611792440924,2021-01-27T18.07.20.924,1.826,0.244,-2.500,0.427
1611792440935,2021-01-27T18.07.20.935,1.837,0.244,-2.927,0.549
1611792440945,2021-01-27T18.07.20.945,1.847,-0.183,-2.805,0.671
1611792440954,2021-01-27T18.07.20.954,1.856,-0.671,-1.159,0.915
1611792440964,2021-01-27T18.07.20.964,1.866,0.122,1.098,0.915
1611792440974,2021-01-27T18.07.20.974,1.876,2.500,1.768,0.671
1611792440984,2021-01-27T18.07.20.984,1.886,2.500,0.305,0.732
1611792440993,2021-01-27T18.07.20.993,1.895,0.061,-1.280,0.732
1611792441003,2021-01-27T18.07.21.003,1.905,-0.488,-1.098,0.488
1611792441014,2021-01-27T18.07.21.014,1.916,0.305,0.366,0.427
1611792441024,2021-01-27T18.07.21.024,1.926,0.183,0.671,0.610
1611792441034,2021-01-27T18.07.21.034,1.936,-0.061,-0.671,0.671
