epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580956145425,2020-02-05T20.29.05.425,0.000,-0.998,-0.042,0.084
1580956145435,2020-02-05T20.29.05.435,0.010,-1.009,-0.039,0.103
1580956145444,2020-02-05T20.29.05.444,0.019,-1.009,-0.045,0.114
1580956145454,2020-02-05T20.29.05.454,0.029,-1.005,-0.042,0.102
1580956145464,2020-02-05T20.29.05.464,0.039,-1.011,-0.038,0.090
1580956145475,2020-02-05T20.29.05.475,0.050,-1.006,-0.044,0.079
1580956145483,2020-02-05T20.29.05.483,0.058,-1.001,-0.048,0.082
1580956145494,2020-02-05T20.29.05.494,0.069,-1.008,-0.042,0.105
1580956145504,2020-02-05T20.29.05.504,0.079,-1.015,-0.040,0.122
1580956145514,2020-02-05T20.29.05.514,0.089,-1.014,-0.046,0.125
1580956145523,2020-02-05T20.29.05.523,0.098,-1.009,-0.046,0.122
1580956145533,2020-02-05T20.29.05.533,0.108,-1.012,-0.043,0.112
1580956145543,2020-02-05T20.29.05.543,0.118,-1.009,-0.041,0.103
1580956145554,2020-02-05T20.29.05.554,0.129,-1.007,-0.041,0.096
1580956145563,2020-02-05T20.29.05.563,0.138,-1.009,-0.041,0.093
1580956145573,2020-02-05T20.29.05.573,0.148,-1.007,-0.046,0.102
1580956145583,2020-02-05T20.29.05.583,0.158,-1.004,-0.045,0.115
1580956145593,2020-02-05T20.29.05.593,0.168,-1.008,-0.043,0.123
1580956145602,2020-02-05T20.29.05.602,0.177,-1.007,-0.042,0.120
1580956145612,2020-02-05T20.29.05.612,0.187,-1.005,-0.040,0.116
1580956145623,2020-02-05T20.29.05.623,0.198,-1.002,-0.043,0.119
1580956145633,2020-02-05T20.29.05.633,0.208,-1.002,-0.044,0.116
1580956145642,2020-02-05T20.29.05.642,0.217,-1.003,-0.046,0.118
1580956145652,2020-02-05T20.29.05.652,0.227,-1.008,-0.047,0.115
1580956145662,2020-02-05T20.29.05.662,0.237,-1.012,-0.046,0.109
1580956145672,2020-02-05T20.29.05.672,0.247,-1.010,-0.049,0.112
1580956145681,2020-02-05T20.29.05.681,0.256,-1.012,-0.052,0.129
1580956145691,2020-02-05T20.29.05.691,0.266,-1.009,-0.053,0.135
