epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.58096E+12,2020-02-05T20.29.05.444,0,-12.195,-21.524,-1.28
1.58096E+12,2020-02-05T20.29.05.454,0.01,-12.927,-21.28,-0.488
1.58096E+12,2020-02-05T20.29.05.464,0.02,-12.5,-18.11,-0.915
1.58096E+12,2020-02-05T20.29.05.475,0.031,-11.037,-15.488,-1.89
1.58096E+12,2020-02-05T20.29.05.483,0.039,-7.866,-15.976,-1.89
1.58096E+12,2020-02-05T20.29.05.494,0.05,-6.159,-18.232,-0.793
1.58096E+12,2020-02-05T20.29.05.504,0.06,-4.573,-15.427,-0.305
1.58096E+12,2020-02-05T20.29.05.514,0.07,-3.354,-8.415,-0.366
1.58096E+12,2020-02-05T20.29.05.523,0.079,-2.622,-4.756,-0.427
1.58096E+12,2020-02-05T20.29.05.533,0.089,-1.646,-4.207,-0.244
1.58096E+12,2020-02-05T20.29.05.543,0.099,-1.28,-5.122,-0.183
1.58096E+12,2020-02-05T20.29.05.554,0.11,-0.671,-6.402,-0.488
1.58096E+12,2020-02-05T20.29.05.563,0.119,-0.244,-8.841,-0.671
1.58096E+12,2020-02-05T20.29.05.573,0.129,0.244,-10.549,-0.61
1.58096E+12,2020-02-05T20.29.05.583,0.139,-0.061,-9.756,-0.549
1.58096E+12,2020-02-05T20.29.05.593,0.149,-1.037,-7.622,-0.366
1.58096E+12,2020-02-05T20.29.05.602,0.158,-1.098,-6.402,-0.427
1.58096E+12,2020-02-05T20.29.05.612,0.168,-0.549,-7.927,-0.244
1.58096E+12,2020-02-05T20.29.05.623,0.179,-0.305,-9.39,-0.427
1.58096E+12,2020-02-05T20.29.05.633,0.189,-0.183,-9.024,-0.732
1.58096E+12,2020-02-05T20.29.05.642,0.198,0.061,-7.439,-0.793
1.58096E+12,2020-02-05T20.29.05.652,0.208,0.549,-7.073,-0.732
1.58096E+12,2020-02-05T20.29.05.662,0.218,1.037,-8.354,-0.671
1.58096E+12,2020-02-05T20.29.05.672,0.228,1.28,-10.427,-0.854
1.58096E+12,2020-02-05T20.29.05.683,0.239,1.463,-11.159,-0.915
1.58096E+12,2020-02-05T20.29.05.691,0.247,1.768,-10.488,-1.037
1.58096E+12,2020-02-05T20.29.05.702,0.258,2.256,-10,-1.037
1.58096E+12,2020-02-05T20.29.05.712,0.268,2.683,-8.72,-1.037
1.58096E+12,2020-02-05T20.29.05.722,0.278,2.805,-7.256,-1.098
1.58096E+12,2020-02-05T20.29.05.731,0.287,2.683,-5.061,-1.098
1.58096E+12,2020-02-05T20.29.05.741,0.297,2.988,-3.598,-0.854
1.58096E+12,2020-02-05T20.29.05.751,0.307,3.78,-4.39,-0.427
1.58096E+12,2020-02-05T20.29.05.762,0.318,3.598,-6.707,-0.244
1.58096E+12,2020-02-05T20.29.05.771,0.327,3.78,-10.183,-0.427
1.58096E+12,2020-02-05T20.29.05.781,0.337,5.061,-13.171,-0.549
1.58096E+12,2020-02-05T20.29.05.791,0.347,6.402,-15.427,-0.61
1.58096E+12,2020-02-05T20.29.05.801,0.357,7.256,-15.61,-0.366
1.58096E+12,2020-02-05T20.29.05.810,0.366,6.524,-12.866,-0.122
1.58096E+12,2020-02-05T20.29.05.820,0.376,5.305,-10.732,0
1.58096E+12,2020-02-05T20.29.05.831,0.387,5.061,-11.22,-0.061
1.58096E+12,2020-02-05T20.29.05.841,0.397,4.634,-11.159,-0.183
1.58096E+12,2020-02-05T20.29.05.850,0.406,3.293,-8.537,-0.305
1.58096E+12,2020-02-05T20.29.05.860,0.416,1.951,-5.427,-0.488
1.58096E+12,2020-02-05T20.29.05.870,0.426,1.28,-2.256,-0.671
1.58096E+12,2020-02-05T20.29.05.880,0.436,0.549,-0.061,-0.915
1.58096E+12,2020-02-05T20.29.05.889,0.445,0.488,0.427,-1.037
1.58096E+12,2020-02-05T20.29.05.899,0.455,0.183,0.915,-1.037
1.58096E+12,2020-02-05T20.29.05.910,0.466,-0.183,0.915,-0.915
1.58096E+12,2020-02-05T20.29.05.920,0.476,0.244,0.915,-0.793
1.58096E+12,2020-02-05T20.29.05.929,0.485,0.061,1.22,-0.915
1.58096E+12,2020-02-05T20.29.05.939,0.495,-0.366,1.768,-1.098
1.58096E+12,2020-02-05T20.29.05.949,0.505,-0.671,1.463,-0.915
1.58096E+12,2020-02-05T20.29.05.959,0.515,-0.976,1.951,-0.915
1.58096E+12,2020-02-05T20.29.05.968,0.524,-1.524,3.476,-0.915
1.58096E+12,2020-02-05T20.29.05.979,0.535,-1.646,3.598,-0.793
1.58096E+12,2020-02-05T20.29.05.989,0.545,-1.402,2.927,-0.61
1.58096E+12,2020-02-05T20.29.05.999,0.555,-1.585,2.683,-0.427
1.58096E+12,2020-02-05T20.29.06.008,0.564,-1.829,3.232,-0.366
1.58096E+12,2020-02-05T20.29.06.018,0.574,-2.5,3.841,-0.488
1.58096E+12,2020-02-05T20.29.06.028,0.584,-3.232,4.146,-0.549
1.58096E+12,2020-02-05T20.29.06.039,0.595,-4.024,4.939,-0.366
1.58096E+12,2020-02-05T20.29.06.047,0.603,-5.183,7.744,-0.427
1.58096E+12,2020-02-05T20.29.06.058,0.614,-6.707,9.451,-0.183
1.58096E+12,2020-02-05T20.29.06.068,0.624,-8.171,9.756,0.305
1.58096E+12,2020-02-05T20.29.06.078,0.634,-9.329,8.293,0.732
1.58096E+12,2020-02-05T20.29.06.087,0.643,-8.902,5.976,0.976
1.58096E+12,2020-02-05T20.29.06.097,0.653,-7.866,5.183,1.159
1.58096E+12,2020-02-05T20.29.06.107,0.663,-7.683,4.878,0.671
1.58096E+12,2020-02-05T20.29.06.118,0.674,-6.646,0.61,-0.244
1.58096E+12,2020-02-05T20.29.06.128,0.684,-1.951,-10.122,-0.915
1.58096E+12,2020-02-05T20.29.06.137,0.693,1.22,-15,-1.098
1.58096E+12,2020-02-05T20.29.06.147,0.703,0.549,-8.598,-0.915
1.58096E+12,2020-02-05T20.29.06.157,0.713,-0.488,-2.378,-0.671
1.58096E+12,2020-02-05T20.29.06.168,0.724,-0.549,-1.28,-0.427
1.58096E+12,2020-02-05T20.29.06.176,0.732,-0.976,-1.341,-0.122
1.58096E+12,2020-02-05T20.29.06.187,0.743,-1.402,-0.915,0.183
1.58096E+12,2020-02-05T20.29.06.197,0.753,-1.463,-0.549,0.427
1.58096E+12,2020-02-05T20.29.06.207,0.763,-0.732,0.854,0.427
1.58096E+12,2020-02-05T20.29.06.216,0.772,-0.244,4.207,0.305
