epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580956145709,2020-02-05T20.29.05.709,0.000,0.150,0.963,0.183
1580956145720,2020-02-05T20.29.05.720,0.011,0.151,0.972,0.186
1580956145730,2020-02-05T20.29.05.730,0.021,0.148,0.969,0.186
1580956145740,2020-02-05T20.29.05.740,0.031,0.146,0.970,0.187
1580956145750,2020-02-05T20.29.05.750,0.041,0.148,0.970,0.187
1580956145759,2020-02-05T20.29.05.759,0.050,0.152,0.969,0.184
1580956145770,2020-02-05T20.29.05.770,0.061,0.150,0.967,0.188
1580956145780,2020-02-05T20.29.05.780,0.071,0.149,0.965,0.187
1580956145790,2020-02-05T20.29.05.790,0.081,0.153,0.970,0.177
1580956145799,2020-02-05T20.29.05.799,0.090,0.151,0.970,0.184
1580956145809,2020-02-05T20.29.05.809,0.100,0.140,0.961,0.186
1580956145819,2020-02-05T20.29.05.819,0.110,0.150,0.967,0.179
1580956145830,2020-02-05T20.29.05.830,0.121,0.156,0.972,0.179
1580956145840,2020-02-05T20.29.05.840,0.131,0.148,0.966,0.181
1580956145849,2020-02-05T20.29.05.849,0.140,0.153,0.972,0.181
1580956145859,2020-02-05T20.29.05.859,0.150,0.140,0.965,0.181
1580956145869,2020-02-05T20.29.05.869,0.160,0.159,0.971,0.186
1580956145879,2020-02-05T20.29.05.879,0.170,0.153,0.972,0.178
1580956145888,2020-02-05T20.29.05.888,0.179,0.151,0.969,0.180
1580956145898,2020-02-05T20.29.05.898,0.189,0.157,0.969,0.177
1580956145909,2020-02-05T20.29.05.909,0.200,0.151,0.970,0.181
1580956145919,2020-02-05T20.29.05.919,0.210,0.150,0.969,0.182
1580956145929,2020-02-05T20.29.05.929,0.220,0.153,0.967,0.180
1580956145938,2020-02-05T20.29.05.938,0.229,0.153,0.972,0.183
1580956145948,2020-02-05T20.29.05.948,0.239,0.150,0.970,0.181
1580956145958,2020-02-05T20.29.05.958,0.249,0.149,0.969,0.180
1580956145969,2020-02-05T20.29.05.969,0.260,0.150,0.969,0.183
1580956145978,2020-02-05T20.29.05.978,0.269,0.150,0.967,0.183
1580956145988,2020-02-05T20.29.05.988,0.279,0.150,0.969,0.183
1580956145998,2020-02-05T20.29.05.998,0.289,0.149,0.970,0.182
1580956146008,2020-02-05T20.29.06.008,0.299,0.150,0.971,0.180
1580956146019,2020-02-05T20.29.06.019,0.310,0.152,0.969,0.180
1580956146027,2020-02-05T20.29.06.027,0.318,0.148,0.970,0.180
1580956146038,2020-02-05T20.29.06.038,0.329,0.146,0.971,0.185
1580956146048,2020-02-05T20.29.06.048,0.339,0.147,0.969,0.182
1580956146058,2020-02-05T20.29.06.058,0.349,0.146,0.971,0.188
1580956146067,2020-02-05T20.29.06.067,0.358,0.147,0.966,0.188
1580956146077,2020-02-05T20.29.06.077,0.368,0.152,0.969,0.180
1580956146087,2020-02-05T20.29.06.087,0.378,0.150,0.974,0.176
1580956146098,2020-02-05T20.29.06.098,0.389,0.148,0.971,0.186
1580956146108,2020-02-05T20.29.06.108,0.399,0.148,0.968,0.183
1580956146117,2020-02-05T20.29.06.117,0.408,0.155,0.969,0.181
1580956146127,2020-02-05T20.29.06.127,0.418,0.155,0.969,0.181
1580956146137,2020-02-05T20.29.06.137,0.428,0.149,0.969,0.180
1580956146147,2020-02-05T20.29.06.147,0.438,0.150,0.969,0.181
1580956146156,2020-02-05T20.29.06.156,0.447,0.151,0.970,0.181
1580956146167,2020-02-05T20.29.06.167,0.458,0.152,0.969,0.180
1580956146177,2020-02-05T20.29.06.177,0.468,0.150,0.967,0.180
1580956146187,2020-02-05T20.29.06.187,0.478,0.146,0.971,0.181
1580956146196,2020-02-05T20.29.06.196,0.487,0.146,0.970,0.184
1580956146206,2020-02-05T20.29.06.206,0.497,0.151,0.967,0.184
1580956146216,2020-02-05T20.29.06.216,0.507,0.151,0.969,0.183
1580956146227,2020-02-05T20.29.06.227,0.518,0.152,0.967,0.184
1580956146237,2020-02-05T20.29.06.237,0.528,0.148,0.967,0.182
1580956146246,2020-02-05T20.29.06.246,0.537,0.151,0.968,0.179
1580956146256,2020-02-05T20.29.06.256,0.547,0.151,0.972,0.179
1580956146266,2020-02-05T20.29.06.266,0.557,0.151,0.971,0.177
1580956146276,2020-02-05T20.29.06.276,0.567,0.152,0.969,0.178
1580956146285,2020-02-05T20.29.06.285,0.576,0.148,0.968,0.179
1580956146295,2020-02-05T20.29.06.295,0.586,0.149,0.970,0.182
1580956146306,2020-02-05T20.29.06.306,0.597,0.152,0.970,0.181
1580956146316,2020-02-05T20.29.06.316,0.607,0.148,0.971,0.180
1580956146326,2020-02-05T20.29.06.326,0.617,0.150,0.969,0.182
1580956146335,2020-02-05T20.29.06.335,0.626,0.151,0.969,0.184
1580956146345,2020-02-05T20.29.06.345,0.636,0.151,0.971,0.183
1580956146355,2020-02-05T20.29.06.355,0.646,0.150,0.971,0.181
1580956146366,2020-02-05T20.29.06.366,0.657,0.150,0.969,0.181
1580956146375,2020-02-05T20.29.06.375,0.666,0.148,0.971,0.181
1580956146385,2020-02-05T20.29.06.385,0.676,0.151,0.968,0.181
1580956146395,2020-02-05T20.29.06.395,0.686,0.150,0.968,0.180
1580956146405,2020-02-05T20.29.06.405,0.696,0.147,0.969,0.180
1580956146416,2020-02-05T20.29.06.416,0.707,0.149,0.967,0.182
1580956146424,2020-02-05T20.29.06.424,0.715,0.149,0.967,0.180
1580956146435,2020-02-05T20.29.06.435,0.726,0.149,0.970,0.180
1580956146445,2020-02-05T20.29.06.445,0.736,0.150,0.967,0.176
1580956146455,2020-02-05T20.29.06.455,0.746,0.150,0.970,0.179
1580956146464,2020-02-05T20.29.06.464,0.755,0.156,0.970,0.178
1580956146474,2020-02-05T20.29.06.474,0.765,0.151,0.968,0.179
1580956146484,2020-02-05T20.29.06.484,0.775,0.152,0.971,0.178
1580956146495,2020-02-05T20.29.06.495,0.786,0.151,0.973,0.181
1580956146505,2020-02-05T20.29.06.505,0.796,0.146,0.970,0.186
1580956146514,2020-02-05T20.29.06.514,0.805,0.145,0.962,0.183
1580956146524,2020-02-05T20.29.06.524,0.815,0.158,0.969,0.172
1580956146534,2020-02-05T20.29.06.534,0.825,0.160,0.969,0.173
1580956146544,2020-02-05T20.29.06.544,0.835,0.151,0.965,0.177
