epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1580956145730,2020-02-05T20.29.05.730,0.000,1.951,-1.707,0.549
1580956145740,2020-02-05T20.29.05.740,0.010,0.854,-1.280,0.671
1580956145750,2020-02-05T20.29.05.750,0.020,1.463,-1.037,0.305
1580956145759,2020-02-05T20.29.05.759,0.029,1.646,-0.793,0.549
1580956145770,2020-02-05T20.29.05.770,0.040,1.585,-1.098,0.427
1580956145780,2020-02-05T20.29.05.780,0.050,1.463,-1.341,0.366
1580956145790,2020-02-05T20.29.05.790,0.060,1.829,-1.220,0.427
1580956145799,2020-02-05T20.29.05.799,0.069,1.768,-1.524,0.427
1580956145809,2020-02-05T20.29.05.809,0.079,1.646,-1.646,0.244
1580956145819,2020-02-05T20.29.05.819,0.089,1.829,-0.732,0.549
1580956145830,2020-02-05T20.29.05.830,0.100,1.829,-0.854,0.610
1580956145840,2020-02-05T20.29.05.840,0.110,1.585,-1.646,0.427
1580956145849,2020-02-05T20.29.05.849,0.119,1.890,-0.671,0.610
1580956145859,2020-02-05T20.29.05.859,0.129,1.524,-1.220,0.427
1580956145869,2020-02-05T20.29.05.869,0.139,1.524,-0.610,0.732
1580956145879,2020-02-05T20.29.05.879,0.149,1.463,-0.976,0.549
1580956145888,2020-02-05T20.29.05.888,0.158,1.220,-1.646,0.122
1580956145898,2020-02-05T20.29.05.898,0.168,1.220,-0.976,0.183
1580956145909,2020-02-05T20.29.05.909,0.179,1.220,-1.463,-0.061
1580956145919,2020-02-05T20.29.05.919,0.189,1.220,-1.463,-0.183
1580956145929,2020-02-05T20.29.05.929,0.199,1.220,-1.098,-0.122
1580956145938,2020-02-05T20.29.05.938,0.208,1.159,-1.220,-0.122
1580956145948,2020-02-05T20.29.05.948,0.218,1.098,-1.524,-0.183
1580956145958,2020-02-05T20.29.05.958,0.228,1.220,-1.220,-0.244
1580956145969,2020-02-05T20.29.05.969,0.239,1.098,-1.098,-0.244
1580956145978,2020-02-05T20.29.05.978,0.248,1.159,-1.098,-0.183
1580956145988,2020-02-05T20.29.05.988,0.258,1.220,-1.159,-0.244
1580956145998,2020-02-05T20.29.05.998,0.268,1.280,-1.341,-0.183
1580956146008,2020-02-05T20.29.06.008,0.278,1.220,-1.524,-0.244
1580956146019,2020-02-05T20.29.06.019,0.289,1.280,-1.463,0.000
1580956146027,2020-02-05T20.29.06.027,0.297,1.220,-1.524,0.061
1580956146038,2020-02-05T20.29.06.038,0.308,1.220,-1.585,0.061
1580956146048,2020-02-05T20.29.06.048,0.318,1.220,-0.915,0.183
1580956146058,2020-02-05T20.29.06.058,0.328,1.220,-0.915,0.305
1580956146067,2020-02-05T20.29.06.067,0.337,1.098,-1.280,0.366
1580956146077,2020-02-05T20.29.06.077,0.347,1.280,-0.732,0.427
1580956146087,2020-02-05T20.29.06.087,0.357,1.280,-1.159,0.305
1580956146098,2020-02-05T20.29.06.098,0.368,1.098,-1.646,0.061
1580956146108,2020-02-05T20.29.06.108,0.378,1.098,-0.793,0.244
1580956146117,2020-02-05T20.29.06.117,0.387,1.098,-0.915,0.183
1580956146127,2020-02-05T20.29.06.127,0.397,1.037,-1.463,0.000
1580956146137,2020-02-05T20.29.06.137,0.407,0.976,-1.524,-0.122
1580956146147,2020-02-05T20.29.06.147,0.417,1.037,-1.402,-0.183
1580956146156,2020-02-05T20.29.06.156,0.426,1.037,-1.341,-0.183
1580956146167,2020-02-05T20.29.06.167,0.437,1.037,-1.280,-0.122
