epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580956145506,2020-02-05T20.29.05.506,0.000,0.337,-0.935,0.228
1580956145516,2020-02-05T20.29.05.516,0.010,0.341,-0.943,0.233
1580956145525,2020-02-05T20.29.05.525,0.019,0.337,-0.939,0.238
1580956145535,2020-02-05T20.29.05.535,0.029,0.343,-0.938,0.228
1580956145545,2020-02-05T20.29.05.545,0.039,0.347,-0.942,0.226
1580956145555,2020-02-05T20.29.05.555,0.049,0.341,-0.939,0.230
1580956145564,2020-02-05T20.29.05.564,0.058,0.340,-0.941,0.229
1580956145574,2020-02-05T20.29.05.574,0.068,0.340,-0.941,0.230
1580956145585,2020-02-05T20.29.05.585,0.079,0.338,-0.940,0.229
1580956145593,2020-02-05T20.29.05.593,0.087,0.345,-0.939,0.228
1580956145604,2020-02-05T20.29.05.604,0.098,0.343,-0.940,0.227
1580956145614,2020-02-05T20.29.05.614,0.108,0.339,-0.938,0.230
1580956145624,2020-02-05T20.29.05.624,0.118,0.343,-0.938,0.227
1580956145633,2020-02-05T20.29.05.633,0.127,0.341,-0.940,0.227
1580956145643,2020-02-05T20.29.05.643,0.137,0.344,-0.939,0.229
1580956145653,2020-02-05T20.29.05.653,0.147,0.342,-0.940,0.230
1580956145664,2020-02-05T20.29.05.664,0.158,0.346,-0.942,0.231
1580956145673,2020-02-05T20.29.05.673,0.167,0.346,-0.938,0.228
1580956145683,2020-02-05T20.29.05.683,0.177,0.344,-0.938,0.230
1580956145693,2020-02-05T20.29.05.693,0.187,0.342,-0.942,0.229
1580956145703,2020-02-05T20.29.05.703,0.197,0.345,-0.942,0.229
1580956145712,2020-02-05T20.29.05.712,0.206,0.347,-0.939,0.227
1580956145722,2020-02-05T20.29.05.722,0.216,0.346,-0.938,0.228
1580956145733,2020-02-05T20.29.05.733,0.227,0.343,-0.941,0.229
1580956145743,2020-02-05T20.29.05.743,0.237,0.340,-0.940,0.232
1580956145752,2020-02-05T20.29.05.752,0.246,0.342,-0.939,0.232
1580956145762,2020-02-05T20.29.05.762,0.256,0.344,-0.939,0.232
1580956145772,2020-02-05T20.29.05.772,0.266,0.344,-0.940,0.231
1580956145781,2020-02-05T20.29.05.781,0.275,0.346,-0.939,0.230
1580956145791,2020-02-05T20.29.05.791,0.285,0.346,-0.939,0.228
1580956145801,2020-02-05T20.29.05.801,0.295,0.342,-0.938,0.231
1580956145812,2020-02-05T20.29.05.812,0.306,0.341,-0.938,0.237
1580956145820,2020-02-05T20.29.05.820,0.314,0.344,-0.939,0.231
1580956145831,2020-02-05T20.29.05.831,0.325,0.343,-0.940,0.232
1580956145841,2020-02-05T20.29.05.841,0.335,0.336,-0.940,0.234
1580956145851,2020-02-05T20.29.05.851,0.345,0.345,-0.939,0.234
1580956145860,2020-02-05T20.29.05.860,0.354,0.348,-0.938,0.232
1580956145870,2020-02-05T20.29.05.870,0.364,0.344,-0.938,0.232
1580956145881,2020-02-05T20.29.05.881,0.375,0.346,-0.940,0.231
1580956145891,2020-02-05T20.29.05.891,0.385,0.344,-0.940,0.233
1580956145900,2020-02-05T20.29.05.900,0.394,0.343,-0.939,0.234
1580956145910,2020-02-05T20.29.05.910,0.404,0.341,-0.938,0.231
1580956145920,2020-02-05T20.29.05.920,0.414,0.341,-0.938,0.235
1580956145930,2020-02-05T20.29.05.930,0.424,0.340,-0.940,0.235
