epoc (ms),timestamp (-0600),elapsed (s),pitch (deg),roll (deg),yaw (deg),heading (deg)
1.58E+12,2020-02-05T20.32.00.114,0,2.447,-75.344,0,0
1.58E+12,2020-02-05T20.32.00.124,0.01,2.447,-75.363,0.001,0.001
1.58E+12,2020-02-05T20.32.00.133,0.019,2.447,-75.379,0.001,0.001
1.58E+12,2020-02-05T20.32.00.143,0.029,2.447,-75.389,0.001,0.001
1.58E+12,2020-02-05T20.32.00.154,0.04,2.447,-75.389,0.001,0.001
1.58E+12,2020-02-05T20.32.00.164,0.05,2.449,-75.406,359.993,359.993
1.58E+12,2020-02-05T20.32.00.173,0.059,2.452,-75.44,359.987,359.987
1.58E+12,2020-02-05T20.32.00.183,0.069,2.454,-75.455,359.988,359.988
1.58E+12,2020-02-05T20.32.00.193,0.079,2.456,-75.438,359.982,359.982
1.58E+12,2020-02-05T20.32.00.203,0.089,2.47,-75.45,359.985,359.985
1.58E+12,2020-02-05T20.32.00.212,0.098,2.482,-75.515,0.001,0.001
1.58E+12,2020-02-05T20.32.00.223,0.109,2.485,-75.572,0.019,0.019
1.58E+12,2020-02-05T20.32.00.233,0.119,2.477,-75.586,0.042,0.042
1.58E+12,2020-02-05T20.32.00.243,0.129,2.471,-75.586,0.062,0.062
1.58E+12,2020-02-05T20.32.00.252,0.138,2.469,-75.58,0.066,0.066
1.58E+12,2020-02-05T20.32.00.262,0.148,2.472,-75.543,0.054,0.054
1.58E+12,2020-02-05T20.32.00.272,0.158,2.479,-75.498,0.032,0.032
1.58E+12,2020-02-05T20.32.00.283,0.169,2.493,-75.508,0.022,0.022
1.58E+12,2020-02-05T20.32.00.291,0.177,2.504,-75.569,0.019,0.019
1.58E+12,2020-02-05T20.32.00.302,0.188,2.503,-75.636,0.022,0.022
1.58E+12,2020-02-05T20.32.00.312,0.198,2.498,-75.681,0.038,0.038
1.58E+12,2020-02-05T20.32.00.322,0.208,2.491,-75.716,0.062,0.062
1.58E+12,2020-02-05T20.32.00.331,0.217,2.485,-75.747,0.084,0.084
1.58E+12,2020-02-05T20.32.00.341,0.227,2.483,-75.772,0.096,0.096
1.58E+12,2020-02-05T20.32.00.351,0.237,2.483,-75.796,0.097,0.097
1.58E+12,2020-02-05T20.32.00.362,0.248,2.486,-75.828,0.09,0.09
1.58E+12,2020-02-05T20.32.00.370,0.256,2.489,-75.864,0.079,0.079
1.58E+12,2020-02-05T20.32.00.381,0.267,2.492,-75.897,0.071,0.071
1.58E+12,2020-02-05T20.32.00.391,0.277,2.499,-75.92,0.073,0.073
1.58E+12,2020-02-05T20.32.00.401,0.287,2.499,-75.935,0.074,0.074
1.58E+12,2020-02-05T20.32.00.411,0.297,2.499,-75.946,0.075,0.075
1.58E+12,2020-02-05T20.32.00.420,0.306,2.5,-75.955,0.075,0.075
1.58E+12,2020-02-05T20.32.00.431,0.317,2.499,-75.963,0.081,0.081
1.58E+12,2020-02-05T20.32.00.441,0.327,2.505,-75.972,0.094,0.094
1.58E+12,2020-02-05T20.32.00.451,0.337,2.516,-75.982,0.106,0.106
1.58E+12,2020-02-05T20.32.00.460,0.346,2.531,-75.987,0.122,0.122
1.58E+12,2020-02-05T20.32.00.470,0.356,2.547,-75.991,0.138,0.138
1.58E+12,2020-02-05T20.32.00.480,0.366,2.561,-75.998,0.153,0.153
1.58E+12,2020-02-05T20.32.00.491,0.377,2.574,-75.996,0.166,0.166
1.58E+12,2020-02-05T20.32.00.499,0.385,2.588,-75.971,0.179,0.179
1.58E+12,2020-02-05T20.32.00.510,0.396,2.604,-75.928,0.194,0.194
1.58E+12,2020-02-05T20.32.00.520,0.406,2.622,-75.898,0.211,0.211
1.58E+12,2020-02-05T20.32.00.530,0.416,2.64,-75.888,0.229,0.229
1.58E+12,2020-02-05T20.32.00.539,0.425,2.653,-75.885,0.251,0.251
1.58E+12,2020-02-05T20.32.00.549,0.435,2.66,-75.87,0.269,0.269
1.58E+12,2020-02-05T20.32.00.559,0.445,2.666,-75.849,0.285,0.285
1.58E+12,2020-02-05T20.32.00.570,0.456,2.673,-75.827,0.302,0.302
1.58E+12,2020-02-05T20.32.00.578,0.464,2.678,-75.805,0.318,0.318
1.58E+12,2020-02-05T20.32.00.589,0.475,2.682,-75.786,0.333,0.333
1.58E+12,2020-02-05T20.32.00.599,0.485,2.679,-75.773,0.345,0.345
1.58E+12,2020-02-05T20.32.00.609,0.495,2.675,-75.763,0.358,0.358
1.58E+12,2020-02-05T20.32.00.618,0.504,2.678,-75.752,0.378,0.378
1.58E+12,2020-02-05T20.32.00.628,0.514,2.683,-75.741,0.396,0.396
1.58E+12,2020-02-05T20.32.00.639,0.525,2.691,-75.732,0.411,0.411
1.58E+12,2020-02-05T20.32.00.649,0.535,2.699,-75.731,0.425,0.425
1.58E+12,2020-02-05T20.32.00.658,0.544,2.707,-75.73,0.433,0.433
1.58E+12,2020-02-05T20.32.00.668,0.554,2.708,-75.742,0.434,0.434
1.58E+12,2020-02-05T20.32.00.678,0.564,2.708,-75.761,0.435,0.435
1.58E+12,2020-02-05T20.32.00.688,0.574,2.709,-75.792,0.437,0.437
1.58E+12,2020-02-05T20.32.00.697,0.583,2.709,-75.835,0.438,0.438
1.58E+12,2020-02-05T20.32.00.707,0.593,2.709,-75.885,0.441,0.441
1.58E+12,2020-02-05T20.32.00.718,0.604,2.701,-75.936,0.442,0.442
1.58E+12,2020-02-05T20.32.00.728,0.614,2.687,-75.976,0.444,0.444
1.58E+12,2020-02-05T20.32.00.737,0.623,2.672,-76,0.447,0.447
1.58E+12,2020-02-05T20.32.00.748,0.634,2.657,-76.008,0.447,0.447
1.58E+12,2020-02-05T20.32.00.757,0.643,2.645,-75.999,0.444,0.444
1.58E+12,2020-02-05T20.32.00.767,0.653,2.634,-75.979,0.441,0.441
1.58E+12,2020-02-05T20.32.00.776,0.662,2.624,-75.957,0.429,0.429
1.58E+12,2020-02-05T20.32.00.786,0.672,2.614,-75.938,0.418,0.418
1.58E+12,2020-02-05T20.32.00.797,0.683,2.605,-75.92,0.408,0.408
1.58E+12,2020-02-05T20.32.00.807,0.693,2.597,-75.901,0.399,0.399
1.58E+12,2020-02-05T20.32.00.817,0.703,2.591,-75.879,0.384,0.384
1.58E+12,2020-02-05T20.32.00.827,0.713,2.587,-75.851,0.368,0.368
1.58E+12,2020-02-05T20.32.00.836,0.722,2.59,-75.821,0.357,0.357
1.58E+12,2020-02-05T20.32.00.847,0.733,2.593,-75.795,0.346,0.346
1.58E+12,2020-02-05T20.32.00.857,0.743,2.595,-75.775,0.339,0.339
1.58E+12,2020-02-05T20.32.00.866,0.752,2.595,-75.754,0.338,0.338
1.58E+12,2020-02-05T20.32.00.876,0.762,2.595,-75.725,0.337,0.337
1.58E+12,2020-02-05T20.32.00.886,0.772,2.585,-75.697,0.319,0.319
1.58E+12,2020-02-05T20.32.00.896,0.782,2.574,-75.69,0.293,0.293
1.58E+12,2020-02-05T20.32.00.907,0.793,2.565,-75.684,0.273,0.273
1.58E+12,2020-02-05T20.32.00.915,0.801,2.56,-75.636,0.258,0.258
1.58E+12,2020-02-05T20.32.00.926,0.812,2.565,-75.581,0.24,0.24
1.58E+12,2020-02-05T20.32.00.936,0.822,2.568,-75.585,0.229,0.229
1.58E+12,2020-02-05T20.32.00.945,0.831,2.568,-75.609,0.229,0.229
1.58E+12,2020-02-05T20.32.00.955,0.841,2.55,-75.585,0.233,0.233
1.58E+12,2020-02-05T20.32.00.965,0.851,2.527,-75.539,0.233,0.233
1.58E+12,2020-02-05T20.32.00.975,0.861,2.511,-75.513,0.222,0.222
1.58E+12,2020-02-05T20.32.00.986,0.872,2.501,-75.47,0.2,0.2
1.58E+12,2020-02-05T20.32.00.994,0.88,2.5,-75.389,0.165,0.165
