epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580956320114,2020-02-05T20.32.00.114,0.000,-0.006,-0.000,0.002
1580956320124,2020-02-05T20.32.00.124,0.010,-0.016,0.002,0.003
1580956320133,2020-02-05T20.32.00.133,0.019,-0.013,0.002,-0.002
1580956320143,2020-02-05T20.32.00.143,0.029,-0.016,-0.001,-0.005
1580956320154,2020-02-05T20.32.00.154,0.040,-0.014,0.002,0.001
1580956320164,2020-02-05T20.32.00.164,0.050,-0.018,-0.002,0.009
1580956320173,2020-02-05T20.32.00.173,0.059,-0.023,-0.010,-0.000
1580956320183,2020-02-05T20.32.00.183,0.069,-0.017,-0.012,-0.011
1580956320193,2020-02-05T20.32.00.193,0.079,-0.003,-0.002,-0.001
1580956320203,2020-02-05T20.32.00.203,0.089,-0.005,0.011,0.018
1580956320212,2020-02-05T20.32.00.212,0.098,-0.018,0.010,0.015
1580956320223,2020-02-05T20.32.00.223,0.109,-0.021,0.001,0.013
1580956320233,2020-02-05T20.32.00.233,0.119,-0.020,-0.003,0.009
1580956320243,2020-02-05T20.32.00.243,0.129,-0.024,0.001,0.003
1580956320252,2020-02-05T20.32.00.252,0.138,-0.025,0.002,-0.013
1580956320262,2020-02-05T20.32.00.262,0.148,-0.020,-0.001,-0.020
1580956320272,2020-02-05T20.32.00.272,0.158,-0.005,-0.004,-0.004
1580956320283,2020-02-05T20.32.00.283,0.169,-0.002,0.002,0.015
1580956320291,2020-02-05T20.32.00.291,0.177,-0.011,0.005,0.015
1580956320302,2020-02-05T20.32.00.302,0.188,-0.015,0.002,0.009
1580956320312,2020-02-05T20.32.00.312,0.198,-0.018,0.002,0.005
1580956320322,2020-02-05T20.32.00.322,0.208,-0.018,-0.004,-0.002
1580956320331,2020-02-05T20.32.00.331,0.217,-0.020,-0.006,-0.012
1580956320341,2020-02-05T20.32.00.341,0.227,-0.017,-0.006,-0.008
1580956320351,2020-02-05T20.32.00.351,0.237,-0.012,-0.001,-0.004
1580956320362,2020-02-05T20.32.00.362,0.248,-0.012,0.001,-0.001
1580956320370,2020-02-05T20.32.00.370,0.256,-0.013,0.003,-0.002
1580956320381,2020-02-05T20.32.00.381,0.267,-0.017,0.001,0.000
1580956320391,2020-02-05T20.32.00.391,0.277,-0.019,-0.001,0.004
1580956320401,2020-02-05T20.32.00.401,0.287,-0.018,-0.003,0.001
1580956320411,2020-02-05T20.32.00.411,0.297,-0.021,-0.008,0.003
1580956320420,2020-02-05T20.32.00.420,0.306,-0.021,-0.010,0.003
1580956320431,2020-02-05T20.32.00.431,0.317,-0.019,-0.010,0.005
1580956320441,2020-02-05T20.32.00.441,0.327,-0.017,-0.010,0.003
1580956320451,2020-02-05T20.32.00.451,0.337,-0.016,-0.010,0.000
1580956320460,2020-02-05T20.32.00.460,0.346,-0.011,-0.008,0.002
1580956320470,2020-02-05T20.32.00.470,0.356,-0.011,-0.008,0.006
1580956320480,2020-02-05T20.32.00.480,0.366,-0.018,-0.004,0.003
1580956320491,2020-02-05T20.32.00.491,0.377,-0.021,-0.006,-0.006
1580956320499,2020-02-05T20.32.00.499,0.385,-0.019,-0.007,-0.008
1580956320510,2020-02-05T20.32.00.510,0.396,-0.012,-0.007,0.001
1580956320520,2020-02-05T20.32.00.520,0.406,-0.011,-0.002,0.011
1580956320530,2020-02-05T20.32.00.530,0.416,-0.015,0.004,0.010
1580956320540,2020-02-05T20.32.00.540,0.426,-0.023,0.001,0.010
1580956320549,2020-02-05T20.32.00.549,0.435,-0.022,-0.007,0.004
1580956320559,2020-02-05T20.32.00.559,0.445,-0.019,-0.009,0.004
1580956320570,2020-02-05T20.32.00.570,0.456,-0.019,-0.007,0.009
1580956320578,2020-02-05T20.32.00.578,0.464,-0.018,-0.004,0.006
1580956320589,2020-02-05T20.32.00.589,0.475,-0.019,-0.005,0.005
1580956320599,2020-02-05T20.32.00.599,0.485,-0.015,-0.007,0.002
1580956320609,2020-02-05T20.32.00.609,0.495,-0.013,-0.007,0.003
1580956320618,2020-02-05T20.32.00.618,0.504,-0.018,-0.006,0.001
1580956320628,2020-02-05T20.32.00.628,0.514,-0.016,-0.005,-0.003
1580956320639,2020-02-05T20.32.00.639,0.525,-0.016,-0.008,-0.005
1580956320649,2020-02-05T20.32.00.649,0.535,-0.016,-0.009,-0.003
1580956320658,2020-02-05T20.32.00.658,0.544,-0.014,-0.005,-0.003
1580956320668,2020-02-05T20.32.00.668,0.554,-0.010,-0.005,-0.002
1580956320678,2020-02-05T20.32.00.678,0.564,-0.014,-0.006,0.002
1580956320688,2020-02-05T20.32.00.688,0.574,-0.014,-0.007,0.004
1580956320697,2020-02-05T20.32.00.697,0.583,-0.017,-0.004,0.006
1580956320707,2020-02-05T20.32.00.707,0.593,-0.020,-0.000,0.011
1580956320718,2020-02-05T20.32.00.718,0.604,-0.019,0.001,0.014
1580956320728,2020-02-05T20.32.00.728,0.614,-0.022,0.001,0.014
1580956320737,2020-02-05T20.32.00.737,0.623,-0.017,0.004,0.014
1580956320748,2020-02-05T20.32.00.748,0.634,-0.016,0.003,0.011
1580956320757,2020-02-05T20.32.00.757,0.643,-0.015,0.003,0.011
1580956320767,2020-02-05T20.32.00.767,0.653,-0.017,0.001,0.008
1580956320778,2020-02-05T20.32.00.778,0.664,-0.017,-0.002,0.006
1580956320786,2020-02-05T20.32.00.786,0.672,-0.018,-0.001,0.012
1580956320797,2020-02-05T20.32.00.797,0.683,-0.020,0.000,0.011
1580956320807,2020-02-05T20.32.00.807,0.693,-0.021,0.001,0.007
1580956320817,2020-02-05T20.32.00.817,0.703,-0.018,-0.001,0.006
1580956320827,2020-02-05T20.32.00.827,0.713,-0.016,-0.002,0.002
1580956320836,2020-02-05T20.32.00.836,0.722,-0.011,-0.000,0.002
1580956320847,2020-02-05T20.32.00.847,0.733,-0.010,0.002,0.003
1580956320857,2020-02-05T20.32.00.857,0.743,-0.013,0.002,0.005
1580956320866,2020-02-05T20.32.00.866,0.752,-0.015,0.002,0.002
1580956320876,2020-02-05T20.32.00.876,0.762,-0.014,0.002,-0.001
1580956320886,2020-02-05T20.32.00.886,0.772,-0.013,0.000,0.013
1580956320896,2020-02-05T20.32.00.896,0.782,-0.021,-0.003,0.012
1580956320907,2020-02-05T20.32.00.907,0.793,-0.025,-0.012,0.000
1580956320915,2020-02-05T20.32.00.915,0.801,-0.010,-0.011,-0.005
1580956320926,2020-02-05T20.32.00.926,0.812,0.003,0.002,0.018
1580956320936,2020-02-05T20.32.00.936,0.822,-0.010,0.009,0.017
1580956320945,2020-02-05T20.32.00.945,0.831,-0.021,0.002,-0.002
1580956320955,2020-02-05T20.32.00.955,0.841,-0.011,-0.001,0.002
1580956320965,2020-02-05T20.32.00.965,0.851,-0.011,0.003,0.004
1580956320975,2020-02-05T20.32.00.975,0.861,-0.019,0.003,-0.008
1580956320986,2020-02-05T20.32.00.986,0.872,-0.021,0.002,-0.020
1580956320994,2020-02-05T20.32.00.994,0.880,-0.006,-0.007,-0.007
1580956321005,2020-02-05T20.32.01.005,0.891,0.005,-0.007,0.019
1580956321015,2020-02-05T20.32.01.015,0.901,-0.002,-0.002,0.029
1580956321024,2020-02-05T20.32.01.024,0.910,-0.013,0.002,0.022
1580956321034,2020-02-05T20.32.01.034,0.920,-0.020,-0.004,0.013
1580956321044,2020-02-05T20.32.01.044,0.930,-0.018,-0.013,0.001
1580956321055,2020-02-05T20.32.01.055,0.941,-0.016,-0.017,-0.009
1580956321065,2020-02-05T20.32.01.065,0.951,-0.015,-0.015,-0.018
1580956321074,2020-02-05T20.32.01.074,0.960,-0.011,-0.013,-0.010
1580956321084,2020-02-05T20.32.01.084,0.970,-0.007,-0.008,0.003
1580956321094,2020-02-05T20.32.01.094,0.980,-0.011,-0.001,0.010
1580956321104,2020-02-05T20.32.01.104,0.990,-0.021,0.002,0.015
1580956321113,2020-02-05T20.32.01.113,0.999,-0.020,0.000,0.013
1580956321123,2020-02-05T20.32.01.123,1.009,-0.022,-0.002,0.013
1580956321134,2020-02-05T20.32.01.134,1.020,-0.019,-0.006,0.015
1580956321144,2020-02-05T20.32.01.144,1.030,-0.021,-0.009,0.013
1580956321153,2020-02-05T20.32.01.153,1.039,-0.021,-0.013,0.012
1580956321163,2020-02-05T20.32.01.163,1.049,-0.017,-0.013,0.009
1580956321173,2020-02-05T20.32.01.173,1.059,-0.014,-0.008,0.007
1580956321183,2020-02-05T20.32.01.183,1.069,-0.008,-0.006,0.008
1580956321192,2020-02-05T20.32.01.192,1.078,-0.008,-0.004,0.007
1580956321202,2020-02-05T20.32.01.202,1.088,-0.009,-0.003,-0.004
1580956321213,2020-02-05T20.32.01.213,1.099,-0.012,-0.003,-0.008
1580956321223,2020-02-05T20.32.01.223,1.109,-0.014,-0.005,-0.011
1580956321233,2020-02-05T20.32.01.233,1.119,-0.012,-0.008,0.001
1580956321242,2020-02-05T20.32.01.242,1.128,-0.006,-0.003,0.012
1580956321252,2020-02-05T20.32.01.252,1.138,-0.010,0.002,0.016
1580956321263,2020-02-05T20.32.01.263,1.149,-0.018,-0.003,0.015
1580956321271,2020-02-05T20.32.01.271,1.157,-0.023,-0.011,0.013
1580956321282,2020-02-05T20.32.01.282,1.168,-0.020,-0.017,0.012
1580956321292,2020-02-05T20.32.01.292,1.178,-0.018,-0.015,0.013
1580956321302,2020-02-05T20.32.01.302,1.188,-0.018,-0.008,0.009
1580956321312,2020-02-05T20.32.01.312,1.198,-0.016,-0.004,0.009
1580956321321,2020-02-05T20.32.01.321,1.207,-0.010,-0.001,0.009
1580956321331,2020-02-05T20.32.01.331,1.217,-0.014,-0.000,0.005
1580956321342,2020-02-05T20.32.01.342,1.228,-0.017,-0.000,0.006
1580956321350,2020-02-05T20.32.01.350,1.236,-0.013,-0.004,0.011
1580956321361,2020-02-05T20.32.01.361,1.247,-0.014,-0.003,0.013
1580956321371,2020-02-05T20.32.01.371,1.257,-0.015,-0.004,0.011
1580956321381,2020-02-05T20.32.01.381,1.267,-0.015,-0.005,0.010
1580956321391,2020-02-05T20.32.01.391,1.277,-0.014,-0.003,0.010
1580956321400,2020-02-05T20.32.01.400,1.286,-0.011,-0.005,0.012
1580956321410,2020-02-05T20.32.01.410,1.296,-0.016,-0.005,0.010
1580956321421,2020-02-05T20.32.01.421,1.307,-0.016,-0.003,0.007
1580956321430,2020-02-05T20.32.01.430,1.316,-0.015,-0.003,0.008
1580956321440,2020-02-05T20.32.01.440,1.326,-0.012,-0.002,0.006
1580956321450,2020-02-05T20.32.01.450,1.336,-0.012,-0.002,0.008
1580956321460,2020-02-05T20.32.01.460,1.346,-0.010,0.002,0.006
1580956321471,2020-02-05T20.32.01.471,1.357,-0.011,0.004,0.006
1580956321479,2020-02-05T20.32.01.479,1.365,-0.010,0.005,0.005
1580956321490,2020-02-05T20.32.01.490,1.376,-0.012,0.005,0.006
1580956321500,2020-02-05T20.32.01.500,1.386,-0.012,0.009,0.005
1580956321510,2020-02-05T20.32.01.510,1.396,-0.012,0.006,0.007
1580956321519,2020-02-05T20.32.01.519,1.405,-0.012,0.005,0.012
1580956321529,2020-02-05T20.32.01.529,1.415,-0.014,0.005,0.012
1580956321539,2020-02-05T20.32.01.539,1.425,-0.016,0.007,0.009
1580956321550,2020-02-05T20.32.01.550,1.436,-0.013,0.008,0.012
1580956321558,2020-02-05T20.32.01.558,1.444,-0.013,0.004,0.011
1580956321569,2020-02-05T20.32.01.569,1.455,-0.015,0.000,0.009
1580956321579,2020-02-05T20.32.01.579,1.465,-0.011,-0.004,0.005
