epoc (ms),timestamp (-0600),elapsed (s),pitch (deg),roll (deg),yaw (deg),heading (deg)
1580956319886,2020-02-05T20.31.59.886,0.000,74.987,17.236,-0.000,-0.000
1580956319897,2020-02-05T20.31.59.897,0.011,74.979,17.259,359.999,359.999
1580956319905,2020-02-05T20.31.59.905,0.019,74.970,17.272,359.983,359.983
1580956319916,2020-02-05T20.31.59.916,0.030,74.956,17.294,359.973,359.973
1580956319926,2020-02-05T20.31.59.926,0.040,74.939,17.316,359.958,359.958
1580956319935,2020-02-05T20.31.59.935,0.049,74.921,17.337,359.944,359.944
1580956319945,2020-02-05T20.31.59.945,0.059,74.904,17.359,359.920,359.920
1580956319955,2020-02-05T20.31.59.955,0.069,74.887,17.380,359.888,359.888
1580956319965,2020-02-05T20.31.59.965,0.079,74.867,17.400,359.855,359.855
1580956319974,2020-02-05T20.31.59.974,0.088,74.845,17.422,359.821,359.821
1580956319984,2020-02-05T20.31.59.984,0.098,74.827,17.447,359.777,359.777
1580956319995,2020-02-05T20.31.59.995,0.109,74.809,17.472,359.727,359.727
1580956320005,2020-02-05T20.32.00.005,0.119,74.791,17.491,359.665,359.665
1580956320014,2020-02-05T20.32.00.014,0.128,74.775,17.512,359.601,359.601
1580956320024,2020-02-05T20.32.00.024,0.138,74.761,17.538,359.545,359.545
1580956320034,2020-02-05T20.32.00.034,0.148,74.749,17.565,359.499,359.499
1580956320044,2020-02-05T20.32.00.044,0.158,74.738,17.594,359.468,359.468
1580956320053,2020-02-05T20.32.00.053,0.167,74.728,17.626,359.451,359.451
1580956320064,2020-02-05T20.32.00.064,0.178,74.719,17.657,359.444,359.444
1580956320074,2020-02-05T20.32.00.074,0.188,74.711,17.682,359.437,359.437
1580956320084,2020-02-05T20.32.00.084,0.198,74.707,17.709,359.414,359.414
1580956320093,2020-02-05T20.32.00.093,0.207,74.708,17.733,359.394,359.394
1580956320103,2020-02-05T20.32.00.103,0.217,74.708,17.757,359.383,359.383
1580956320113,2020-02-05T20.32.00.113,0.227,74.709,17.780,359.375,359.375
1580956320124,2020-02-05T20.32.00.124,0.238,74.715,17.805,359.376,359.376
1580956320132,2020-02-05T20.32.00.132,0.246,74.718,17.830,359.385,359.385
1580956320143,2020-02-05T20.32.00.143,0.257,74.719,17.855,359.399,359.399
1580956320153,2020-02-05T20.32.00.153,0.267,74.720,17.879,359.413,359.413
1580956320162,2020-02-05T20.32.00.162,0.276,74.721,17.902,359.427,359.427
1580956320172,2020-02-05T20.32.00.172,0.286,74.719,17.923,359.449,359.449
1580956320182,2020-02-05T20.32.00.182,0.296,74.714,17.943,359.479,359.479
1580956320192,2020-02-05T20.32.00.192,0.306,74.708,17.962,359.509,359.509
1580956320201,2020-02-05T20.32.00.201,0.315,74.711,17.985,359.533,359.533
1580956320211,2020-02-05T20.32.00.211,0.325,74.708,18.000,359.549,359.549
1580956320222,2020-02-05T20.32.00.222,0.336,74.711,18.013,359.551,359.551
1580956320232,2020-02-05T20.32.00.232,0.346,74.713,18.017,359.544,359.544
1580956320241,2020-02-05T20.32.00.241,0.355,74.715,18.019,359.540,359.540
1580956320251,2020-02-05T20.32.00.251,0.365,74.715,18.020,359.541,359.541
1580956320261,2020-02-05T20.32.00.261,0.375,74.715,18.027,359.548,359.548
1580956320272,2020-02-05T20.32.00.272,0.386,74.714,18.035,359.556,359.556
1580956320280,2020-02-05T20.32.00.280,0.394,74.713,18.043,359.565,359.565
1580956320291,2020-02-05T20.32.00.291,0.405,74.712,18.051,359.572,359.572
1580956320301,2020-02-05T20.32.00.301,0.415,74.710,18.060,359.582,359.582
