epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580956319886,2020-02-05T20.31.59.886,0.000,0.005,-0.017,0.005
1580956319897,2020-02-05T20.31.59.897,0.011,0.007,-0.024,0.007
1580956319905,2020-02-05T20.31.59.905,0.019,0.014,-0.022,0.002
1580956319916,2020-02-05T20.31.59.916,0.030,0.011,-0.021,-0.003
1580956319926,2020-02-05T20.31.59.926,0.040,0.014,-0.021,0.002
1580956319936,2020-02-05T20.31.59.936,0.050,0.019,-0.023,0.006
1580956319945,2020-02-05T20.31.59.945,0.059,0.017,-0.023,0.001
1580956319955,2020-02-05T20.31.59.955,0.069,0.014,-0.024,0.005
1580956319965,2020-02-05T20.31.59.965,0.079,0.010,-0.024,0.006
1580956319974,2020-02-05T20.31.59.974,0.088,0.015,-0.022,0.005
1580956319984,2020-02-05T20.31.59.984,0.098,0.018,-0.019,0.003
1580956319995,2020-02-05T20.31.59.995,0.109,0.019,-0.020,0.003
1580956320005,2020-02-05T20.32.00.005,0.119,0.014,-0.019,0.004
1580956320014,2020-02-05T20.32.00.014,0.128,0.014,-0.021,0.006
1580956320024,2020-02-05T20.32.00.024,0.138,0.009,-0.023,0.008
1580956320034,2020-02-05T20.32.00.034,0.148,0.003,-0.020,0.012
1580956320044,2020-02-05T20.32.00.044,0.158,0.009,-0.019,0.012
1580956320053,2020-02-05T20.32.00.053,0.167,0.015,-0.019,0.011
1580956320064,2020-02-05T20.32.00.064,0.178,0.017,-0.024,0.014
1580956320074,2020-02-05T20.32.00.074,0.188,0.022,-0.020,0.006
1580956320084,2020-02-05T20.32.00.084,0.198,0.019,-0.020,0.009
1580956320093,2020-02-05T20.32.00.093,0.207,0.007,-0.019,0.010
1580956320103,2020-02-05T20.32.00.103,0.217,0.010,-0.021,0.010
1580956320113,2020-02-05T20.32.00.113,0.227,0.011,-0.021,0.012
1580956320124,2020-02-05T20.32.00.124,0.238,0.009,-0.020,0.011
1580956320132,2020-02-05T20.32.00.132,0.246,0.015,-0.021,0.009
1580956320143,2020-02-05T20.32.00.143,0.257,0.022,-0.021,0.006
1580956320153,2020-02-05T20.32.00.153,0.267,0.017,-0.020,0.007
1580956320162,2020-02-05T20.32.00.162,0.276,0.012,-0.022,0.009
1580956320172,2020-02-05T20.32.00.172,0.286,0.012,-0.021,0.010
1580956320182,2020-02-05T20.32.00.182,0.296,0.007,-0.023,0.009
1580956320192,2020-02-05T20.32.00.192,0.306,0.015,-0.022,0.012
1580956320201,2020-02-05T20.32.00.201,0.315,0.026,-0.020,0.015
1580956320211,2020-02-05T20.32.00.211,0.325,0.025,-0.020,0.009
1580956320222,2020-02-05T20.32.00.222,0.336,0.019,-0.020,0.003
1580956320232,2020-02-05T20.32.00.232,0.346,0.012,-0.023,0.008
1580956320241,2020-02-05T20.32.00.241,0.355,0.010,-0.020,0.007
1580956320251,2020-02-05T20.32.00.251,0.365,0.010,-0.022,0.006
1580956320261,2020-02-05T20.32.00.261,0.375,0.013,-0.024,0.005
1580956320272,2020-02-05T20.32.00.272,0.386,0.017,-0.020,0.006
1580956320280,2020-02-05T20.32.00.280,0.394,0.015,-0.017,0.010
1580956320291,2020-02-05T20.32.00.291,0.405,0.011,-0.023,0.013
1580956320301,2020-02-05T20.32.00.301,0.415,0.014,-0.022,0.012
1580956320310,2020-02-05T20.32.00.310,0.424,0.012,-0.021,0.010
1580956320320,2020-02-05T20.32.00.320,0.434,0.016,-0.020,0.009
1580956320330,2020-02-05T20.32.00.330,0.444,0.018,-0.019,0.007
1580956320340,2020-02-05T20.32.00.340,0.454,0.018,-0.020,0.004
1580956320349,2020-02-05T20.32.00.349,0.463,0.019,-0.021,0.004
1580956320359,2020-02-05T20.32.00.359,0.473,0.016,-0.023,0.009
1580956320370,2020-02-05T20.32.00.370,0.484,0.013,-0.020,0.007
1580956320380,2020-02-05T20.32.00.380,0.494,0.013,-0.020,0.006
1580956320389,2020-02-05T20.32.00.389,0.503,0.020,-0.021,0.005
1580956320399,2020-02-05T20.32.00.399,0.513,0.019,-0.020,0.008
1580956320409,2020-02-05T20.32.00.409,0.523,0.014,-0.021,0.012
1580956320419,2020-02-05T20.32.00.419,0.533,0.011,-0.019,0.017
1580956320428,2020-02-05T20.32.00.428,0.542,0.007,-0.021,0.019
1580956320439,2020-02-05T20.32.00.439,0.553,0.007,-0.022,0.018
1580956320449,2020-02-05T20.32.00.449,0.563,0.012,-0.019,0.017
1580956320459,2020-02-05T20.32.00.459,0.573,0.013,-0.020,0.012
1580956320468,2020-02-05T20.32.00.468,0.582,0.017,-0.020,0.009
1580956320478,2020-02-05T20.32.00.478,0.592,0.014,-0.020,0.012
1580956320488,2020-02-05T20.32.00.488,0.602,0.010,-0.022,0.015
1580956320497,2020-02-05T20.32.00.497,0.611,0.010,-0.019,0.016
1580956320507,2020-02-05T20.32.00.507,0.621,0.007,-0.018,0.014
1580956320518,2020-02-05T20.32.00.518,0.632,0.008,-0.020,0.013
1580956320528,2020-02-05T20.32.00.528,0.642,0.016,-0.021,0.011
1580956320537,2020-02-05T20.32.00.537,0.651,0.017,-0.021,0.012
1580956320547,2020-02-05T20.32.00.547,0.661,0.020,-0.021,0.012
1580956320557,2020-02-05T20.32.00.557,0.671,0.017,-0.020,0.010
1580956320567,2020-02-05T20.32.00.567,0.681,0.017,-0.021,0.009
1580956320576,2020-02-05T20.32.00.576,0.690,0.014,-0.022,0.012
1580956320586,2020-02-05T20.32.00.586,0.700,0.015,-0.020,0.013
1580956320597,2020-02-05T20.32.00.597,0.711,0.014,-0.019,0.012
1580956320607,2020-02-05T20.32.00.607,0.721,0.017,-0.020,0.012
1580956320616,2020-02-05T20.32.00.616,0.730,0.018,-0.019,0.012
1580956320626,2020-02-05T20.32.00.626,0.740,0.016,-0.018,0.013
1580956320636,2020-02-05T20.32.00.636,0.750,0.017,-0.022,0.012
1580956320647,2020-02-05T20.32.00.647,0.761,0.018,-0.021,0.016
1580956320655,2020-02-05T20.32.00.655,0.769,0.016,-0.020,0.015
1580956320666,2020-02-05T20.32.00.666,0.780,0.013,-0.020,0.014
1580956320676,2020-02-05T20.32.00.676,0.790,0.016,-0.021,0.015
1580956320685,2020-02-05T20.32.00.685,0.799,0.011,-0.020,0.015
1580956320695,2020-02-05T20.32.00.695,0.809,0.011,-0.019,0.018
1580956320705,2020-02-05T20.32.00.705,0.819,0.015,-0.019,0.012
1580956320715,2020-02-05T20.32.00.715,0.829,0.013,-0.021,0.011
1580956320724,2020-02-05T20.32.00.724,0.838,0.015,-0.024,0.014
