epoc (ms),timestamp (-0600),elapsed (s),pitch (deg),roll (deg),yaw (deg),heading (deg)
1580956320092,2020-02-05T20.32.00.092,0.000,-77.576,6.336,0.006,0.006
1580956320103,2020-02-05T20.32.00.103,0.011,-77.590,6.360,359.999,359.999
1580956320113,2020-02-05T20.32.00.113,0.021,-77.603,6.373,0.001,0.001
1580956320123,2020-02-05T20.32.00.123,0.031,-77.617,6.386,359.997,359.997
1580956320132,2020-02-05T20.32.00.132,0.040,-77.629,6.401,359.991,359.991
1580956320142,2020-02-05T20.32.00.142,0.050,-77.644,6.416,359.987,359.987
1580956320153,2020-02-05T20.32.00.153,0.061,-77.661,6.430,359.987,359.987
1580956320163,2020-02-05T20.32.00.163,0.071,-77.677,6.446,359.987,359.987
1580956320172,2020-02-05T20.32.00.172,0.080,-77.692,6.460,359.986,359.986
1580956320182,2020-02-05T20.32.00.182,0.090,-77.709,6.475,359.984,359.984
1580956320192,2020-02-05T20.32.00.192,0.100,-77.724,6.490,359.983,359.983
1580956320202,2020-02-05T20.32.00.202,0.110,-77.737,6.504,359.981,359.981
1580956320211,2020-02-05T20.32.00.211,0.119,-77.753,6.518,359.976,359.976
1580956320221,2020-02-05T20.32.00.221,0.129,-77.768,6.531,359.975,359.975
1580956320232,2020-02-05T20.32.00.232,0.140,-77.781,6.544,359.976,359.976
1580956320242,2020-02-05T20.32.00.242,0.150,-77.798,6.555,359.977,359.977
1580956320252,2020-02-05T20.32.00.252,0.160,-77.813,6.566,359.977,359.977
1580956320261,2020-02-05T20.32.00.261,0.169,-77.826,6.576,359.976,359.976
1580956320271,2020-02-05T20.32.00.271,0.179,-77.842,6.586,359.971,359.971
1580956320281,2020-02-05T20.32.00.281,0.189,-77.859,6.597,359.970,359.970
1580956320292,2020-02-05T20.32.00.292,0.200,-77.874,6.607,359.973,359.973
1580956320300,2020-02-05T20.32.00.300,0.208,-77.889,6.616,359.975,359.975
1580956320311,2020-02-05T20.32.00.311,0.219,-77.904,6.625,359.977,359.977
1580956320321,2020-02-05T20.32.00.321,0.229,-77.918,6.627,359.984,359.984
1580956320331,2020-02-05T20.32.00.331,0.239,-77.933,6.630,359.993,359.993
1580956320341,2020-02-05T20.32.00.341,0.249,-77.949,6.634,0.006,0.006
1580956320350,2020-02-05T20.32.00.350,0.258,-77.963,6.637,0.018,0.018
1580956320361,2020-02-05T20.32.00.361,0.269,-77.977,6.640,0.028,0.028
1580956320371,2020-02-05T20.32.00.371,0.279,-77.992,6.644,0.040,0.040
1580956320381,2020-02-05T20.32.00.381,0.289,-78.003,6.647,0.053,0.053
1580956320390,2020-02-05T20.32.00.390,0.298,-78.012,6.649,0.058,0.058
1580956320400,2020-02-05T20.32.00.400,0.308,-78.021,6.651,0.065,0.065
1580956320410,2020-02-05T20.32.00.410,0.318,-78.029,6.655,0.078,0.078
1580956320421,2020-02-05T20.32.00.421,0.329,-78.037,6.659,0.092,0.092
1580956320431,2020-02-05T20.32.00.431,0.339,-78.039,6.663,0.109,0.109
1580956320440,2020-02-05T20.32.00.440,0.348,-78.039,6.667,0.125,0.125
1580956320450,2020-02-05T20.32.00.450,0.358,-78.045,6.669,0.137,0.137
1580956320460,2020-02-05T20.32.00.460,0.368,-78.053,6.672,0.149,0.149
1580956320470,2020-02-05T20.32.00.470,0.378,-78.060,6.674,0.160,0.160
1580956320479,2020-02-05T20.32.00.479,0.387,-78.069,6.677,0.172,0.172
1580956320489,2020-02-05T20.32.00.489,0.397,-78.078,6.681,0.184,0.184
1580956320500,2020-02-05T20.32.00.500,0.408,-78.087,6.684,0.196,0.196
1580956320510,2020-02-05T20.32.00.510,0.418,-78.097,6.688,0.209,0.209
1580956320519,2020-02-05T20.32.00.519,0.427,-78.107,6.693,0.227,0.227
1580956320529,2020-02-05T20.32.00.529,0.437,-78.112,6.696,0.239,0.239
1580956320539,2020-02-05T20.32.00.539,0.447,-78.119,6.697,0.246,0.246
1580956320549,2020-02-05T20.32.00.549,0.457,-78.126,6.705,0.248,0.248
1580956320560,2020-02-05T20.32.00.560,0.468,-78.133,6.706,0.255,0.255
1580956320569,2020-02-05T20.32.00.569,0.477,-78.140,6.714,0.256,0.256
1580956320579,2020-02-05T20.32.00.579,0.487,-78.148,6.723,0.257,0.257
1580956320589,2020-02-05T20.32.00.589,0.497,-78.157,6.725,0.266,0.266
1580956320599,2020-02-05T20.32.00.599,0.507,-78.164,6.727,0.276,0.276
1580956320608,2020-02-05T20.32.00.608,0.516,-78.172,6.736,0.277,0.277
1580956320620,2020-02-05T20.32.00.620,0.528,-78.182,6.746,0.281,0.281
1580956320629,2020-02-05T20.32.00.629,0.537,-78.189,6.755,0.286,0.286
1580956320639,2020-02-05T20.32.00.639,0.547,-78.196,6.765,0.288,0.288
1580956320649,2020-02-05T20.32.00.649,0.557,-78.204,6.777,0.285,0.285
1580956320658,2020-02-05T20.32.00.658,0.566,-78.211,6.790,0.280,0.280
1580956320668,2020-02-05T20.32.00.668,0.576,-78.221,6.804,0.277,0.277
1580956320678,2020-02-05T20.32.00.678,0.586,-78.230,6.815,0.276,0.276
1580956320689,2020-02-05T20.32.00.689,0.597,-78.234,6.826,0.264,0.264
1580956320699,2020-02-05T20.32.00.699,0.607,-78.243,6.840,0.249,0.249
1580956320708,2020-02-05T20.32.00.708,0.616,-78.254,6.855,0.241,0.241
1580956320718,2020-02-05T20.32.00.718,0.626,-78.266,6.869,0.235,0.235
1580956320728,2020-02-05T20.32.00.728,0.636,-78.276,6.884,0.225,0.225
1580956320738,2020-02-05T20.32.00.738,0.646,-78.288,6.898,0.209,0.209
1580956320747,2020-02-05T20.32.00.747,0.655,-78.301,6.914,0.198,0.198
1580956320757,2020-02-05T20.32.00.757,0.665,-78.313,6.929,0.193,0.193
1580956320768,2020-02-05T20.32.00.768,0.676,-78.324,6.942,0.189,0.189
1580956320778,2020-02-05T20.32.00.778,0.686,-78.336,6.955,0.181,0.181
1580956320787,2020-02-05T20.32.00.787,0.695,-78.347,6.967,0.168,0.168
1580956320797,2020-02-05T20.32.00.797,0.705,-78.355,6.978,0.162,0.162
1580956320807,2020-02-05T20.32.00.807,0.715,-78.366,6.989,0.157,0.157
1580956320818,2020-02-05T20.32.00.818,0.726,-78.377,7.002,0.152,0.152
1580956320826,2020-02-05T20.32.00.826,0.734,-78.386,7.013,0.147,0.147
1580956320837,2020-02-05T20.32.00.837,0.745,-78.397,7.023,0.136,0.136
1580956320847,2020-02-05T20.32.00.847,0.755,-78.408,7.034,0.131,0.131
1580956320857,2020-02-05T20.32.00.857,0.765,-78.418,7.044,0.129,0.129
1580956320867,2020-02-05T20.32.00.867,0.775,-78.426,7.053,0.118,0.118
1580956320876,2020-02-05T20.32.00.876,0.784,-78.435,7.063,0.113,0.113
1580956320886,2020-02-05T20.32.00.886,0.794,-78.444,7.072,0.113,0.113
1580956320897,2020-02-05T20.32.00.897,0.805,-78.455,7.081,0.115,0.115
1580956320907,2020-02-05T20.32.00.907,0.815,-78.463,7.090,0.116,0.116
1580956320916,2020-02-05T20.32.00.916,0.824,-78.471,7.098,0.115,0.115
1580956320926,2020-02-05T20.32.00.926,0.834,-78.479,7.107,0.114,0.114
1580956320936,2020-02-05T20.32.00.936,0.844,-78.487,7.115,0.112,0.112
1580956320946,2020-02-05T20.32.00.946,0.854,-78.495,7.116,0.118,0.118
1580956320957,2020-02-05T20.32.00.957,0.865,-78.502,7.118,0.123,0.123
1580956320967,2020-02-05T20.32.00.967,0.875,-78.508,7.124,0.116,0.116
1580956320976,2020-02-05T20.32.00.976,0.884,-78.518,7.131,0.113,0.113
1580956320986,2020-02-05T20.32.00.986,0.894,-78.528,7.140,0.102,0.102
1580956320996,2020-02-05T20.32.00.996,0.904,-78.532,7.147,0.088,0.088
1580956321005,2020-02-05T20.32.01.005,0.913,-78.539,7.155,0.055,0.055
1580956321017,2020-02-05T20.32.01.017,0.925,-78.551,7.162,359.961,359.961
1580956321026,2020-02-05T20.32.01.026,0.934,-78.558,7.164,359.776,359.776
1580956321036,2020-02-05T20.32.01.036,0.944,-78.541,7.165,359.585,359.585
