epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580956320092,2020-02-05T20.32.00.092,0.000,-0.001,-0.009,-0.002
1580956320103,2020-02-05T20.32.00.103,0.011,-0.003,0.000,0.007
1580956320113,2020-02-05T20.32.00.113,0.021,-0.005,-0.003,0.005
1580956320123,2020-02-05T20.32.00.123,0.031,-0.002,-0.003,0.002
1580956320132,2020-02-05T20.32.00.132,0.040,0.001,-0.003,0.002
1580956320142,2020-02-05T20.32.00.142,0.050,0.003,-0.001,0.002
1580956320153,2020-02-05T20.32.00.153,0.061,-0.001,-0.005,0.001
1580956320163,2020-02-05T20.32.00.163,0.071,-0.002,-0.004,0.008
1580956320172,2020-02-05T20.32.00.172,0.080,-0.003,-0.004,0.003
1580956320182,2020-02-05T20.32.00.182,0.090,0.001,-0.003,0.000
1580956320192,2020-02-05T20.32.00.192,0.100,-0.004,-0.005,0.004
1580956320202,2020-02-05T20.32.00.202,0.110,-0.003,-0.007,0.005
1580956320213,2020-02-05T20.32.00.213,0.121,0.002,-0.003,0.000
1580956320221,2020-02-05T20.32.00.221,0.129,0.005,-0.004,0.002
1580956320232,2020-02-05T20.32.00.232,0.140,0.006,-0.006,0.006
1580956320242,2020-02-05T20.32.00.242,0.150,0.001,-0.002,0.002
1580956320252,2020-02-05T20.32.00.252,0.160,-0.004,-0.002,0.007
1580956320261,2020-02-05T20.32.00.261,0.169,-0.003,-0.004,0.008
1580956320271,2020-02-05T20.32.00.271,0.179,0.003,-0.004,0.005
1580956320281,2020-02-05T20.32.00.281,0.189,0.002,-0.003,0.001
1580956320292,2020-02-05T20.32.00.292,0.200,-0.001,-0.004,0.006
1580956320302,2020-02-05T20.32.00.302,0.210,0.000,-0.004,0.006
1580956320311,2020-02-05T20.32.00.311,0.219,0.005,-0.003,0.004
1580956320321,2020-02-05T20.32.00.321,0.229,0.004,-0.003,0.004
1580956320331,2020-02-05T20.32.00.331,0.239,0.002,-0.001,0.003
1580956320341,2020-02-05T20.32.00.341,0.249,0.000,0.001,0.005
1580956320350,2020-02-05T20.32.00.350,0.258,-0.004,-0.003,0.004
1580956320361,2020-02-05T20.32.00.361,0.269,0.001,-0.003,0.001
1580956320371,2020-02-05T20.32.00.371,0.279,0.001,-0.001,0.004
1580956320381,2020-02-05T20.32.00.381,0.289,-0.003,-0.002,0.007
1580956320390,2020-02-05T20.32.00.390,0.298,0.003,-0.004,0.004
1580956320400,2020-02-05T20.32.00.400,0.308,0.009,-0.001,0.001
1580956320410,2020-02-05T20.32.00.410,0.318,0.003,-0.005,0.001
1580956320421,2020-02-05T20.32.00.421,0.329,0.001,-0.006,0.005
1580956320431,2020-02-05T20.32.00.431,0.339,-0.006,-0.005,0.005
1580956320440,2020-02-05T20.32.00.440,0.348,-0.007,-0.006,0.011
1580956320450,2020-02-05T20.32.00.450,0.358,-0.004,-0.004,0.014
1580956320460,2020-02-05T20.32.00.460,0.368,-0.003,-0.005,0.013
1580956320470,2020-02-05T20.32.00.470,0.378,-0.001,-0.005,0.008
1580956320479,2020-02-05T20.32.00.479,0.387,0.002,-0.005,0.008
1580956320489,2020-02-05T20.32.00.489,0.397,0.001,-0.007,0.007
1580956320500,2020-02-05T20.32.00.500,0.408,0.002,-0.008,0.006
1580956320510,2020-02-05T20.32.00.510,0.418,0.004,-0.006,0.005
1580956320520,2020-02-05T20.32.00.520,0.428,-0.006,-0.004,0.011
1580956320529,2020-02-05T20.32.00.529,0.437,-0.004,-0.004,0.012
1580956320539,2020-02-05T20.32.00.539,0.447,-0.003,-0.002,0.007
1580956320549,2020-02-05T20.32.00.549,0.457,-0.004,-0.003,0.011
1580956320560,2020-02-05T20.32.00.560,0.468,0.002,-0.004,0.009
1580956320569,2020-02-05T20.32.00.569,0.477,0.002,-0.007,0.010
1580956320579,2020-02-05T20.32.00.579,0.487,0.001,-0.007,0.009
1580956320589,2020-02-05T20.32.00.589,0.497,-0.003,-0.003,0.011
1580956320599,2020-02-05T20.32.00.599,0.507,-0.004,-0.005,0.008
1580956320610,2020-02-05T20.32.00.610,0.518,-0.001,-0.006,0.007
1580956320620,2020-02-05T20.32.00.620,0.528,-0.000,-0.006,0.011
1580956320629,2020-02-05T20.32.00.629,0.537,-0.003,-0.008,0.015
1580956320639,2020-02-05T20.32.00.639,0.547,-0.005,-0.008,0.011
1580956320649,2020-02-05T20.32.00.649,0.557,0.001,-0.007,0.007
1580956320658,2020-02-05T20.32.00.658,0.566,0.004,-0.009,0.010
1580956320668,2020-02-05T20.32.00.668,0.576,-0.002,-0.008,0.010
1580956320678,2020-02-05T20.32.00.678,0.586,-0.006,-0.005,0.015
1580956320689,2020-02-05T20.32.00.689,0.597,-0.003,-0.005,0.014
1580956320699,2020-02-05T20.32.00.699,0.607,-0.003,-0.004,0.010
1580956320708,2020-02-05T20.32.00.708,0.616,-0.000,-0.005,0.012
1580956320718,2020-02-05T20.32.00.718,0.626,-0.006,-0.002,0.013
1580956320728,2020-02-05T20.32.00.728,0.636,-0.002,-0.005,0.014
1580956320738,2020-02-05T20.32.00.738,0.646,0.002,-0.007,0.014
1580956320747,2020-02-05T20.32.00.747,0.655,0.005,-0.002,0.008
1580956320757,2020-02-05T20.32.00.757,0.665,0.001,-0.003,0.012
1580956320768,2020-02-05T20.32.00.768,0.676,-0.003,-0.004,0.015
1580956320778,2020-02-05T20.32.00.778,0.686,-0.001,-0.002,0.008
1580956320787,2020-02-05T20.32.00.787,0.695,0.001,-0.002,0.011
1580956320797,2020-02-05T20.32.00.797,0.705,-0.001,-0.004,0.014
1580956320807,2020-02-05T20.32.00.807,0.715,0.002,-0.004,0.012
1580956320818,2020-02-05T20.32.00.818,0.726,0.000,-0.004,0.012
1580956320828,2020-02-05T20.32.00.828,0.736,0.002,-0.005,0.012
1580956320837,2020-02-05T20.32.00.837,0.745,0.001,-0.004,0.011
1580956320847,2020-02-05T20.32.00.847,0.755,-0.004,-0.005,0.012
1580956320857,2020-02-05T20.32.00.857,0.765,-0.003,-0.006,0.016
1580956320867,2020-02-05T20.32.00.867,0.775,0.000,-0.006,0.014
1580956320876,2020-02-05T20.32.00.876,0.784,0.003,-0.005,0.013
1580956320886,2020-02-05T20.32.00.886,0.794,0.002,-0.005,0.011
1580956320897,2020-02-05T20.32.00.897,0.805,-0.002,-0.003,0.011
1580956320907,2020-02-05T20.32.00.907,0.815,-0.005,-0.004,0.014
1580956320916,2020-02-05T20.32.00.916,0.824,0.001,-0.006,0.014
1580956320926,2020-02-05T20.32.00.926,0.834,0.000,-0.007,0.016
1580956320936,2020-02-05T20.32.00.936,0.844,0.001,-0.006,0.014
1580956320946,2020-02-05T20.32.00.946,0.854,-0.005,-0.006,0.014
1580956320957,2020-02-05T20.32.00.957,0.865,0.000,-0.008,0.018
1580956320967,2020-02-05T20.32.00.967,0.875,-0.002,-0.006,0.015
1580956320976,2020-02-05T20.32.00.976,0.884,0.002,-0.003,0.008
1580956320986,2020-02-05T20.32.00.986,0.894,0.007,-0.002,0.014
1580956320996,2020-02-05T20.32.00.996,0.904,-0.003,-0.005,0.016
