epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1608677242978,2020-12-22T16.47.22.978,0.000,0.281,0.965,-0.081
1608677242987,2020-12-22T16.47.22.987,0.009,0.284,0.973,-0.080
1608677242998,2020-12-22T16.47.22.998,0.020,0.282,0.972,-0.083
1608677243008,2020-12-22T16.47.23.008,0.030,0.283,0.970,-0.077
1608677243018,2020-12-22T16.47.23.018,0.040,0.282,0.970,-0.077
1608677243027,2020-12-22T16.47.23.027,0.049,0.280,0.970,-0.085
1608677243037,2020-12-22T16.47.23.037,0.059,0.283,0.970,-0.087
1608677243047,2020-12-22T16.47.23.047,0.069,0.284,0.969,-0.083
1608677243056,2020-12-22T16.47.23.056,0.078,0.284,0.971,-0.082
1608677243066,2020-12-22T16.47.23.066,0.088,0.284,0.970,-0.083
1608677243077,2020-12-22T16.47.23.077,0.099,0.285,0.969,-0.083
1608677243087,2020-12-22T16.47.23.087,0.109,0.285,0.970,-0.086
1608677243096,2020-12-22T16.47.23.096,0.118,0.284,0.969,-0.082
1608677243106,2020-12-22T16.47.23.106,0.128,0.283,0.969,-0.078
1608677243116,2020-12-22T16.47.23.116,0.138,0.284,0.969,-0.080
1608677243126,2020-12-22T16.47.23.126,0.148,0.283,0.970,-0.079
1608677243135,2020-12-22T16.47.23.135,0.157,0.281,0.967,-0.082
1608677243145,2020-12-22T16.47.23.145,0.167,0.283,0.969,-0.084
1608677243156,2020-12-22T16.47.23.156,0.178,0.282,0.971,-0.085
1608677243166,2020-12-22T16.47.23.166,0.188,0.282,0.971,-0.084
1608677243175,2020-12-22T16.47.23.175,0.197,0.287,0.971,-0.083
1608677243185,2020-12-22T16.47.23.185,0.207,0.285,0.974,-0.081
1608677243195,2020-12-22T16.47.23.195,0.217,0.284,0.973,-0.081
1608677243204,2020-12-22T16.47.23.204,0.226,0.280,0.971,-0.084
1608677243214,2020-12-22T16.47.23.214,0.236,0.281,0.971,-0.085
1608677243225,2020-12-22T16.47.23.225,0.247,0.283,0.969,-0.083
1608677243235,2020-12-22T16.47.23.235,0.257,0.285,0.967,-0.084
1608677243244,2020-12-22T16.47.23.244,0.266,0.284,0.968,-0.083
1608677243254,2020-12-22T16.47.23.254,0.276,0.285,0.969,-0.079
1608677243264,2020-12-22T16.47.23.264,0.286,0.286,0.970,-0.080
1608677243274,2020-12-22T16.47.23.274,0.296,0.284,0.971,-0.083
1608677243283,2020-12-22T16.47.23.283,0.305,0.285,0.973,-0.088
1608677243293,2020-12-22T16.47.23.293,0.315,0.286,0.974,-0.087
1608677243304,2020-12-22T16.47.23.304,0.326,0.283,0.972,-0.088
1608677243314,2020-12-22T16.47.23.314,0.336,0.279,0.970,-0.083
1608677243323,2020-12-22T16.47.23.323,0.345,0.280,0.968,-0.082
1608677243333,2020-12-22T16.47.23.333,0.355,0.280,0.971,-0.081
1608677243343,2020-12-22T16.47.23.343,0.365,0.282,0.968,-0.080
1608677243352,2020-12-22T16.47.23.352,0.374,0.285,0.969,-0.079
1608677243362,2020-12-22T16.47.23.362,0.384,0.286,0.971,-0.085
1608677243373,2020-12-22T16.47.23.373,0.395,0.286,0.972,-0.082
1608677243383,2020-12-22T16.47.23.383,0.405,0.288,0.972,-0.080
1608677243392,2020-12-22T16.47.23.392,0.414,0.287,0.971,-0.083
1608677243402,2020-12-22T16.47.23.402,0.424,0.288,0.971,-0.085
1608677243412,2020-12-22T16.47.23.412,0.434,0.286,0.971,-0.086
1608677243422,2020-12-22T16.47.23.422,0.444,0.284,0.971,-0.085
1608677243431,2020-12-22T16.47.23.431,0.453,0.284,0.969,-0.084
1608677243441,2020-12-22T16.47.23.441,0.463,0.282,0.970,-0.083
1608677243452,2020-12-22T16.47.23.452,0.474,0.285,0.968,-0.078
1608677243460,2020-12-22T16.47.23.460,0.482,0.284,0.968,-0.079
1608677243471,2020-12-22T16.47.23.471,0.493,0.283,0.970,-0.080
1608677243481,2020-12-22T16.47.23.481,0.503,0.284,0.967,-0.083
1608677243491,2020-12-22T16.47.23.491,0.513,0.283,0.966,-0.084
1608677243500,2020-12-22T16.47.23.500,0.522,0.286,0.970,-0.083
1608677243510,2020-12-22T16.47.23.510,0.532,0.287,0.973,-0.086
1608677243520,2020-12-22T16.47.23.520,0.542,0.284,0.971,-0.089
1608677243531,2020-12-22T16.47.23.531,0.553,0.282,0.972,-0.085
1608677243540,2020-12-22T16.47.23.540,0.562,0.284,0.971,-0.084
1608677243550,2020-12-22T16.47.23.550,0.572,0.289,0.968,-0.081
1608677243560,2020-12-22T16.47.23.560,0.582,0.283,0.969,-0.081
1608677243570,2020-12-22T16.47.23.570,0.592,0.284,0.970,-0.080
1608677243579,2020-12-22T16.47.23.579,0.601,0.288,0.969,-0.080
1608677243589,2020-12-22T16.47.23.589,0.611,0.284,0.969,-0.084
1608677243600,2020-12-22T16.47.23.600,0.622,0.285,0.970,-0.086
1608677243610,2020-12-22T16.47.23.610,0.632,0.284,0.972,-0.086
1608677243619,2020-12-22T16.47.23.619,0.641,0.284,0.969,-0.083
1608677243629,2020-12-22T16.47.23.629,0.651,0.288,0.969,-0.084
1608677243639,2020-12-22T16.47.23.639,0.661,0.286,0.972,-0.083
1608677243648,2020-12-22T16.47.23.648,0.670,0.284,0.969,-0.083
1608677243658,2020-12-22T16.47.23.658,0.680,0.285,0.970,-0.082
1608677243668,2020-12-22T16.47.23.668,0.690,0.287,0.971,-0.082
1608677243679,2020-12-22T16.47.23.679,0.701,0.284,0.974,-0.078
1608677243687,2020-12-22T16.47.23.687,0.709,0.284,0.970,-0.083
1608677243698,2020-12-22T16.47.23.698,0.720,0.283,0.969,-0.086
1608677243708,2020-12-22T16.47.23.708,0.730,0.285,0.969,-0.085
1608677243718,2020-12-22T16.47.23.718,0.740,0.289,0.969,-0.081
1608677243727,2020-12-22T16.47.23.727,0.749,0.289,0.974,-0.081
1608677243737,2020-12-22T16.47.23.737,0.759,0.285,0.972,-0.084
1608677243748,2020-12-22T16.47.23.748,0.770,0.286,0.968,-0.084
1608677243758,2020-12-22T16.47.23.758,0.780,0.282,0.969,-0.085
1608677243767,2020-12-22T16.47.23.767,0.789,0.286,0.971,-0.083
1608677243777,2020-12-22T16.47.23.777,0.799,0.287,0.966,-0.082
1608677243787,2020-12-22T16.47.23.787,0.809,0.288,0.967,-0.084
1608677243796,2020-12-22T16.47.23.796,0.818,0.285,0.972,-0.085
1608677243806,2020-12-22T16.47.23.806,0.828,0.283,0.971,-0.086
1608677243816,2020-12-22T16.47.23.816,0.838,0.281,0.970,-0.084
1608677243827,2020-12-22T16.47.23.827,0.849,0.282,0.969,-0.085
1608677243835,2020-12-22T16.47.23.835,0.857,0.285,0.970,-0.084
1608677243846,2020-12-22T16.47.23.846,0.868,0.287,0.966,-0.082
1608677243856,2020-12-22T16.47.23.856,0.878,0.290,0.967,-0.085
1608677243866,2020-12-22T16.47.23.866,0.888,0.288,0.969,-0.085
1608677243875,2020-12-22T16.47.23.875,0.897,0.284,0.967,-0.084
1608677243885,2020-12-22T16.47.23.885,0.907,0.284,0.967,-0.087
1608677243895,2020-12-22T16.47.23.895,0.917,0.282,0.973,-0.088
1608677243904,2020-12-22T16.47.23.904,0.926,0.286,0.972,-0.084
1608677243915,2020-12-22T16.47.23.915,0.937,0.285,0.969,-0.084
1608677243925,2020-12-22T16.47.23.925,0.947,0.284,0.975,-0.083
1608677243935,2020-12-22T16.47.23.935,0.957,0.282,0.969,-0.085
1608677243944,2020-12-22T16.47.23.944,0.966,0.281,0.963,-0.086
1608677243954,2020-12-22T16.47.23.954,0.976,0.284,0.968,-0.083
1608677243964,2020-12-22T16.47.23.964,0.986,0.286,0.970,-0.081
1608677243975,2020-12-22T16.47.23.975,0.997,0.283,0.971,-0.083
1608677243983,2020-12-22T16.47.23.983,1.005,0.284,0.970,-0.087
1608677243994,2020-12-22T16.47.23.994,1.016,0.284,0.969,-0.084
1608677244004,2020-12-22T16.47.24.004,1.026,0.283,0.968,-0.082
1608677244013,2020-12-22T16.47.24.013,1.035,0.284,0.966,-0.082
1608677244023,2020-12-22T16.47.24.023,1.045,0.286,0.969,-0.084
1608677244033,2020-12-22T16.47.24.033,1.055,0.283,0.970,-0.085
1608677244043,2020-12-22T16.47.24.043,1.065,0.283,0.970,-0.087
1608677244052,2020-12-22T16.47.24.052,1.074,0.284,0.969,-0.087
1608677244062,2020-12-22T16.47.24.062,1.084,0.282,0.970,-0.087
1608677244073,2020-12-22T16.47.24.073,1.095,0.283,0.971,-0.082
1608677244083,2020-12-22T16.47.24.083,1.105,0.285,0.971,-0.082
1608677244092,2020-12-22T16.47.24.092,1.114,0.285,0.967,-0.084
1608677244102,2020-12-22T16.47.24.102,1.124,0.283,0.970,-0.083
1608677244112,2020-12-22T16.47.24.112,1.134,0.283,0.971,-0.082
1608677244123,2020-12-22T16.47.24.123,1.145,0.285,0.969,-0.088
1608677244131,2020-12-22T16.47.24.131,1.153,0.283,0.968,-0.086
1608677244142,2020-12-22T16.47.24.142,1.164,0.285,0.970,-0.084
1608677244152,2020-12-22T16.47.24.152,1.174,0.285,0.971,-0.084
1608677244161,2020-12-22T16.47.24.161,1.183,0.286,0.973,-0.085
1608677244171,2020-12-22T16.47.24.171,1.193,0.283,0.969,-0.085
1608677244181,2020-12-22T16.47.24.181,1.203,0.283,0.966,-0.088
1608677244191,2020-12-22T16.47.24.191,1.213,0.284,0.966,-0.084
1608677244200,2020-12-22T16.47.24.200,1.222,0.284,0.967,-0.086
1608677244210,2020-12-22T16.47.24.210,1.232,0.284,0.971,-0.088
1608677244221,2020-12-22T16.47.24.221,1.243,0.284,0.969,-0.087
1608677244231,2020-12-22T16.47.24.231,1.253,0.285,0.969,-0.086
1608677244240,2020-12-22T16.47.24.240,1.262,0.286,0.970,-0.086
1608677244250,2020-12-22T16.47.24.250,1.272,0.283,0.968,-0.081
1608677244260,2020-12-22T16.47.24.260,1.282,0.283,0.965,-0.082
1608677244270,2020-12-22T16.47.24.270,1.292,0.285,0.968,-0.088
1608677244279,2020-12-22T16.47.24.279,1.301,0.287,0.969,-0.085
1608677244290,2020-12-22T16.47.24.290,1.312,0.286,0.972,-0.086
1608677244300,2020-12-22T16.47.24.300,1.322,0.283,0.973,-0.091
1608677244309,2020-12-22T16.47.24.309,1.331,0.281,0.970,-0.084
1608677244319,2020-12-22T16.47.24.319,1.341,0.282,0.968,-0.089
1608677244329,2020-12-22T16.47.24.329,1.351,0.282,0.970,-0.089
1608677244339,2020-12-22T16.47.24.339,1.361,0.288,0.971,-0.079
1608677244348,2020-12-22T16.47.24.348,1.370,0.287,0.966,-0.081
1608677244358,2020-12-22T16.47.24.358,1.380,0.284,0.969,-0.085
1608677244369,2020-12-22T16.47.24.369,1.391,0.284,0.968,-0.084
1608677244379,2020-12-22T16.47.24.379,1.401,0.283,0.967,-0.085
1608677244388,2020-12-22T16.47.24.388,1.410,0.285,0.969,-0.088
1608677244398,2020-12-22T16.47.24.398,1.420,0.287,0.967,-0.087
1608677244408,2020-12-22T16.47.24.408,1.430,0.289,0.969,-0.086
1608677244418,2020-12-22T16.47.24.418,1.440,0.286,0.970,-0.084
1608677244427,2020-12-22T16.47.24.427,1.449,0.285,0.969,-0.088
1608677244437,2020-12-22T16.47.24.437,1.459,0.286,0.968,-0.084
1608677244448,2020-12-22T16.47.24.448,1.470,0.288,0.968,-0.082
1608677244457,2020-12-22T16.47.24.457,1.479,0.286,0.969,-0.089
1608677244467,2020-12-22T16.47.24.467,1.489,0.287,0.970,-0.089
1608677244477,2020-12-22T16.47.24.477,1.499,0.285,0.969,-0.090
1608677244487,2020-12-22T16.47.24.487,1.509,0.286,0.970,-0.089
1608677244496,2020-12-22T16.47.24.496,1.518,0.286,0.969,-0.086
1608677244506,2020-12-22T16.47.24.506,1.528,0.284,0.967,-0.085
1608677244517,2020-12-22T16.47.24.517,1.539,0.287,0.968,-0.088
1608677244527,2020-12-22T16.47.24.527,1.549,0.285,0.971,-0.085
1608677244536,2020-12-22T16.47.24.536,1.558,0.282,0.970,-0.084
1608677244546,2020-12-22T16.47.24.546,1.568,0.284,0.969,-0.087
1608677244556,2020-12-22T16.47.24.556,1.578,0.285,0.966,-0.087
1608677244566,2020-12-22T16.47.24.566,1.588,0.288,0.967,-0.086
1608677244575,2020-12-22T16.47.24.575,1.597,0.285,0.967,-0.086
1608677244585,2020-12-22T16.47.24.585,1.607,0.282,0.969,-0.089
1608677244596,2020-12-22T16.47.24.596,1.618,0.285,0.968,-0.090
1608677244604,2020-12-22T16.47.24.604,1.626,0.287,0.969,-0.089
1608677244615,2020-12-22T16.47.24.615,1.637,0.283,0.969,-0.090
1608677244625,2020-12-22T16.47.24.625,1.647,0.281,0.969,-0.092
1608677244635,2020-12-22T16.47.24.635,1.657,0.284,0.967,-0.091
1608677244644,2020-12-22T16.47.24.644,1.666,0.289,0.966,-0.087
1608677244654,2020-12-22T16.47.24.654,1.676,0.286,0.966,-0.087
1608677244665,2020-12-22T16.47.24.665,1.687,0.287,0.967,-0.088
1608677244675,2020-12-22T16.47.24.675,1.697,0.289,0.968,-0.090
1608677244684,2020-12-22T16.47.24.684,1.706,0.290,0.969,-0.087
1608677244694,2020-12-22T16.47.24.694,1.716,0.288,0.971,-0.090
1608677244704,2020-12-22T16.47.24.704,1.726,0.289,0.970,-0.089
1608677244714,2020-12-22T16.47.24.714,1.736,0.288,0.968,-0.086
1608677244723,2020-12-22T16.47.24.723,1.745,0.287,0.970,-0.086
1608677244733,2020-12-22T16.47.24.733,1.755,0.292,0.970,-0.084
1608677244744,2020-12-22T16.47.24.744,1.766,0.295,0.971,-0.086
1608677244752,2020-12-22T16.47.24.752,1.774,0.290,0.970,-0.092
1608677244763,2020-12-22T16.47.24.763,1.785,0.289,0.968,-0.089
1608677244773,2020-12-22T16.47.24.773,1.795,0.289,0.968,-0.088
1608677244783,2020-12-22T16.47.24.783,1.805,0.289,0.967,-0.089
1608677244792,2020-12-22T16.47.24.792,1.814,0.291,0.967,-0.094
1608677244802,2020-12-22T16.47.24.802,1.824,0.289,0.970,-0.089
1608677244812,2020-12-22T16.47.24.812,1.834,0.288,0.968,-0.089
1608677244823,2020-12-22T16.47.24.823,1.845,0.289,0.969,-0.092
1608677244832,2020-12-22T16.47.24.832,1.854,0.290,0.969,-0.086
1608677244842,2020-12-22T16.47.24.842,1.864,0.293,0.970,-0.087
1608677244852,2020-12-22T16.47.24.852,1.874,0.293,0.969,-0.094
1608677244862,2020-12-22T16.47.24.862,1.884,0.292,0.969,-0.088
1608677244871,2020-12-22T16.47.24.871,1.893,0.291,0.969,-0.085
1608677244881,2020-12-22T16.47.24.881,1.903,0.291,0.969,-0.092
1608677244892,2020-12-22T16.47.24.892,1.914,0.289,0.968,-0.090
1608677244900,2020-12-22T16.47.24.900,1.922,0.290,0.968,-0.090
1608677244911,2020-12-22T16.47.24.911,1.933,0.293,0.970,-0.090
1608677244921,2020-12-22T16.47.24.921,1.943,0.291,0.966,-0.091
1608677244931,2020-12-22T16.47.24.931,1.953,0.292,0.968,-0.091
1608677244940,2020-12-22T16.47.24.940,1.962,0.291,0.967,-0.086
1608677244950,2020-12-22T16.47.24.950,1.972,0.292,0.967,-0.090
1608677244960,2020-12-22T16.47.24.960,1.982,0.292,0.968,-0.095
1608677244971,2020-12-22T16.47.24.971,1.993,0.291,0.968,-0.091
1608677244979,2020-12-22T16.47.24.979,2.001,0.291,0.967,-0.089
1608677244990,2020-12-22T16.47.24.990,2.012,0.292,0.966,-0.090
1608677245000,2020-12-22T16.47.25.000,2.022,0.292,0.967,-0.091
1608677245010,2020-12-22T16.47.25.010,2.032,0.291,0.967,-0.093
1608677245019,2020-12-22T16.47.25.019,2.041,0.291,0.970,-0.090
