epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1608677244485,2020-12-22T16.47.24.485,0.000,0.151,0.988,-0.100
1608677244495,2020-12-22T16.47.24.495,0.010,0.155,0.996,-0.101
1608677244505,2020-12-22T16.47.24.505,0.020,0.153,0.993,-0.100
1608677244514,2020-12-22T16.47.24.514,0.029,0.156,0.994,-0.100
1608677244524,2020-12-22T16.47.24.524,0.039,0.157,0.996,-0.102
1608677244535,2020-12-22T16.47.24.535,0.050,0.153,0.995,-0.102
1608677244545,2020-12-22T16.47.24.545,0.060,0.152,0.994,-0.099
1608677244555,2020-12-22T16.47.24.555,0.070,0.153,0.992,-0.101
1608677244564,2020-12-22T16.47.24.564,0.079,0.151,0.992,-0.102
1608677244574,2020-12-22T16.47.24.574,0.089,0.151,0.993,-0.098
1608677244584,2020-12-22T16.47.24.584,0.099,0.155,0.994,-0.099
1608677244595,2020-12-22T16.47.24.595,0.110,0.150,0.993,-0.101
1608677244605,2020-12-22T16.47.24.605,0.120,0.152,0.992,-0.100
1608677244614,2020-12-22T16.47.24.614,0.129,0.154,0.994,-0.101
1608677244624,2020-12-22T16.47.24.624,0.139,0.153,0.994,-0.099
1608677244634,2020-12-22T16.47.24.634,0.149,0.154,0.992,-0.101
1608677244645,2020-12-22T16.47.24.645,0.160,0.159,0.993,-0.102
1608677244655,2020-12-22T16.47.24.655,0.170,0.159,0.993,-0.104
1608677244664,2020-12-22T16.47.24.664,0.179,0.154,0.996,-0.104
1608677244674,2020-12-22T16.47.24.674,0.189,0.153,0.994,-0.098
1608677244684,2020-12-22T16.47.24.684,0.199,0.155,0.994,-0.102
1608677244694,2020-12-22T16.47.24.694,0.209,0.155,0.994,-0.101
1608677244705,2020-12-22T16.47.24.705,0.220,0.157,0.993,-0.104
1608677244713,2020-12-22T16.47.24.713,0.228,0.158,0.996,-0.104
1608677244724,2020-12-22T16.47.24.724,0.239,0.156,0.998,-0.105
1608677244734,2020-12-22T16.47.24.734,0.249,0.152,0.996,-0.104
1608677244744,2020-12-22T16.47.24.744,0.259,0.158,0.994,-0.102
1608677244754,2020-12-22T16.47.24.754,0.269,0.158,0.992,-0.103
1608677244763,2020-12-22T16.47.24.763,0.278,0.158,0.991,-0.104
1608677244773,2020-12-22T16.47.24.773,0.288,0.158,0.993,-0.105
1608677244784,2020-12-22T16.47.24.784,0.299,0.157,0.994,-0.102
1608677244794,2020-12-22T16.47.24.794,0.309,0.158,0.994,-0.100
1608677244804,2020-12-22T16.47.24.804,0.319,0.156,0.994,-0.101
1608677244813,2020-12-22T16.47.24.813,0.328,0.159,0.994,-0.105
1608677244823,2020-12-22T16.47.24.823,0.338,0.158,0.993,-0.102
1608677244834,2020-12-22T16.47.24.834,0.349,0.157,0.995,-0.100
1608677244844,2020-12-22T16.47.24.844,0.359,0.157,0.998,-0.099
1608677244854,2020-12-22T16.47.24.854,0.369,0.158,0.994,-0.101
1608677244863,2020-12-22T16.47.24.863,0.378,0.159,0.993,-0.105
1608677244873,2020-12-22T16.47.24.873,0.388,0.156,0.994,-0.108
1608677244883,2020-12-22T16.47.24.883,0.398,0.153,0.993,-0.103
1608677244894,2020-12-22T16.47.24.894,0.409,0.159,0.992,-0.103
1608677244904,2020-12-22T16.47.24.904,0.419,0.159,0.993,-0.105
1608677244913,2020-12-22T16.47.24.913,0.428,0.157,0.991,-0.104
1608677244923,2020-12-22T16.47.24.923,0.438,0.160,0.991,-0.103
1608677244933,2020-12-22T16.47.24.933,0.448,0.157,0.994,-0.105
1608677244943,2020-12-22T16.47.24.943,0.458,0.157,0.992,-0.104
1608677244954,2020-12-22T16.47.24.954,0.469,0.157,0.991,-0.102
1608677244962,2020-12-22T16.47.24.962,0.477,0.157,0.994,-0.104
1608677244973,2020-12-22T16.47.24.973,0.488,0.155,0.994,-0.101
1608677244983,2020-12-22T16.47.24.983,0.498,0.158,0.994,-0.103
1608677244993,2020-12-22T16.47.24.993,0.508,0.161,0.991,-0.104
1608677245003,2020-12-22T16.47.25.003,0.518,0.163,0.993,-0.104
1608677245012,2020-12-22T16.47.25.012,0.527,0.159,0.995,-0.109
1608677245022,2020-12-22T16.47.25.022,0.537,0.158,0.996,-0.104
1608677245033,2020-12-22T16.47.25.033,0.548,0.158,0.994,-0.100
1608677245043,2020-12-22T16.47.25.043,0.558,0.159,0.992,-0.101
1608677245053,2020-12-22T16.47.25.053,0.568,0.160,0.995,-0.104
1608677245062,2020-12-22T16.47.25.062,0.577,0.158,0.993,-0.105
1608677245072,2020-12-22T16.47.25.072,0.587,0.158,0.994,-0.101
1608677245083,2020-12-22T16.47.25.083,0.598,0.155,0.995,-0.103
1608677245093,2020-12-22T16.47.25.093,0.608,0.157,0.995,-0.101
1608677245103,2020-12-22T16.47.25.103,0.618,0.158,0.991,-0.099
1608677245112,2020-12-22T16.47.25.112,0.627,0.158,0.991,-0.103
1608677245122,2020-12-22T16.47.25.122,0.637,0.156,0.991,-0.103
1608677245132,2020-12-22T16.47.25.132,0.647,0.160,0.993,-0.103
1608677245143,2020-12-22T16.47.25.143,0.658,0.156,0.994,-0.103
1608677245153,2020-12-22T16.47.25.153,0.668,0.155,0.994,-0.100
1608677245162,2020-12-22T16.47.25.162,0.677,0.157,0.994,-0.102
1608677245172,2020-12-22T16.47.25.172,0.687,0.157,0.994,-0.102
1608677245182,2020-12-22T16.47.25.182,0.697,0.159,0.993,-0.102
1608677245192,2020-12-22T16.47.25.192,0.707,0.159,0.993,-0.103
1608677245203,2020-12-22T16.47.25.203,0.718,0.159,0.993,-0.105
1608677245213,2020-12-22T16.47.25.213,0.728,0.160,0.994,-0.106
1608677245222,2020-12-22T16.47.25.222,0.737,0.159,0.994,-0.106
1608677245232,2020-12-22T16.47.25.232,0.747,0.157,0.997,-0.102
1608677245242,2020-12-22T16.47.25.242,0.757,0.159,0.994,-0.101
1608677245252,2020-12-22T16.47.25.252,0.767,0.160,0.991,-0.103
1608677245263,2020-12-22T16.47.25.263,0.778,0.159,0.995,-0.106
1608677245271,2020-12-22T16.47.25.271,0.786,0.157,0.995,-0.102
1608677245282,2020-12-22T16.47.25.282,0.797,0.154,0.993,-0.104
1608677245292,2020-12-22T16.47.25.292,0.807,0.158,0.992,-0.104
1608677245302,2020-12-22T16.47.25.302,0.817,0.159,0.991,-0.104
1608677245313,2020-12-22T16.47.25.313,0.828,0.158,0.995,-0.104
1608677245321,2020-12-22T16.47.25.321,0.836,0.157,0.995,-0.106
1608677245332,2020-12-22T16.47.25.332,0.847,0.156,0.996,-0.104
1608677245342,2020-12-22T16.47.25.342,0.857,0.154,0.995,-0.100
1608677245352,2020-12-22T16.47.25.352,0.867,0.155,0.990,-0.102
1608677245362,2020-12-22T16.47.25.362,0.877,0.160,0.990,-0.099
1608677245371,2020-12-22T16.47.25.371,0.886,0.159,0.994,-0.104
