epoc (ms),timestamp (-0600),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1608677512329,2020-12-22T16.51.52.329,0.000,0.298,0.961,-0.074
1608677512339,2020-12-22T16.51.52.339,0.010,0.302,0.968,-0.079
1608677512349,2020-12-22T16.51.52.349,0.020,0.305,0.968,-0.074
1608677512358,2020-12-22T16.51.52.358,0.029,0.306,0.970,-0.074
1608677512368,2020-12-22T16.51.52.368,0.039,0.303,0.969,-0.077
1608677512378,2020-12-22T16.51.52.378,0.049,0.299,0.969,-0.075
1608677512389,2020-12-22T16.51.52.389,0.060,0.299,0.970,-0.077
1608677512397,2020-12-22T16.51.52.397,0.068,0.300,0.969,-0.079
1608677512408,2020-12-22T16.51.52.408,0.079,0.300,0.966,-0.078
1608677512418,2020-12-22T16.51.52.418,0.089,0.302,0.968,-0.074
1608677512428,2020-12-22T16.51.52.428,0.099,0.302,0.966,-0.078
1608677512437,2020-12-22T16.51.52.437,0.108,0.298,0.969,-0.078
1608677512447,2020-12-22T16.51.52.447,0.118,0.298,0.969,-0.081
1608677512458,2020-12-22T16.51.52.458,0.129,0.295,0.970,-0.079
1608677512468,2020-12-22T16.51.52.468,0.139,0.295,0.970,-0.078
1608677512477,2020-12-22T16.51.52.477,0.148,0.301,0.968,-0.078
1608677512487,2020-12-22T16.51.52.487,0.158,0.301,0.968,-0.074
1608677512497,2020-12-22T16.51.52.497,0.168,0.301,0.968,-0.074
1608677512506,2020-12-22T16.51.52.506,0.177,0.300,0.967,-0.075
1608677512516,2020-12-22T16.51.52.516,0.187,0.300,0.970,-0.077
1608677512526,2020-12-22T16.51.52.526,0.197,0.300,0.969,-0.076
1608677512537,2020-12-22T16.51.52.537,0.208,0.297,0.969,-0.081
1608677512545,2020-12-22T16.51.52.545,0.216,0.295,0.968,-0.077
1608677512556,2020-12-22T16.51.52.556,0.227,0.297,0.971,-0.077
1608677512566,2020-12-22T16.51.52.566,0.237,0.300,0.967,-0.072
1608677512576,2020-12-22T16.51.52.576,0.247,0.300,0.966,-0.074
1608677512585,2020-12-22T16.51.52.585,0.256,0.298,0.966,-0.077
1608677512595,2020-12-22T16.51.52.595,0.266,0.296,0.966,-0.076
1608677512605,2020-12-22T16.51.52.605,0.276,0.298,0.967,-0.077
1608677512616,2020-12-22T16.51.52.616,0.287,0.298,0.970,-0.079
1608677512625,2020-12-22T16.51.52.625,0.296,0.300,0.970,-0.079
1608677512635,2020-12-22T16.51.52.635,0.306,0.297,0.967,-0.074
1608677512645,2020-12-22T16.51.52.645,0.316,0.298,0.968,-0.073
1608677512654,2020-12-22T16.51.52.654,0.325,0.300,0.965,-0.073
1608677512664,2020-12-22T16.51.52.664,0.335,0.298,0.967,-0.075
1608677512674,2020-12-22T16.51.52.674,0.345,0.299,0.968,-0.077
1608677512685,2020-12-22T16.51.52.685,0.356,0.297,0.969,-0.078
1608677512693,2020-12-22T16.51.52.693,0.364,0.294,0.968,-0.079
1608677512704,2020-12-22T16.51.52.704,0.375,0.297,0.968,-0.079
1608677512714,2020-12-22T16.51.52.714,0.385,0.298,0.966,-0.078
1608677512724,2020-12-22T16.51.52.724,0.395,0.298,0.967,-0.077
1608677512733,2020-12-22T16.51.52.733,0.404,0.297,0.968,-0.078
1608677512743,2020-12-22T16.51.52.743,0.414,0.298,0.970,-0.073
1608677512753,2020-12-22T16.51.52.753,0.424,0.298,0.970,-0.077
