epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1608677512339,2020-12-22T16.51.52.339,0.000,-0.183,-0.610,-0.305
1608677512349,2020-12-22T16.51.52.349,0.010,-0.488,-0.854,-0.183
1608677512358,2020-12-22T16.51.52.358,0.019,-0.244,-0.488,-0.488
1608677512368,2020-12-22T16.51.52.368,0.029,-0.183,-0.488,-0.610
1608677512378,2020-12-22T16.51.52.378,0.039,-0.244,-0.671,-0.671
1608677512389,2020-12-22T16.51.52.389,0.050,-0.244,-0.427,-0.732
1608677512397,2020-12-22T16.51.52.397,0.058,-0.244,-0.427,-0.732
1608677512408,2020-12-22T16.51.52.408,0.069,-0.122,-0.183,-0.732
1608677512418,2020-12-22T16.51.52.418,0.079,-0.122,-0.061,-0.732
1608677512428,2020-12-22T16.51.52.428,0.089,0.000,0.000,-0.793
1608677512437,2020-12-22T16.51.52.437,0.098,0.061,-0.061,-0.854
1608677512447,2020-12-22T16.51.52.447,0.108,-0.305,-0.061,-0.732
1608677512458,2020-12-22T16.51.52.458,0.119,-0.244,-0.061,-0.671
1608677512468,2020-12-22T16.51.52.468,0.129,-0.244,-0.061,-0.549
1608677512477,2020-12-22T16.51.52.477,0.138,-0.244,-0.183,-0.427
1608677512487,2020-12-22T16.51.52.487,0.148,-0.183,-0.366,-0.488
1608677512497,2020-12-22T16.51.52.497,0.158,-0.122,-0.427,-0.671
1608677512506,2020-12-22T16.51.52.506,0.167,0.000,-0.366,-0.610
1608677512516,2020-12-22T16.51.52.516,0.177,0.061,-0.305,-0.793
1608677512526,2020-12-22T16.51.52.526,0.187,0.244,-0.183,-0.854
1608677512537,2020-12-22T16.51.52.537,0.198,0.366,-0.244,-0.915
1608677512545,2020-12-22T16.51.52.545,0.206,-0.427,-0.366,-0.610
1608677512556,2020-12-22T16.51.52.556,0.217,-0.366,-0.549,-0.488
