epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1608677244505,2020-12-22T16.47.24.505,0.000,0.000,-0.549,-0.427
1608677244514,2020-12-22T16.47.24.514,0.009,0.000,-0.305,-0.183
1608677244524,2020-12-22T16.47.24.524,0.019,0.244,-0.305,-0.122
1608677244535,2020-12-22T16.47.24.535,0.030,0.366,-0.122,-0.305
1608677244545,2020-12-22T16.47.24.545,0.040,0.244,-0.122,-0.305
1608677244555,2020-12-22T16.47.24.555,0.050,0.183,-0.244,-0.122
1608677244564,2020-12-22T16.47.24.564,0.059,0.244,-0.122,-0.061
1608677244574,2020-12-22T16.47.24.574,0.069,0.305,-0.061,-0.122
1608677244584,2020-12-22T16.47.24.584,0.079,0.305,-0.122,-0.061
1608677244595,2020-12-22T16.47.24.595,0.090,0.549,0.183,-0.061
1608677244605,2020-12-22T16.47.24.605,0.100,0.488,-0.061,0.183
1608677244614,2020-12-22T16.47.24.614,0.109,0.427,-0.183,0.244
1608677244624,2020-12-22T16.47.24.624,0.119,0.427,-0.061,0.366
1608677244634,2020-12-22T16.47.24.634,0.129,0.305,-0.122,0.366
1608677244645,2020-12-22T16.47.24.645,0.140,0.366,-0.183,0.305
1608677244655,2020-12-22T16.47.24.655,0.150,0.610,0.061,0.244
1608677244664,2020-12-22T16.47.24.664,0.159,0.793,0.305,0.122
1608677244674,2020-12-22T16.47.24.674,0.169,0.732,0.244,0.183
1608677244684,2020-12-22T16.47.24.684,0.179,0.610,0.000,0.366
1608677244694,2020-12-22T16.47.24.694,0.189,0.549,-0.061,0.366
1608677244705,2020-12-22T16.47.24.705,0.200,0.427,-0.183,0.305
1608677244713,2020-12-22T16.47.24.713,0.208,0.488,-0.061,0.244
1608677244724,2020-12-22T16.47.24.724,0.219,0.610,0.122,0.061
1608677244734,2020-12-22T16.47.24.734,0.229,0.549,-0.061,0.183
1608677244744,2020-12-22T16.47.24.744,0.239,0.427,-0.244,0.244
1608677244754,2020-12-22T16.47.24.754,0.249,0.305,-0.366,0.122
1608677244763,2020-12-22T16.47.24.763,0.258,0.305,-0.244,0.061
1608677244773,2020-12-22T16.47.24.773,0.268,0.305,-0.183,0.061
1608677244784,2020-12-22T16.47.24.784,0.279,0.305,-0.122,0.000
1608677244794,2020-12-22T16.47.24.794,0.289,0.305,-0.183,0.000
1608677244804,2020-12-22T16.47.24.804,0.299,0.244,-0.183,0.000
1608677244813,2020-12-22T16.47.24.813,0.308,0.122,-0.427,0.000
1608677244823,2020-12-22T16.47.24.823,0.318,0.122,-0.427,0.061
1608677244834,2020-12-22T16.47.24.834,0.329,0.366,-0.183,0.000
1608677244844,2020-12-22T16.47.24.844,0.339,0.305,0.000,-0.122
1608677244854,2020-12-22T16.47.24.854,0.349,0.244,-0.061,-0.122
1608677244863,2020-12-22T16.47.24.863,0.358,0.244,-0.122,-0.122
1608677244873,2020-12-22T16.47.24.873,0.368,0.488,0.000,-0.183
1608677244883,2020-12-22T16.47.24.883,0.378,0.305,-0.061,-0.061
1608677244894,2020-12-22T16.47.24.894,0.389,0.122,-0.366,0.000
1608677244904,2020-12-22T16.47.24.904,0.399,0.061,-0.488,0.061
1608677244913,2020-12-22T16.47.24.913,0.408,0.000,-0.549,0.000
1608677244923,2020-12-22T16.47.24.923,0.418,0.000,-0.488,-0.061
1608677244933,2020-12-22T16.47.24.933,0.428,0.061,-0.183,-0.183
1608677244943,2020-12-22T16.47.24.943,0.438,0.000,-0.183,-0.305
1608677244954,2020-12-22T16.47.24.954,0.449,-0.122,-0.305,-0.244
1608677244962,2020-12-22T16.47.24.962,0.457,-0.122,-0.183,-0.244
1608677244973,2020-12-22T16.47.24.973,0.468,-0.061,-0.244,-0.305
1608677244983,2020-12-22T16.47.24.983,0.478,-0.122,-0.366,-0.305
1608677244993,2020-12-22T16.47.24.993,0.488,-0.183,-0.427,-0.244
1608677245003,2020-12-22T16.47.25.003,0.498,-0.122,-0.244,-0.366
1608677245012,2020-12-22T16.47.25.012,0.507,0.000,-0.244,-0.427
1608677245022,2020-12-22T16.47.25.022,0.517,-0.061,-0.244,-0.549
1608677245033,2020-12-22T16.47.25.033,0.528,-0.061,-0.366,-0.488
1608677245043,2020-12-22T16.47.25.043,0.538,-0.183,-0.427,-0.427
1608677245053,2020-12-22T16.47.25.053,0.548,-0.061,-0.366,-0.488
1608677245063,2020-12-22T16.47.25.063,0.558,0.122,-0.122,-0.549
1608677245072,2020-12-22T16.47.25.072,0.567,-0.061,-0.305,-0.488
1608677245083,2020-12-22T16.47.25.083,0.578,-0.305,-0.610,-0.305
1608677245093,2020-12-22T16.47.25.093,0.588,-0.183,-0.671,-0.244
1608677245103,2020-12-22T16.47.25.103,0.598,-0.244,-0.732,-0.305
1608677245113,2020-12-22T16.47.25.113,0.608,-0.305,-0.671,-0.305
1608677245122,2020-12-22T16.47.25.122,0.617,-0.183,-0.549,-0.305
1608677245132,2020-12-22T16.47.25.132,0.627,-0.122,-0.549,-0.366
1608677245143,2020-12-22T16.47.25.143,0.638,0.000,-0.244,-0.305
1608677245153,2020-12-22T16.47.25.153,0.648,0.122,-0.061,-0.305
1608677245163,2020-12-22T16.47.25.163,0.658,0.000,-0.305,-0.183
1608677245172,2020-12-22T16.47.25.172,0.667,-0.061,-0.427,0.000
1608677245182,2020-12-22T16.47.25.182,0.677,0.122,-0.244,-0.183
1608677245192,2020-12-22T16.47.25.192,0.687,0.244,-0.244,-0.305
1608677245203,2020-12-22T16.47.25.203,0.698,0.122,-0.366,-0.244
1608677245213,2020-12-22T16.47.25.213,0.708,-0.061,-0.183,-0.427
1608677245222,2020-12-22T16.47.25.222,0.717,0.000,0.000,-0.549
1608677245232,2020-12-22T16.47.25.232,0.727,-0.122,-0.183,-0.549
1608677245242,2020-12-22T16.47.25.242,0.737,-0.122,-0.183,-0.427
1608677245252,2020-12-22T16.47.25.252,0.747,0.000,-0.305,-0.427
1608677245263,2020-12-22T16.47.25.263,0.758,-0.061,-0.488,-0.610
1608677245271,2020-12-22T16.47.25.271,0.766,-0.122,-0.427,-0.732
1608677245282,2020-12-22T16.47.25.282,0.777,-0.122,-0.305,-0.732
1608677245292,2020-12-22T16.47.25.292,0.787,-0.183,-0.488,-0.793
1608677245302,2020-12-22T16.47.25.302,0.797,-0.183,-0.488,-0.793
1608677245313,2020-12-22T16.47.25.313,0.808,-0.122,-0.244,-0.793
1608677245321,2020-12-22T16.47.25.321,0.816,-0.122,-0.488,-0.793
1608677245332,2020-12-22T16.47.25.332,0.827,-0.061,-0.427,-0.854
1608677245342,2020-12-22T16.47.25.342,0.837,-0.183,-0.488,-0.854
1608677245352,2020-12-22T16.47.25.352,0.847,-0.305,-0.732,-0.732
1608677245362,2020-12-22T16.47.25.362,0.857,-0.549,-0.854,-0.671
1608677245371,2020-12-22T16.47.25.371,0.866,-0.244,-0.488,-0.854
1608677245381,2020-12-22T16.47.25.381,0.876,-0.061,-0.366,-0.976
1608677245392,2020-12-22T16.47.25.392,0.887,-0.244,-0.549,-0.793
1608677245402,2020-12-22T16.47.25.402,0.897,-0.305,-0.366,-0.915
1608677245412,2020-12-22T16.47.25.412,0.907,-0.244,-0.427,-0.976
1608677245421,2020-12-22T16.47.25.421,0.916,-0.183,-0.366,-0.976
1608677245431,2020-12-22T16.47.25.431,0.926,-0.244,-0.427,-0.854
1608677245441,2020-12-22T16.47.25.441,0.936,-0.366,-0.671,-0.671
1608677245452,2020-12-22T16.47.25.452,0.947,-0.427,-0.732,-0.549
1608677245462,2020-12-22T16.47.25.462,0.957,-0.305,-0.610,-0.488
1608677245471,2020-12-22T16.47.25.471,0.966,-0.305,-0.732,-0.427
1608677245481,2020-12-22T16.47.25.481,0.976,-0.366,-0.610,-0.549
1608677245491,2020-12-22T16.47.25.491,0.986,-0.183,-0.305,-0.549
1608677245501,2020-12-22T16.47.25.501,0.996,-0.427,-0.610,-0.427
1608677245512,2020-12-22T16.47.25.512,1.007,-0.366,-0.549,-0.488
1608677245521,2020-12-22T16.47.25.521,1.016,-0.305,-0.610,-0.549
1608677245531,2020-12-22T16.47.25.531,1.026,-0.427,-0.549,-0.610
1608677245541,2020-12-22T16.47.25.541,1.036,-0.488,-0.732,-0.671
1608677245551,2020-12-22T16.47.25.551,1.046,-0.610,-0.915,-0.854
1608677245562,2020-12-22T16.47.25.562,1.057,-0.488,-0.793,-0.976
1608677245570,2020-12-22T16.47.25.570,1.065,-0.366,-0.549,-1.159
1608677245581,2020-12-22T16.47.25.581,1.076,-0.549,-0.610,-1.220
1608677245591,2020-12-22T16.47.25.591,1.086,-0.671,-0.671,-1.220
1608677245601,2020-12-22T16.47.25.601,1.096,-0.610,-0.671,-1.341
1608677245611,2020-12-22T16.47.25.611,1.106,-0.549,-0.671,-1.341
1608677245620,2020-12-22T16.47.25.620,1.115,-0.732,-0.793,-1.220
1608677245630,2020-12-22T16.47.25.630,1.125,-0.854,-1.159,-1.098
1608677245641,2020-12-22T16.47.25.641,1.136,-0.732,-1.098,-1.098
1608677245651,2020-12-22T16.47.25.651,1.146,-0.793,-0.793,-1.098
1608677245661,2020-12-22T16.47.25.661,1.156,-0.610,-0.671,-1.098
1608677245670,2020-12-22T16.47.25.670,1.165,-0.610,-0.610,-0.976
1608677245680,2020-12-22T16.47.25.680,1.175,-0.793,-0.915,-0.732
1608677245690,2020-12-22T16.47.25.690,1.185,-1.037,-1.280,-0.549
1608677245701,2020-12-22T16.47.25.701,1.196,-1.159,-1.220,-0.488
1608677245711,2020-12-22T16.47.25.711,1.206,-0.915,-1.037,-0.488
1608677245720,2020-12-22T16.47.25.720,1.215,-0.976,-1.159,-0.549
1608677245730,2020-12-22T16.47.25.730,1.225,-1.037,-1.159,-0.488
1608677245740,2020-12-22T16.47.25.740,1.235,-0.915,-0.366,-0.732
1608677245750,2020-12-22T16.47.25.750,1.245,-0.854,0.854,-1.098
1608677245761,2020-12-22T16.47.25.761,1.256,-0.854,1.098,-1.159
1608677245770,2020-12-22T16.47.25.770,1.265,-0.793,0.488,-0.976
1608677245780,2020-12-22T16.47.25.780,1.275,-0.915,0.549,-0.854
1608677245790,2020-12-22T16.47.25.790,1.285,-0.793,0.427,-0.732
1608677245800,2020-12-22T16.47.25.800,1.295,-1.037,-0.183,-0.427
1608677245811,2020-12-22T16.47.25.811,1.306,-0.915,-0.244,-0.488
1608677245819,2020-12-22T16.47.25.819,1.314,-0.915,-0.610,-0.305
1608677245830,2020-12-22T16.47.25.830,1.325,-0.610,-0.610,-0.366
1608677245840,2020-12-22T16.47.25.840,1.335,-0.366,-0.427,-0.366
1608677245850,2020-12-22T16.47.25.850,1.345,-0.183,-0.427,-0.244
1608677245860,2020-12-22T16.47.25.860,1.355,-0.366,-0.671,-0.122
1608677245869,2020-12-22T16.47.25.869,1.364,-0.305,-0.793,0.000
1608677245879,2020-12-22T16.47.25.879,1.374,-0.183,-0.854,0.000
1608677245890,2020-12-22T16.47.25.890,1.385,-0.305,-0.976,-0.061
1608677245900,2020-12-22T16.47.25.900,1.395,-0.366,-1.159,0.000
1608677245910,2020-12-22T16.47.25.910,1.405,-0.305,-1.037,-0.122
1608677245919,2020-12-22T16.47.25.919,1.414,-0.183,-0.854,-0.244
1608677245929,2020-12-22T16.47.25.929,1.424,-0.183,-0.854,-0.244
1608677245939,2020-12-22T16.47.25.939,1.434,-0.183,-0.854,-0.183
1608677245950,2020-12-22T16.47.25.950,1.445,-0.122,-0.793,-0.061
1608677245960,2020-12-22T16.47.25.960,1.455,-0.244,-0.976,-0.061
1608677245969,2020-12-22T16.47.25.969,1.464,-0.305,-1.037,-0.061
1608677245979,2020-12-22T16.47.25.979,1.474,-0.244,-0.793,-0.122
1608677245989,2020-12-22T16.47.25.989,1.484,-0.122,-0.732,-0.244
1608677246000,2020-12-22T16.47.26.000,1.495,-0.061,-0.488,-0.244
1608677246010,2020-12-22T16.47.26.010,1.505,-0.061,-0.366,-0.427
1608677246019,2020-12-22T16.47.26.019,1.514,-0.061,-0.305,-0.427
1608677246029,2020-12-22T16.47.26.029,1.524,-0.061,-0.061,-0.366
1608677246039,2020-12-22T16.47.26.039,1.534,-0.061,0.061,-0.366
1608677246049,2020-12-22T16.47.26.049,1.544,-0.122,-0.122,-0.305
1608677246060,2020-12-22T16.47.26.060,1.555,-0.122,-0.305,-0.183
1608677246068,2020-12-22T16.47.26.068,1.563,-0.244,-0.122,-0.366
1608677246079,2020-12-22T16.47.26.079,1.574,-0.305,-0.366,-0.244
1608677246089,2020-12-22T16.47.26.089,1.584,-0.244,-0.427,-0.122
1608677246099,2020-12-22T16.47.26.099,1.594,-0.244,-0.061,-0.244
1608677246109,2020-12-22T16.47.26.109,1.604,-0.061,-0.183,-0.366
1608677246118,2020-12-22T16.47.26.118,1.613,-0.061,-0.061,-0.427
1608677246128,2020-12-22T16.47.26.128,1.623,-0.183,0.061,-0.488
